@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:41:59 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.02858E+01  5.10753E-02
 -7.00383E+01  2.31607E-02
 -6.97909E+01 -4.57369E-03
 -6.95434E+01 -2.42129E-03
 -6.92959E+01 -1.44971E-03
 -6.90484E+01 -6.38643E-03
 -6.88009E+01 -7.20700E-04
 -6.85534E+01  1.22556E-02
 -6.83059E+01  5.11912E-03
 -6.80585E+01 -1.44734E-03
 -6.78110E+01  2.02542E-02
 -6.75635E+01  2.27663E-02
 -6.73160E+01 -5.09167E-03
 -6.70685E+01 -9.64283E-03
 -6.68210E+01  3.30813E-03
 -6.65735E+01 -1.20054E-03
 -6.63261E+01 -1.13724E-02
 -6.60786E+01 -1.20276E-02
 -6.58311E+01 -1.11470E-02
 -6.55836E+01 -1.42738E-02
 -6.53361E+01 -2.50002E-02
 -6.50886E+01 -3.44059E-02
 -6.48411E+01 -2.62851E-02
 -6.45937E+01  4.83942E-03
 -6.43462E+01  4.41967E-02
 -6.40987E+01  6.18126E-02
 -6.38512E+01  4.80788E-02
 -6.36037E+01  2.85196E-02
 -6.33562E+01  2.65215E-02
 -6.31088E+01  3.73414E-02
 -6.28613E+01  3.42764E-02
 -6.26138E+01  2.03254E-02
 -6.23663E+01  1.70482E-02
 -6.21188E+01  7.07687E-03
 -6.18713E+01 -1.19094E-02
 -6.16238E+01 -2.10435E-02
 -6.13764E+01 -2.44662E-02
 -6.11289E+01 -2.14323E-02
 -6.08814E+01 -1.06047E-02
 -6.06339E+01 -4.95192E-03
 -6.03864E+01  7.03216E-04
 -6.01389E+01  9.97756E-03
 -5.98914E+01  2.95948E-03
 -5.96440E+01 -1.80579E-02
 -5.93965E+01 -2.56755E-02
 -5.91490E+01 -1.81573E-02
 -5.89015E+01 -6.23748E-03
 -5.86540E+01  2.07051E-02
 -5.84065E+01  4.34681E-02
 -5.81590E+01  3.59088E-02
 -5.79116E+01  1.66287E-02
 -5.76641E+01 -2.61342E-03
 -5.74166E+01 -1.39757E-02
 -5.71691E+01 -1.82997E-03
 -5.69216E+01  1.46256E-02
 -5.66741E+01  1.65221E-02
 -5.64266E+01  1.02973E-02
 -5.61792E+01  1.09162E-03
 -5.59317E+01  9.62960E-03
 -5.56842E+01  3.07864E-02
 -5.54367E+01  1.72262E-02
 -5.51892E+01 -5.71693E-03
 -5.49417E+01 -7.48064E-04
 -5.46943E+01  8.78191E-03
 -5.44468E+01  1.33712E-02
 -5.41993E+01  1.15063E-02
 -5.39518E+01  5.07462E-03
 -5.37043E+01  6.36797E-03
 -5.34568E+01  1.47545E-02
 -5.32093E+01  2.36787E-02
 -5.29619E+01  3.13572E-02
 -5.27144E+01  2.94967E-02
 -5.24669E+01  8.87281E-03
 -5.22194E+01 -1.44317E-02
 -5.19719E+01 -2.03495E-02
 -5.17244E+01 -8.25342E-03
 -5.14769E+01  2.60926E-02
 -5.12295E+01  6.12731E-02
 -5.09820E+01  6.39022E-02
 -5.07345E+01  4.08382E-02
 -5.04870E+01  1.70051E-02
 -5.02395E+01  1.15007E-02
 -4.99920E+01  4.00155E-02
 -4.97445E+01  8.47058E-02
 -4.94971E+01  1.00596E-01
 -4.92496E+01  1.03801E-01
 -4.90021E+01  1.28109E-01
 -4.87546E+01  1.48675E-01
 -4.85071E+01  1.37413E-01
 -4.82596E+01  1.28552E-01
