@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:44:24 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.97140E+01 -2.60744E+00  0.00000E+00
 -6.94658E+01 -2.60690E+00  0.00000E+00
 -6.92176E+01  2.46601E+00  3.56166E+00
 -6.89694E+01 -3.33659E-01  7.18477E-01
 -6.87211E+01 -9.11324E-01  1.63451E+00
 -6.84729E+01 -1.08296E+00  1.19642E+00
 -6.82247E+01 -6.23442E-02  2.00941E+00
 -6.79765E+01 -2.39952E-01  2.35332E+00
 -6.77283E+01 -1.12508E+00  4.03739E-01
 -6.74800E+01  2.97480E+00  3.37299E+00
 -6.72318E+01  1.56617E+00  1.86095E+00
 -6.69836E+01 -1.64943E+00  1.19457E+00
 -6.67354E+01 -3.89859E-01  2.28662E+00
 -6.64871E+01  1.55062E+00  1.08568E+00
 -6.62389E+01 -1.19812E+00  1.23893E+00
 -6.59907E+01  4.57749E-01  1.91789E+00
 -6.57425E+01 -8.43354E-01  1.33729E+00
 -6.54943E+01 -1.41522E-01  9.23510E-01
 -6.52460E+01  1.08528E-01  1.55864E+00
 -6.49978E+01  1.22187E+00  2.55823E+00
 -6.47496E+01  9.34471E-01  1.19117E+00
 -6.45014E+01  1.67579E+00  2.13987E+00
 -6.42532E+01 -6.26312E-01  1.53514E+00
 -6.40049E+01 -7.33053E-03  1.71198E+00
 -6.37567E+01 -1.48892E-01  1.77126E+00
 -6.35085E+01 -1.61879E+00  9.55674E-01
 -6.32603E+01  2.41645E-03  1.29310E+00
 -6.30121E+01 -1.57496E+00  8.95057E-01
 -6.27638E+01 -2.55947E+00  2.86802E-01
 -6.25156E+01 -2.02321E+00  8.93876E-01
 -6.22674E+01 -4.46447E-01  1.54711E+00
 -6.20192E+01  4.71177E-01  1.80362E+00
 -6.17710E+01 -8.06890E-01  3.16769E-01
 -6.15227E+01 -2.52612E+00  3.41309E-01
 -6.12745E+01 -1.44931E+00  1.22856E+00
 -6.10263E+01 -9.23625E-01  1.46127E+00
 -6.07781E+01 -1.79276E+00  4.95825E-01
 -6.05299E+01  1.25707E-01  2.07521E+00
 -6.02816E+01 -1.02772E+00  4.36189E-01
 -6.00334E+01 -7.66879E-01  1.78957E+00
 -5.97852E+01  3.37201E+00  2.71879E+00
 -5.95370E+01  1.51496E+00  1.26143E+00
 -5.92888E+01 -5.32539E-01  1.75284E+00
 -5.90405E+01 -2.52241E-01  8.80677E-01
 -5.87923E+01 -1.67576E+00  1.02627E+00
 -5.85441E+01  2.05565E+00  2.78663E+00
 -5.82959E+01  1.70544E+00  1.36783E+00
 -5.80477E+01  4.08365E+00  2.77854E+00
 -5.77994E+01  1.58447E+00  1.66631E+00
 -5.75512E+01  1.33246E-01  2.29390E+00
 -5.73030E+01  2.51096E+00  2.29492E+00
 -5.70548E+01  1.35634E+00  1.31249E+00
 -5.68066E+01 -1.14808E+00  1.54575E+00
 -5.65583E+01  2.78862E+00  2.43913E+00
 -5.63101E+01  3.35561E-01  1.48634E+00
 -5.60619E+01  1.89677E+00  2.56430E+00
 -5.58137E+01  4.09617E+00  2.32693E+00
 -5.55655E+01  1.38480E+00  2.14550E+00
 -5.53172E+01  1.88002E+00  2.54127E+00
 -5.50690E+01  5.41073E-01  1.37378E+00
 -5.48208E+01 -1.24732E-01  1.31928E+00
 -5.45726E+01  1.23243E+00  2.63622E+00
 -5.43244E+01  2.60484E+00  1.71132E+00
 -5.40761E+01 -3.16259E-01  1.08520E+00
 -5.38279E+01  2.33918E+00  3.01389E+00
 -5.35797E+01  2.86727E+00  2.04528E+00
 -5.33315E+01  6.68169E+00  4.13851E+00
 -5.30832E+01  6.44737E+00  2.02042E+00
 -5.28350E+01  3.46775E+00  2.63807E+00
 -5.25868E+01  2.86481E+00  2.55703E+00
 -5.23386E+01  7.66434E-01  1.58876E+00
 -5.20904E+01  2.95808E+00  2.40463E+00
 -5.18421E+01  3.47127E+00  2.45662E+00
 -5.15939E+01  4.54697E+00  2.88073E+00
 -5.13457E+01  7.65065E+00  3.78375E+00
 -5.10975E+01  5.12102E+00  2.14868E+00
 -5.08493E+01  3.35787E+00  2.53206E+00
 -5.06010E+01  1.08130E+01  3.91647E+00
 -5.03528E+01  9.71404E+00  3.22443E+00
 -5.01046E+01  6.33483E+00  3.12952E+00
 -4.98564E+01  9.48262E+00  3.67321E+00
 -4.96082E+01  1.27181E+01  4.24734E+00
 -4.93599E+01  1.01677E+01  3.02465E+00
 -4.91117E+01  1.24504E+01  4.23816E+00
 -4.88635E+01  1.62429E+01  3.58985E+00
 -4.86153E+01  1.11396E+01  3.77177E+00
 -4.83671E+01  1.19883E+01  3.56359E+00
 -4.81188E+01  1.15195E+01  4.06406E+00
 -4.78706E+01  1.53547E+01  4.30348E+00
 -4.76224E+01  1.16968E+01  3.48572E+00
 -4.73742E+01  9.44308E+00  3.85512E+00
 -4.71260E+01  1.77794E+01  4.90375E+00
 -4.68777E+01  1.82087E+01  4.64768E+00
 -4.66295E+01  1.56440E+01  4.95426E+00
 -4.63813E+01  1.46419E+01  3.79420E+00
 -4.61331E+01  1.72492E+01  4.61805E+00
 -4.58849E+01  1.07819E+01  3.04544E+00
 -4.56366E+01  8.34656E+00  3.42904E+00
 -4.53884E+01  1.04325E+01  3.49442E+00
 -4.51402E+01  8.49937E+00  3.97846E+00
 -4.48920E+01  1.09725E+01  3.57837E+00
 -4.46438E+01  9.64160E+00  3.72491E+00
 -4.43955E+01  1.17522E+01  3.83201E+00
 -4.41473E+01  7.90106E+00  2.98842E+00
 -4.38991E+01  1.20492E+01  4.28135E+00
 -4.36509E+01  1.35261E+01  3.79838E+00
 -4.34027E+01  1.17420E+01  4.13293E+00
 -4.31544E+01  1.57593E+01  4.38413E+00
 -4.29062E+01  9.88082E+00  3.35837E+00
 -4.26580E+01  8.79932E+00  4.21880E+00
 -4.24098E+01  1.20549E+01  4.02407E+00
 -4.21616E+01  1.27218E+01  3.93784E+00
 -4.19133E+01  1.48955E+01  4.72829E+00
 -4.16651E+01  1.54504E+01  4.42972E+00
 -4.14169E+01  1.16346E+01  3.81345E+00
 -4.11687E+01  1.37855E+01  4.01143E+00
 -4.09205E+01  1.99243E+01  4.90718E+00
 -4.06722E+01  1.26283E+01  3.82014E+00
 -4.04240E+01  1.32253E+01  3.78897E+00
 -4.01758E+01  1.44666E+01  4.38927E+00
 -3.99276E+01  1.70553E+01  4.45109E+00
 -3.96793E+01  2.27266E+01  5.74180E+00
 -3.94311E+01  1.89262E+01  4.44355E+00
 -3.91829E+01  1.98599E+01  5.08867E+00
 -3.89347E+01  2.07051E+01  4.94287E+00
 -3.86865E+01  1.98056E+01  4.69559E+00
 -3.84382E+01  1.80156E+01  4.95731E+00
 -3.81900E+01  1.73627E+01  4.68411E+00
 -3.79418E+01  1.85362E+01  4.66299E+00
 -3.76936E+01  1.77904E+01  4.84079E+00
 -3.74454E+01  2.14626E+01  5.09073E+00
 -3.71971E+01  1.90059E+01  4.79179E+00
 -3.69489E+01  2.10306E+01  5.30723E+00
 -3.67007E+01  2.21153E+01  5.31133E+00
 -3.64525E+01  2.59077E+01  5.38051E+00
 -3.62043E+01  2.20307E+01  5.01417E+00
 -3.59560E+01  1.87801E+01  5.04252E+00
 -3.57078E+01  2.45063E+01  5.29629E+00
 -3.54596E+01  1.88356E+01  4.45237E+00
 -3.52114E+01  1.74137E+01  4.76085E+00
 -3.49632E+01  2.63735E+01  5.58121E+00
 -3.47149E+01  2.57449E+01  5.39954E+00
 -3.44667E+01  2.81899E+01  5.89784E+00
 -3.42185E+01  2.19526E+01  4.72511E+00
 -3.39703E+01  2.07795E+01  5.85524E+00
 -3.37221E+01  2.69941E+01  4.92863E+00
 -3.34738E+01  2.27106E+01  5.06684E+00
 -3.32256E+01  2.10003E+01  5.58266E+00
 -3.29774E+01  4.04452E+01  7.13148E+00
 -3.27292E+01  3.70885E+01  6.12094E+00
 -3.24810E+01  3.05374E+01  6.45709E+00
 -3.22327E+01  3.18499E+01  6.17815E+00
 -3.19845E+01  3.66929E+01  6.24956E+00
 -3.17363E+01  3.57102E+01  6.27390E+00
 -3.14881E+01  3.07077E+01  5.96174E+00
 -3.12399E+01  3.32681E+01  5.93717E+00
 -3.09916E+01  4.23087E+01  7.04191E+00
 -3.07434E+01  3.72778E+01  6.30140E+00
 -3.04952E+01  4.77909E+01  7.62091E+00
 -3.02470E+01  4.20260E+01  6.43282E+00
 -2.99988E+01  3.96408E+01  6.91996E+00
 -2.97505E+01  4.26942E+01  7.37915E+00
 -2.95023E+01  4.51964E+01  6.76458E+00
 -2.92541E+01  5.02844E+01  8.00724E+00
 -2.90059E+01  5.84404E+01  7.82152E+00
 -2.87577E+01  5.36432E+01  7.57897E+00
 -2.85094E+01  4.83008E+01  7.24655E+00
 -2.82612E+01  4.92832E+01  7.45228E+00
 -2.80130E+01  5.51779E+01  8.12102E+00
 -2.77648E+01  6.08345E+01  8.33338E+00
 -2.75165E+01  5.96900E+01  8.60733E+00
 -2.72683E+01  7.26230E+01  9.19437E+00
 -2.70201E+01  6.63738E+01  7.99212E+00
 -2.67719E+01  6.71612E+01  9.10339E+00
 -2.65237E+01  7.63288E+01  9.17821E+00
 -2.62754E+01  7.35307E+01  8.50178E+00
 -2.60272E+01  6.89161E+01  9.01345E+00
 -2.57790E+01  7.52954E+01  9.09285E+00
 -2.55308E+01  7.64898E+01  9.13726E+00
 -2.52826E+01  6.70947E+01  8.14449E+00
 -2.50343E+01  5.63000E+01  7.67538E+00
 -2.47861E+01  4.50089E+01  6.81821E+00
 -2.45379E+01  4.88401E+01  7.42042E+00
 -2.42897E+01  5.26786E+01  7.93344E+00
 -2.40415E+01  5.70668E+01  8.12920E+00
 -2.37932E+01  5.97696E+01  8.03964E+00
 -2.35450E+01  6.14177E+01  8.28836E+00
 -2.32968E+01  5.48273E+01  7.22618E+00
 -2.30486E+01  4.21748E+01  6.96789E+00
 -2.28004E+01  3.94354E+01  6.29235E+00
 -2.25521E+01  4.85235E+01  7.82001E+00
