@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:45:10 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.98033E+01 -6.73319E-02  0.00000E+00
 -6.95558E+01 -6.79190E-02  0.00000E+00
 -6.93082E+01 -4.74543E-02  2.01936E-03
 -6.90607E+01  6.88945E-03  4.31563E-02
 -6.88132E+01 -3.76787E-02  1.13214E-02
 -6.85657E+01 -5.04470E-02  2.85598E-02
 -6.83181E+01  1.94997E-02  4.98110E-02
 -6.80706E+01  2.46561E-02  3.53268E-02
 -6.78231E+01 -1.73496E-02  2.90813E-02
 -6.75755E+01 -8.54385E-04  4.20831E-02
 -6.73280E+01  5.05539E-02  6.90328E-02
 -6.70805E+01  6.93423E-02  5.26235E-02
 -6.68330E+01  7.17687E-02  5.74718E-02
 -6.65854E+01  2.96241E-02  3.49434E-02
 -6.63379E+01 -2.10327E-02  2.87774E-02
 -6.60904E+01 -5.38356E-03  4.24014E-02
 -6.58428E+01  2.17261E-02  4.38002E-02
 -6.55953E+01  7.38839E-03  3.46545E-02
 -6.53478E+01 -4.18361E-03  3.80614E-02
 -6.51002E+01  1.26141E-02  4.24317E-02
 -6.48527E+01 -6.94461E-03  2.89870E-02
 -6.46052E+01 -7.13244E-03  4.41877E-02
 -6.43577E+01  3.65197E-02  4.42362E-02
 -6.41101E+01  2.88393E-02  4.71378E-02
 -6.38626E+01  9.16921E-03  3.42582E-02
 -6.36151E+01 -1.79807E-02  3.41211E-02
 -6.33675E+01 -2.09267E-02  3.84063E-02
 -6.31200E+01  1.26488E-02  2.67276E-02
 -6.28725E+01 -3.90421E-02  3.09447E-02
 -6.26249E+01 -1.43911E-02  3.74978E-02
 -6.23774E+01  7.11659E-03  3.96307E-02
 -6.21299E+01  9.13158E-03  3.18360E-02
 -6.18824E+01 -2.13075E-02  2.94106E-02
 -6.16348E+01 -2.86681E-02  3.54102E-02
 -6.13873E+01  2.90848E-03  4.27386E-02
 -6.11398E+01 -6.78406E-03  3.86290E-02
 -6.08922E+01  2.29726E-02  4.21056E-02
 -6.06447E+01  1.78153E-02  3.31497E-02
 -6.03972E+01 -3.32670E-02  4.40559E-02
 -6.01497E+01  2.68345E-03  2.86862E-02
 -5.99021E+01 -1.67573E-02  3.66164E-02
 -5.96546E+01 -5.52523E-03  3.63574E-02
 -5.94071E+01 -2.42705E-02  2.23391E-02
 -5.91595E+01 -5.91581E-02  2.84437E-02
 -5.89120E+01  9.48513E-03  5.75396E-02
 -5.86645E+01  8.18491E-02  4.04040E-02
 -5.84169E+01 -6.44044E-03  3.09128E-02
 -5.81694E+01 -2.05912E-02  5.29283E-02
 -5.79219E+01  3.78908E-02  3.26625E-02
 -5.76744E+01  8.21073E-03  4.87354E-02
 -5.74268E+01  6.84703E-02  6.55310E-02
 -5.71793E+01  8.59078E-02  4.89196E-02
 -5.69318E+01  6.71647E-02  4.87611E-02
 -5.66842E+01  1.35086E-02  5.10578E-02
 -5.64367E+01  3.34626E-02  5.29423E-02
 -5.61892E+01  7.54091E-02  4.83240E-02
 -5.59417E+01 -2.46359E-05  3.00408E-02
 -5.56941E+01  1.68049E-03  5.02904E-02
 -5.54466E+01  5.98754E-02  4.54789E-02
 -5.51991E+01  4.76778E-02  6.57061E-02
 -5.49515E+01  9.25744E-02  4.50507E-02
 -5.47040E+01  3.49970E-02  6.16538E-02
 -5.44565E+01  1.01452E-01  5.42450E-02
 -5.42089E+01  8.44400E-02  5.72875E-02
 -5.39614E+01  9.22472E-02  6.08444E-02
 -5.37139E+01  9.58380E-02  5.85020E-02
 -5.34664E+01  5.49377E-02  4.35144E-02
 -5.32188E+01  1.67601E-02  6.25896E-02
 -5.29713E+01  1.56417E-01  6.97813E-02
 -5.27238E+01  1.89627E-01  8.32744E-02
 -5.24762E+01  2.18415E-01  7.85145E-02
 -5.22287E+01  2.23602E-01  8.66401E-02
 -5.19812E+01  1.62449E-01  4.03376E-02
 -5.17337E+01  5.37826E-02  8.09104E-02
 -5.14861E+01  2.03680E-01  7.72130E-02
 -5.12386E+01  2.24728E-01  9.84351E-02
 -5.09911E+01  3.41744E-01  7.20926E-02
 -5.07435E+01  1.52479E-01  7.44245E-02
 -5.04960E+01  1.92482E-01  9.17983E-02
 -5.02485E+01  2.79971E-01  8.98698E-02
 -5.00009E+01  3.20422E-01  8.96413E-02
 -4.97534E+01  3.84122E-01  9.41233E-02
 -4.95059E+01  2.21355E-01  8.30052E-02
 -4.92584E+01  2.70580E-01  8.01605E-02
 -4.90108E+01  2.11720E-01  8.81158E-02
 -4.87633E+01  3.05889E-01  8.77051E-02
 -4.85158E+01  2.88502E-01  1.01999E-01
 -4.82682E+01  3.75430E-01  1.06128E-01
 -4.80207E+01  3.33286E-01  8.12350E-02
 -4.77732E+01  2.02981E-01  7.08648E-02
 -4.75257E+01  1.56299E-01  7.51186E-02
 -4.72781E+01  1.12527E-01  6.08045E-02
 -4.70306E+01  1.29825E-01  7.77817E-02
 -4.67831E+01  2.59161E-01  8.44444E-02
 -4.65355E+01  1.50725E-01  5.87117E-02
 -4.62880E+01  1.06749E-01  7.64592E-02
 -4.60405E+01  2.34873E-01  8.35532E-02
 -4.57929E+01  2.06906E-01  7.95146E-02
 -4.55454E+01  2.76176E-01  8.28270E-02
 -4.52979E+01  2.28394E-01  8.87504E-02
 -4.50504E+01  2.35502E-01  7.62298E-02
 -4.48028E+01  2.08796E-01  8.22360E-02
 -4.45553E+01  2.58430E-01  7.76920E-02
 -4.43078E+01  1.47148E-01  7.08764E-02
 -4.40602E+01  1.83656E-01  8.10721E-02
 -4.38127E+01  1.89501E-01  7.63383E-02
 -4.35652E+01  2.64895E-01  8.57795E-02
 -4.33177E+01  2.25676E-01  7.55822E-02
 -4.30701E+01  2.05626E-01  7.61250E-02
 -4.28226E+01  1.96263E-01  8.39948E-02
 -4.25751E+01  2.54639E-01  8.55935E-02
 -4.23275E+01  2.33764E-01  6.89811E-02
 -4.20800E+01  1.43956E-01  7.64274E-02
 -4.18325E+01  3.27875E-01  9.99179E-02
 -4.15849E+01  3.69275E-01  9.59808E-02
 -4.13374E+01  3.06384E-01  8.19039E-02
 -4.10899E+01  1.57732E-01  7.26855E-02
 -4.08424E+01  1.60259E-01  7.70417E-02
 -4.05948E+01  3.16946E-01  8.65746E-02
 -4.03473E+01  3.70144E-01  1.01498E-01
 -4.00998E+01  3.90588E-01  9.62410E-02
 -3.98522E+01  2.60865E-01  9.10430E-02
 -3.96047E+01  3.53329E-01  1.11875E-01
 -3.93572E+01  4.50243E-01  9.74003E-02
 -3.91097E+01  2.24086E-01  8.73926E-02
 -3.88621E+01  3.79563E-01  1.00944E-01
 -3.86146E+01  4.75286E-01  9.60773E-02
 -3.83671E+01  4.40110E-01  1.14385E-01
 -3.81195E+01  5.36871E-01  1.13468E-01
 -3.78720E+01  3.93047E-01  1.10347E-01
 -3.76245E+01  3.92236E-01  9.09274E-02
 -3.73769E+01  2.86197E-01  1.00509E-01
 -3.71294E+01  3.47356E-01  8.95530E-02
 -3.68819E+01  3.59365E-01  9.80735E-02
 -3.66344E+01  4.94506E-01  1.20341E-01
 -3.63868E+01  4.44404E-01  1.00221E-01
 -3.61393E+01  3.61090E-01  1.10013E-01
 -3.58918E+01  5.93093E-01  1.18522E-01
 -3.56442E+01  4.84630E-01  1.15884E-01
 -3.53967E+01  4.97322E-01  1.00642E-01
 -3.51492E+01  3.04817E-01  9.05522E-02
 -3.49017E+01  4.04527E-01  1.08139E-01
 -3.46541E+01  6.44172E-01  1.33701E-01
 -3.44066E+01  7.34890E-01  1.19415E-01
 -3.41591E+01  7.55588E-01  1.39344E-01
 -3.39115E+01  7.79719E-01  1.34329E-01
 -3.36640E+01  6.77105E-01  1.33433E-01
 -3.34165E+01  8.14169E-01  1.40374E-01
 -3.31689E+01  5.59732E-01  1.07791E-01
 -3.29214E+01  5.75625E-01  1.38314E-01
 -3.26739E+01  7.44757E-01  1.22188E-01
 -3.24264E+01  6.24363E-01  1.29370E-01
 -3.21788E+01  8.38565E-01  1.38510E-01
 -3.19313E+01  8.02158E-01  1.41296E-01
 -3.16838E+01  9.08143E-01  1.41670E-01
 -3.14362E+01  7.90625E-01  1.37671E-01
 -3.11887E+01  8.61412E-01  1.38283E-01
 -3.09412E+01  7.69779E-01  1.36979E-01
 -3.06937E+01  9.47414E-01  1.61160E-01
 -3.04461E+01  8.99213E-01  1.37878E-01
 -3.01986E+01  7.73009E-01  1.36367E-01
 -2.99511E+01  8.67671E-01  1.38046E-01
 -2.97035E+01  8.83210E-01  1.44763E-01
 -2.94560E+01  1.06670E+00  1.61608E-01
 -2.92085E+01  1.02764E+00  1.64490E-01
 -2.89609E+01  1.12360E+00  1.68519E-01
 -2.87134E+01  1.14650E+00  1.58277E-01
 -2.84659E+01  1.07688E+00  1.60811E-01
 -2.82184E+01  1.00468E+00  1.48738E-01
 -2.79708E+01  9.88945E-01  1.56203E-01
 -2.77233E+01  1.34511E+00  1.86594E-01
 -2.74758E+01  1.40942E+00  1.68866E-01
 -2.72282E+01  1.09948E+00  1.57050E-01
 -2.69807E+01  1.01950E+00  1.60769E-01
 -2.67332E+01  1.32649E+00  1.74929E-01
 -2.64857E+01  1.14533E+00  1.55200E-01
 -2.62381E+01  9.88953E-01  1.52181E-01
 -2.59906E+01  9.42499E-01  1.48828E-01
 -2.57431E+01  8.90630E-01  1.45261E-01
 -2.54955E+01  1.09812E+00  1.62250E-01
 -2.52480E+01  1.15511E+00  1.62413E-01
 -2.50005E+01  8.89839E-01  1.34273E-01
 -2.47529E+01  8.39581E-01  1.39860E-01
 -2.45054E+01  1.02814E+00  1.59711E-01
 -2.42579E+01  1.02763E+00  1.54406E-01
 -2.40104E+01  8.77349E-01  1.42460E-01
 -2.37628E+01  7.24878E-01  1.35927E-01
 -2.35153E+01  8.25774E-01  1.41092E-01
 -2.32678E+01  7.55333E-01  1.30726E-01
 -2.30202E+01  9.33471E-01  1.58975E-01
 -2.27727E+01  8.96799E-01  1.35596E-01
