@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:49:03 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.07781E+01 -3.22774E-02
 -7.05289E+01 -2.54365E-02
 -7.02797E+01  3.04042E-03
 -7.00305E+01  1.35818E-02
 -6.97812E+01  1.28291E-03
 -6.95320E+01 -4.82891E-03
 -6.92828E+01  8.93936E-03
 -6.90336E+01  2.38206E-02
 -6.87844E+01  1.87379E-02
 -6.85351E+01  4.44628E-03
 -6.82859E+01 -2.74182E-03
 -6.80367E+01 -6.46223E-04
 -6.77875E+01  4.64711E-04
 -6.75383E+01 -6.59142E-03
 -6.72890E+01 -1.03354E-03
 -6.70398E+01  1.90358E-02
 -6.67906E+01  2.33432E-02
 -6.65414E+01  1.10848E-02
 -6.62922E+01  8.61064E-03
 -6.60430E+01  1.61044E-02
 -6.57937E+01  1.69096E-02
 -6.55445E+01  1.73649E-02
 -6.52953E+01  2.47846E-02
 -6.50461E+01  1.99208E-02
 -6.47969E+01  1.28028E-02
 -6.45476E+01  2.08130E-02
 -6.42984E+01  2.27196E-02
 -6.40492E+01  1.55802E-02
 -6.38000E+01  2.05319E-02
 -6.35508E+01  2.57462E-02
 -6.33016E+01  2.04340E-02
 -6.30523E+01  2.35783E-02
 -6.28031E+01  2.57067E-02
 -6.25539E+01  1.03790E-02
 -6.23047E+01  4.45189E-03
 -6.20555E+01  2.50057E-02
 -6.18062E+01  4.09236E-02
 -6.15570E+01  3.13885E-02
 -6.13078E+01  1.03657E-02
 -6.10586E+01  2.65284E-03
 -6.08094E+01  1.48826E-02
 -6.05601E+01  3.12103E-02
 -6.03109E+01  4.28385E-02
 -6.00617E+01  4.85017E-02
 -5.98125E+01  4.26210E-02
 -5.95633E+01  3.50978E-02
 -5.93141E+01  4.14697E-02
 -5.90648E+01  4.93595E-02
 -5.88156E+01  5.68320E-02
 -5.85664E+01  7.07628E-02
 -5.83172E+01  8.93169E-02
 -5.80680E+01  1.06672E-01
 -5.78187E+01  1.23557E-01
 -5.75695E+01  1.31845E-01
 -5.73203E+01  1.23734E-01
 -5.70711E+01  1.22192E-01
 -5.68219E+01  1.42829E-01
 -5.65726E+01  1.54706E-01
 -5.63234E+01  1.38296E-01
 -5.60742E+01  1.32904E-01
 -5.58250E+01  1.53764E-01
 -5.55758E+01  1.61438E-01
 -5.53266E+01  1.43425E-01
 -5.50773E+01  1.24984E-01
 -5.48281E+01  1.26203E-01
 -5.45789E+01  1.44141E-01
 -5.43297E+01  1.76931E-01
 -5.40805E+01  1.88781E-01
