@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:52:35 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "two-phonon contribution (1/eV)"
@type xy
 -8.39411E+01 -3.65832E-04
 -8.36920E+01 -5.21241E-04
 -8.34429E+01 -9.66322E-05
 -8.31938E+01  2.09904E-05
 -8.29447E+01 -3.65462E-04
 -8.26957E+01 -3.58000E-04
 -8.24466E+01 -7.33425E-05
 -8.21975E+01 -2.15929E-04
 -8.19484E+01 -4.06823E-04
 -8.16993E+01 -2.33886E-04
 -8.14502E+01 -1.80224E-04
 -8.12012E+01 -3.28128E-04
 -8.09521E+01 -3.05291E-04
 -8.07030E+01 -2.05904E-04
 -8.04539E+01 -2.04890E-04
 -8.02048E+01 -2.18208E-04
 -7.99557E+01 -2.41062E-04
 -7.97067E+01 -2.93193E-04
 -7.94576E+01 -2.59681E-04
 -7.92085E+01 -1.68790E-04
 -7.89594E+01 -2.10649E-04
 -7.87103E+01 -3.21442E-04
 -7.84612E+01 -3.27684E-04
 -7.82122E+01 -2.60981E-04
 -7.79631E+01 -1.87490E-04
 -7.77140E+01 -1.70712E-04
 -7.74649E+01 -2.95089E-04
 -7.72158E+01 -4.06092E-04
 -7.69667E+01 -3.52023E-04
 -7.67177E+01 -3.44586E-04
 -7.64686E+01 -4.79817E-04
 -7.62195E+01 -4.43797E-04
 -7.59704E+01 -2.70787E-04
 -7.57213E+01 -2.83887E-04
 -7.54722E+01 -2.73952E-04
 -7.52232E+01 -1.47353E-04
 -7.49741E+01 -1.86166E-04
 -7.47250E+01 -1.96265E-04
 -7.44759E+01 -8.11281E-05
 -7.42268E+01 -1.14322E-04
 -7.39777E+01 -1.21227E-04
 -7.37287E+01  2.32563E-04
 -7.34796E+01  4.88861E-04
 -7.32305E+01  2.85716E-04
 -7.29814E+01  3.46491E-04
 -7.27323E+01  7.63727E-04
 -7.24832E+01  7.96225E-04
 -7.22342E+01  6.70125E-04
 -7.19851E+01  9.84817E-04
 -7.17360E+01  1.43277E-03
 -7.14869E+01  1.56224E-03
 -7.12378E+01  1.58493E-03
 -7.09887E+01  1.67644E-03
 -7.07397E+01  1.78153E-03
 -7.04906E+01  1.93880E-03
 -7.02415E+01  2.07039E-03
 -6.99924E+01  2.20188E-03
 -6.97433E+01  2.46792E-03
 -6.94942E+01  2.60531E-03
 -6.92452E+01  2.42805E-03
 -6.89961E+01  2.41456E-03
 -6.87470E+01  2.88749E-03
 -6.84979E+01  3.20468E-03
 -6.82488E+01  2.82997E-03
 -6.79997E+01  2.59844E-03
 -6.77507E+01  3.19142E-03
 -6.75016E+01  3.67738E-03
 -6.72525E+01  3.43724E-03
 -6.70034E+01  3.36668E-03
 -6.67543E+01  3.80960E-03
 -6.65052E+01  4.00660E-03
 -6.62562E+01  3.99736E-03
 -6.60071E+01  4.22765E-03
 -6.57580E+01  4.39487E-03
 -6.55089E+01  4.56901E-03
 -6.52598E+01  5.03892E-03
 -6.50107E+01  5.27451E-03
 -6.47617E+01  5.17262E-03
 -6.45126E+01  5.52416E-03
 -6.42635E+01  6.19799E-03
 -6.40144E+01  6.29240E-03
 -6.37653E+01  6.22029E-03
 -6.35162E+01  6.89136E-03
 -6.32672E+01  7.62870E-03
 -6.30181E+01  7.58374E-03
 -6.27690E+01  7.60472E-03
 -6.25199E+01  8.32767E-03
 -6.22708E+01  8.90665E-03
 -6.20217E+01  8.93884E-03
 -6.17727E+01  9.10406E-03
 -6.15236E+01  9.72940E-03
 -6.12745E+01  1.03472E-02
 -6.10254E+01  1.06178E-02
 -6.07763E+01  1.08066E-02
 -6.05272E+01  1.12965E-02
 -6.02782E+01  1.19063E-02
 -6.00291E+01  1.22478E-02
 -5.97800E+01  1.26066E-02
 -5.95309E+01  1.32760E-02
 -5.92818E+01  1.38959E-02
 -5.90327E+01  1.42629E-02
 -5.87837E+01  1.45857E-02
 -5.85346E+01  1.49919E-02
 -5.82855E+01  1.57015E-02
 -5.80364E+01  1.67440E-02
 -5.77873E+01  1.74392E-02
 -5.75382E+01  1.77165E-02
 -5.72892E+01  1.83322E-02
