@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:52:35 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -8.38273E+01 -3.35854E+00  0.00000E+00
 -8.35782E+01  1.18848E+00  1.08145E+01
 -8.33291E+01  5.34356E+00  2.20791E-01
 -8.30800E+01  5.41498E+00  7.57800E+00
 -8.28309E+01  2.53743E+00  1.77725E-01
 -8.25819E+01 -1.99458E+00  2.67912E+00
 -8.23328E+01 -2.20847E+00  9.79383E-02
 -8.20837E+01 -2.15066E+00  2.14619E+00
 -8.18346E+01 -2.07398E+00  2.11950E+00
 -8.15855E+01  5.48807E-01  3.40407E+00
 -8.13364E+01  2.96093E+00  1.65161E+00
 -8.10874E+01 -1.05043E+00  2.60675E+00
 -8.08383E+01  1.09300E+00  1.63057E+00
 -8.05892E+01  2.63558E-01  2.92693E+00
 -8.03401E+01  1.33076E+00  1.29265E+00
 -8.00910E+01 -1.91146E+00  1.09117E+00
 -7.98419E+01 -5.62197E-01  2.03909E+00
 -7.95929E+01 -1.56154E-01  2.00236E+00
 -7.93438E+01  1.35718E+00  2.26460E+00
 -7.90947E+01  1.36679E+00  1.64296E+00
 -7.88456E+01 -6.66505E-01  1.93130E+00
 -7.85965E+01 -3.85407E-01  1.47785E+00
 -7.83474E+01 -1.79871E+00  9.94472E-01
 -7.80984E+01 -3.26535E-01  1.85572E+00
 -7.78493E+01 -9.24528E-01  1.12410E+00
 -7.76002E+01 -2.19967E+00  1.02806E+00
 -7.73511E+01 -8.40279E-01  1.73703E+00
 -7.71020E+01 -8.23917E-01  1.37352E+00
 -7.68529E+01 -4.21171E-01  2.05817E+00
 -7.66039E+01  4.61580E-01  2.50063E+00
 -7.63548E+01  2.85323E+00  2.44234E+00
 -7.61057E+01  2.19993E+00  1.97122E+00
 -7.58566E+01  1.32906E+00  2.02662E+00
 -7.56075E+01 -8.71981E-01  1.45583E+00
 -7.53584E+01  1.58545E+00  2.53807E+00
 -7.51094E+01  5.52608E-01  1.17079E+00
 -7.48603E+01 -2.03217E+00  1.10006E+00
 -7.46112E+01 -1.10927E+00  1.71653E+00
 -7.43621E+01 -2.39676E+00  2.61748E-01
 -7.41130E+01 -9.69498E-01  2.32645E+00
 -7.38639E+01  3.55625E+00  2.52751E+00
 -7.36149E+01  3.67200E+00  2.31506E+00
 -7.33658E+01 -1.70270E-01  1.38650E+00
 -7.31167E+01 -2.15052E+00  1.11628E+00
 -7.28676E+01 -1.03145E+00  1.71205E+00
 -7.26185E+01 -5.59216E-01  2.04065E+00
 -7.23694E+01 -9.10546E-01  1.40990E+00
 -7.21204E+01 -1.73857E+00  1.34181E+00
 -7.18713E+01 -1.35825E+00  1.02494E+00
 -7.16222E+01 -5.52106E-01  2.17325E+00
 -7.13731E+01  1.67940E+00  2.35924E+00
 -7.11240E+01  1.30206E+00  1.70586E+00
 -7.08749E+01 -2.23706E+00  1.13250E+00
 -7.06259E+01 -8.65504E-01  1.47951E+00
 -7.03768E+01 -1.51461E+00  1.40908E+00
 -7.01277E+01 -1.09602E+00  2.13199E+00
 -6.98786E+01  2.71435E+00  2.01917E+00
 -6.96295E+01 -2.46182E-01  1.66652E+00
 -6.93804E+01  6.92832E-01  1.95537E+00
 -6.91314E+01 -1.31639E+00  1.11428E+00
 -6.88823E+01  6.63608E-01  2.55861E+00
 -6.86332E+01  3.15616E+00  2.16491E+00
 -6.83841E+01  6.64954E-03  1.51768E+00
 -6.81350E+01 -8.07501E-01  1.92708E+00
 -6.78859E+01 -1.88045E-01  2.20829E+00
 -6.76369E+01  2.04768E+00  1.77242E+00
 -6.73878E+01  1.79328E+00  3.53255E+00
 -6.71387E+01  5.20995E+00  2.47938E+00
 -6.68896E+01  1.26322E+00  1.40805E+00
 -6.66405E+01 -1.17350E-01  2.74015E+00
 -6.63914E+01  2.87995E+00  1.99941E+00
 -6.61424E+01  1.08882E+00  2.09437E+00
 -6.58933E+01 -4.03289E-01  1.55134E+00
 -6.56442E+01 -1.75088E+00  1.35381E+00
 -6.53951E+01  1.31281E+00  2.38704E+00
 -6.51460E+01  2.81103E+00  2.45837E+00
 -6.48969E+01  5.15499E-01  1.36339E+00
 -6.46479E+01 -2.35627E+00  5.91937E-01
 -6.43988E+01  4.02809E-01  2.40987E+00
 -6.41497E+01  5.30976E-01  1.47313E+00
 -6.39006E+01 -1.33654E+00  1.86603E+00
 -6.36515E+01 -7.08976E-01  1.43285E+00
 -6.34024E+01  2.02188E-02  1.73652E+00
 -6.31534E+01 -9.10540E-02  1.85402E+00
 -6.29043E+01 -1.26841E+00  1.07137E+00
 -6.26552E+01 -1.70581E+00  1.38202E+00
 -6.24061E+01 -1.09981E+00  2.13866E+00
 -6.21570E+01  1.77955E+00  2.05455E+00
 -6.19079E+01 -8.66700E-01  1.04567E+00
 -6.16589E+01  1.11289E+00  3.02706E+00
 -6.14098E+01  3.66614E+00  1.26962E+00
 -6.11607E+01 -2.17033E+00  1.35333E+00
 -6.09116E+01 -1.04533E+00  1.92636E+00
 -6.06625E+01  4.42298E-01  1.69008E+00
 -6.04134E+01 -9.01244E-02  1.75675E+00
 -6.01644E+01 -6.66371E-01  1.18308E+00
 -5.99153E+01 -4.04293E-01  1.91263E+00
 -5.96662E+01 -1.22328E-01  1.76471E+00
 -5.94171E+01 -3.88240E-01  1.95365E+00
 -5.91680E+01 -4.33699E-01  1.69503E+00
 -5.89189E+01  1.15409E+00  2.19166E+00
 -5.86699E+01  1.08947E-01  1.64969E+00
 -5.84208E+01  1.78082E+00  2.75217E+00
 -5.81717E+01  1.96541E+00  2.39790E+00
 -5.79226E+01  2.88217E+00  2.24021E+00
 -5.76735E+01  1.37023E+00  2.67405E+00
