@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:54:15 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.34754E+01 -4.69983E-02  0.00000E+00
 -8.32263E+01 -4.70063E-02  0.00000E+00
 -8.29771E+01 -4.70144E-02  0.00000E+00
 -8.27279E+01 -4.70225E-02  0.00000E+00
 -8.24787E+01 -4.76691E-02  0.00000E+00
 -8.22295E+01 -4.37978E-02  1.74009E-03
 -8.19804E+01  5.38420E-02  1.07907E-02
 -8.17312E+01 -4.57115E-02  1.25577E-02
 -8.14820E+01 -2.52747E-03  7.95829E-02
 -8.12328E+01  8.80068E-02  1.01787E-01
 -8.09836E+01  4.14583E-02  1.78931E-02
 -8.07345E+01 -1.40336E-02  4.29197E-02
 -8.04853E+01 -2.13721E-03  4.64722E-02
 -8.02361E+01 -1.95210E-02  9.29041E-03
 -7.99869E+01 -2.25801E-02  2.65417E-02
 -7.97377E+01 -4.34414E-02  1.09099E-02
 -7.94886E+01  1.04505E-02  4.70819E-02
 -7.92394E+01 -1.04882E-02  9.95378E-03
 -7.89902E+01 -2.55495E-02  2.29868E-02
 -7.87410E+01 -4.62925E-02  4.21713E-03
 -7.84918E+01 -2.89066E-02  2.72244E-02
 -7.82427E+01  1.71991E-02  4.72633E-02
 -7.79935E+01  2.78601E-02  3.53509E-02
 -7.77443E+01  1.27536E-02  3.99553E-02
 -7.74951E+01 -1.89864E-03  2.72194E-02
 -7.72459E+01  1.85327E-02  4.87178E-02
 -7.69968E+01  8.88746E-03  2.85967E-02
 -7.67476E+01  2.13776E-03  4.10801E-02
 -7.64984E+01 -8.15825E-03  2.51530E-02
 -7.62492E+01 -3.64655E-02  1.09703E-02
 -7.60000E+01 -1.49097E-02  3.41820E-02
 -7.57509E+01 -6.85102E-04  2.77078E-02
 -7.55017E+01 -9.79393E-03  3.55893E-02
 -7.52525E+01 -9.21185E-03  2.72168E-02
 -7.50033E+01  7.23517E-03  4.42046E-02
 -7.47541E+01  2.12177E-02  3.54508E-02
 -7.45049E+01 -2.18089E-02  2.53276E-02
 -7.42558E+01 -8.88773E-03  3.34147E-02
 -7.40066E+01 -2.36481E-02  2.53830E-02
 -7.37574E+01 -1.75191E-02  2.46538E-02
 -7.35082E+01 -3.59697E-02  1.00946E-03
 -7.32590E+01 -4.48120E-02  8.46807E-03
 -7.30099E+01 -1.25676E-03  3.59573E-02
 -7.27607E+01 -5.52964E-03  4.03558E-02
 -7.25115E+01 -1.11331E-02  1.05961E-02
 -7.22623E+01 -5.94594E-03  3.66374E-02
 -7.20131E+01  3.02454E-02  5.03667E-02
 -7.17640E+01  9.22129E-02  5.37895E-02
 -7.15148E+01 -3.12637E-02  8.85815E-03
 -7.12656E+01 -1.73536E-02  3.27038E-02
 -7.10164E+01 -2.74982E-02  1.04594E-02
 -7.07672E+01 -5.94680E-03  3.55541E-02
 -7.05181E+01  8.46970E-03  3.46982E-02
 -7.02689E+01  9.86772E-04  4.08082E-02
 -7.00197E+01 -2.36897E-02  1.01008E-02
 -6.97705E+01 -5.53640E-03  4.44570E-02
 -6.95213E+01  9.85662E-02  5.85290E-02
 -6.92722E+01  1.13670E-02  2.29307E-02
 -6.90230E+01 -4.56611E-02  6.18804E-03
 -6.87738E+01 -1.10796E-02  3.54936E-02
 -6.85246E+01  2.77608E-02  4.91944E-02
 -6.82754E+01  5.65610E-03  2.64248E-02
 -6.80263E+01  2.35177E-03  3.71617E-02
 -6.77771E+01  2.08458E-03  3.36514E-02
 -6.75279E+01 -2.21598E-02  2.37512E-02
 -6.72787E+01 -2.09995E-02  2.62721E-02
 -6.70295E+01  8.77554E-03  4.29052E-02
 -6.67804E+01  2.53901E-02  4.27248E-02
 -6.65312E+01  3.11728E-02  4.32153E-02
 -6.62820E+01  4.16144E-02  4.75126E-02
 -6.60328E+01  2.89900E-02  3.45620E-02
 -6.57836E+01 -1.82053E-02  3.75145E-02
 -6.55345E+01  3.77188E-02  4.85452E-02
 -6.52853E+01  3.46508E-02  4.18023E-02
 -6.50361E+01  5.90073E-03  3.56457E-02
 -6.47869E+01 -1.37019E-02  1.03528E-02
 -6.45377E+01 -3.20163E-03  4.08860E-02
 -6.42886E+01  1.86555E-02  4.28143E-02
 -6.40394E+01  2.74678E-02  4.16392E-02
 -6.37902E+01  1.04897E-02  3.62963E-02
 -6.35410E+01  4.50066E-02  4.73274E-02
 -6.32918E+01 -2.90797E-03  2.53127E-02
 -6.30426E+01 -1.17018E-02  3.65146E-02
 -6.27935E+01  2.17086E-02  4.58918E-02
 -6.25443E+01  2.33839E-02  2.66988E-02
 -6.22951E+01 -1.01507E-02  4.19864E-02
 -6.20459E+01  3.68416E-02  4.50459E-02
 -6.17967E+01  3.72641E-02  5.03092E-02
 -6.15476E+01  4.86276E-02  3.98113E-02
 -6.12984E+01 -7.51377E-03  1.48498E-02
 -6.10492E+01  4.57930E-02  5.64729E-02
 -6.08000E+01  6.59859E-02  5.84298E-02
 -6.05508E+01  1.00748E-01  5.39865E-02
 -6.03017E+01 -2.53476E-02  9.50283E-03
 -6.00525E+01 -3.13990E-02  2.93300E-02
 -5.98033E+01  1.05093E-02  4.22886E-02
 -5.95541E+01 -7.56196E-03  2.63048E-02
 -5.93049E+01 -2.33675E-02  1.56475E-02
 -5.90558E+01  7.54278E-03  4.95606E-02
 -5.88066E+01  4.21046E-02  4.27621E-02
 -5.85574E+01  3.16505E-02  4.32573E-02
 -5.83082E+01  2.25283E-02  4.73635E-02
 -5.80590E+01  3.36773E-02  4.31082E-02
 -5.78099E+01  6.15943E-02  4.55877E-02
 -5.75607E+01  4.44832E-02  4.85755E-02
 -5.73115E+01 -2.04088E-02  2.60386E-02
 -5.70623E+01  1.20070E-02  4.37600E-02
 -5.68131E+01  2.31618E-02  4.01598E-02
 -5.65640E+01  2.75950E-02  5.72536E-02
 -5.63148E+01  7.73967E-02  5.35604E-02
 -5.60656E+01  6.09302E-02  3.89953E-02
 -5.58164E+01  7.42070E-02  6.61692E-02
 -5.55672E+01  6.47781E-02  4.19327E-02
 -5.53181E+01 -2.57417E-02  2.59118E-02
 -5.50689E+01  7.82751E-03  4.41260E-02
 -5.48197E+01  4.96194E-02  4.11034E-02
 -5.45705E+01 -3.95858E-03  3.61105E-02
 -5.43213E+01  2.64012E-02  5.70118E-02
 -5.40722E+01  5.75686E-02  2.41503E-02
 -5.38230E+01 -8.83733E-03  3.32701E-02
