Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,fLM T=0,dfLM T=0,KE T=0,dKE T=0,Cvib,dCvib,Svib,dSvib,Resilience,dResilience,TLM,dTLM,IF,dIF,highTIF,dhighTIF,Fvib,dFvib
Aug 2011,2011Aug_Ambient,FeNi_Ambient,0.7768,0.0009,14.1078,0.054,163.4206,1.7801,0.92,0.0002,6.609,0.0352,2.7369,0.0093,3.2138,0.0101,91.7485,0.4133,1245.7,5.61,1.3714,0.0626,1.399,0.0152,1.5966,0.2518
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.7842,0.0016,14.1515,0.1176,169.8696,5.6444,0.9212,0.0004,6.7242,0.0881,2.7283,0.0172,3.1682,0.018,94.5202,0.8358,1283.3,11.35,1.4221,0.1364,1.4542,0.0483,3.1727,0.6037
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.8028,0.0017,14.3263,0.1267,194.9554,6.6376,0.9252,0.0004,7.1648,0.0989,2.6923,0.0172,3.0121,0.0173,104.1307,1.0332,1413.8,14.03,1.6249,0.1471,1.6689,0.0568,8.3884,0.6624
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8252,0.0013,14.3581,0.1242,198.1953,6.3799,0.9289,0.0004,7.3436,0.0966,2.6823,0.017,2.9027,0.0167,120.8506,0.9845,1640.8,13.37,1.6619,0.1442,1.6967,0.0546,11.3354,0.6306
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8343,0.0013,14.5424,0.1386,226.526,7.469,0.9311,0.0004,7.7055,0.1101,2.6491,0.0182,2.81,0.0175,129.6933,1.1474,1760.9,15.58,1.8757,0.1609,1.9392,0.0639,14.7375,0.7093
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8548,0.0011,14.7087,0.1365,249.1474,7.8447,0.9358,0.0004,8.1878,0.1112,2.6114,0.0168,2.6233,0.0153,151.5954,1.3028,2058.2,17.69,2.0687,0.1583,2.1328,0.0672,20.5506,0.706
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8658,0.0013,15.0152,0.1591,296.463,8.6121,0.9389,0.0004,8.7735,0.1282,2.5566,0.02,2.483,0.0178,166.5119,1.9016,2260.8,25.82,2.4244,0.1847,2.5379,0.0737,25.9921,0.8038
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.8749,0.0013,15.099,0.1647,307.4385,9.4326,0.941,0.0004,9.0118,0.1354,2.5369,0.0198,2.3955,0.017,181.3793,2.1,2462.6,28.51,2.5217,0.1912,2.6319,0.0807,28.7058,0.845
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8799,0.0013,15.1312,0.1631,310.0698,8.9941,0.9423,0.0004,9.1464,0.1337,2.5257,0.0195,2.3383,0.0164,188.7783,2.2852,2563.1,31.03,2.5591,0.1893,2.6544,0.077,30.5209,0.829
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.8837,0.0014,15.293,0.1715,335.6794,8.9299,0.9437,0.0004,9.4395,0.1372,2.4981,0.0218,2.2743,0.0183,196.5293,2.6631,2668.3,36.16,2.7467,0.199,2.8736,0.0764,33.0807,0.8511
