@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:28:01 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.06335E+01 -3.53801E-02  0.00000E+00
 -8.03846E+01 -3.71730E-02  0.00000E+00
 -8.01357E+01  7.66621E-02  7.02962E-02
 -7.98868E+01  3.42657E-02  3.68276E-02
 -7.96380E+01  1.75224E-02  3.14066E-02
 -7.93891E+01  1.50793E-02  3.08755E-02
 -7.91402E+01  5.84412E-03  3.12588E-02
 -7.88914E+01  1.01498E-03  3.11716E-02
 -7.86425E+01 -1.61719E-02  9.52702E-03
 -7.83936E+01 -2.85738E-02  1.51404E-02
 -7.81448E+01 -2.00385E-02  1.68540E-02
 -7.78959E+01  3.51469E-03  2.60551E-02
 -7.76470E+01 -1.48772E-02  1.75990E-02
 -7.73982E+01 -1.57182E-02  1.55579E-02
 -7.71493E+01 -1.38213E-02  2.97907E-02
 -7.69004E+01  2.13330E-03  2.41075E-02
 -7.66516E+01 -1.14646E-02  1.48601E-02
 -7.64027E+01 -9.17935E-03  2.68758E-02
 -7.61538E+01  4.97812E-03  2.85499E-02
 -7.59049E+01  3.27863E-02  3.37138E-02
 -7.56561E+01 -2.37996E-04  2.16439E-02
 -7.54072E+01  8.35291E-03  2.64697E-02
 -7.51583E+01 -1.28092E-02  1.62960E-02
 -7.49095E+01  4.05791E-03  2.63567E-02
 -7.46606E+01 -2.03112E-02  1.62670E-02
 -7.44117E+01 -5.37513E-03  3.04691E-02
 -7.41629E+01  6.82087E-03  2.64906E-02
 -7.39140E+01  1.34698E-02  3.40421E-02
 -7.36651E+01  4.05110E-02  3.44595E-02
 -7.34163E+01  4.71942E-04  1.75920E-02
 -7.31674E+01 -9.92280E-03  2.64574E-02
 -7.29185E+01  8.33388E-04  1.72761E-02
 -7.26697E+01 -5.78877E-03  2.54654E-02
 -7.24208E+01 -1.79481E-02  7.53439E-03
 -7.21719E+01 -6.95481E-03  2.79451E-02
 -7.19230E+01 -1.23085E-02  2.72765E-02
 -7.16742E+01  1.04434E-02  3.38762E-02
 -7.14253E+01  2.26999E-02  3.31967E-02
 -7.11764E+01  2.28505E-02  3.51047E-02
 -7.09276E+01 -1.94347E-02  8.84220E-03
 -7.06787E+01  7.39086E-03  3.77080E-02
 -7.04298E+01 -1.67784E-02  8.88536E-03
 -7.01810E+01 -1.83833E-02  2.16944E-02
 -6.99321E+01  2.02886E-02  3.16468E-02
 -6.96832E+01 -8.51112E-03  2.29292E-02
 -6.94344E+01 -2.13517E-03  2.36663E-02
 -6.91855E+01 -3.44888E-02  5.62224E-03
 -6.89366E+01 -2.14314E-02  2.28425E-02
 -6.86878E+01  2.22888E-02  3.22073E-02
 -6.84389E+01 -2.30958E-02  7.70404E-03
 -6.81900E+01 -3.64782E-03  3.38941E-02
 -6.79411E+01  4.57884E-03  2.33979E-02
 -6.76923E+01 -5.66328E-03  2.34572E-02
 -6.74434E+01  3.34155E-03  2.15936E-02
 -6.71945E+01  4.22444E-02  4.81909E-02
 -6.69457E+01  3.51288E-02  3.06693E-02
 -6.66968E+01  1.59434E-02  3.29364E-02
 -6.64479E+01 -1.21076E-02  1.29578E-02
 -6.61991E+01  4.95241E-03  3.29022E-02
 -6.59502E+01  3.29343E-02  3.26146E-02
 -6.57013E+01 -1.26325E-02  1.79804E-02
 -6.54525E+01  7.40969E-03  3.23329E-02
 -6.52036E+01 -1.87259E-03  2.19710E-02
 -6.49547E+01 -1.00373E-02  1.96027E-02
 -6.47059E+01  4.81764E-02  4.67766E-02
 -6.44570E+01  2.64416E-02  1.71651E-02
 -6.42081E+01 -8.44384E-03  3.04604E-02
 -6.39592E+01  1.50315E-02  3.49158E-02
 -6.37104E+01  7.04910E-03  2.25052E-02
 -6.34615E+01  4.83837E-03  3.42039E-02
 -6.32126E+01  2.38372E-02  2.97849E-02
 -6.29638E+01 -2.84359E-02  5.50412E-03
 -6.27149E+01 -3.02983E-02  1.55951E-02
 -6.24660E+01 -1.16933E-02  2.12888E-02
 -6.22172E+01 -3.67679E-03  2.26900E-02
 -6.19683E+01  3.94584E-03  2.68132E-02
 -6.17194E+01  7.38309E-03  2.45710E-02
 -6.14706E+01 -2.77649E-02  1.66462E-02
 -6.12217E+01 -2.17306E-02  1.59687E-02
