@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:31:07 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -8.05995E+01 -2.80663E+00  0.00000E+00
 -8.03500E+01 -2.80628E+00  0.00000E+00
 -8.01005E+01 -7.25292E-01  8.94010E-02
 -7.98509E+01 -7.64596E-01  1.56182E+00
 -7.96014E+01 -1.38012E+00  1.55892E+00
 -7.93518E+01 -9.71657E-01  1.06452E+00
 -7.91023E+01 -2.07277E+00  3.50234E-01
 -7.88528E+01 -8.06674E-01  1.99313E+00
 -7.86032E+01  2.52334E-01  1.39647E+00
 -7.83537E+01 -3.04195E-01  1.45326E+00
 -7.81041E+01 -7.87366E-01  1.46461E+00
 -7.78546E+01 -1.25042E+00  1.40799E+00
 -7.76050E+01 -4.11854E-01  1.00903E+00
 -7.73555E+01 -1.54721E+00  1.38608E+00
 -7.71060E+01  1.48426E+00  2.30616E+00
 -7.68564E+01  1.29972E+00  1.82848E+00
 -7.66069E+01  3.23228E-01  1.36688E+00
 -7.63573E+01 -4.21371E-01  2.04409E+00
 -7.61078E+01  3.40577E+00  2.46619E+00
 -7.58583E+01  1.77159E+00  1.75066E+00
 -7.56087E+01  1.23912E-02  1.77573E+00
 -7.53592E+01 -1.09343E-02  1.45339E+00
 -7.51096E+01 -7.98948E-01  1.10480E+00
 -7.48601E+01  4.11944E-02  1.97494E+00
 -7.46105E+01 -1.31863E-01  1.40720E+00
 -7.43610E+01 -9.79577E-01  1.08597E+00
 -7.41115E+01 -1.35932E+00  1.69946E+00
 -7.38619E+01  6.92282E-01  1.39555E+00
 -7.36124E+01 -1.91532E+00  4.69473E-01
 -7.33628E+01 -8.07067E-01  1.95485E+00
 -7.31133E+01  1.34070E-01  1.97940E+00
 -7.28638E+01  4.99655E-01  4.62985E-01
 -7.26142E+01 -2.18916E+00  1.44384E+00
 -7.23647E+01 -3.73310E-02  1.42629E+00
 -7.21151E+01 -1.93976E+00  1.40832E+00
 -7.18656E+01  1.79734E+00  2.45776E+00
 -7.16160E+01  9.74730E-01  1.08236E+00
 -7.13665E+01 -1.49276E-01  2.33052E+00
 -7.11170E+01  4.75085E+00  2.58527E+00
 -7.08674E+01  1.75014E+00  1.72428E+00
 -7.06179E+01  1.65839E+00  2.69752E+00
 -7.03683E+01  2.55618E+00  1.56095E+00
 -7.01188E+01  1.57778E+00  2.21692E+00
 -6.98693E+01  1.74204E+00  2.03352E+00
 -6.96197E+01 -6.60843E-01  1.39705E+00
 -6.93702E+01  7.54188E-01  1.75672E+00
 -6.91206E+01  4.92533E-02  1.77345E+00
 -6.88711E+01  1.17413E+00  1.73095E+00
 -6.86215E+01  2.22049E-01  2.00152E+00
 -6.83720E+01  3.19548E-01  1.09825E+00
 -6.81225E+01 -1.45248E+00  1.73526E+00
 -6.78729E+01 -4.59121E-01  9.95336E-01
 -6.76234E+01 -1.79295E+00  1.03631E+00
 -6.73738E+01 -8.69582E-02  2.02053E+00
 -6.71243E+01 -1.07189E-01  1.42201E+00
 -6.68748E+01 -4.63667E-01  1.15920E+00
 -6.66252E+01  2.12592E-01  1.95372E+00
 -6.63757E+01 -3.37676E-01  1.45299E+00
 -6.61261E+01  2.24408E+00  2.21140E+00
 -6.58766E+01  1.98160E+00  2.38604E+00
 -6.56270E+01  1.69989E+00  2.18001E+00
 -6.53775E+01  2.33411E+00  1.79895E+00
 -6.51280E+01 -4.24502E-01  1.40388E+00
 -6.48784E+01 -9.18915E-01  1.03327E+00
 -6.46289E+01 -6.24706E-01  2.08667E+00
 -6.43793E+01  2.98082E+00  2.60046E+00
 -6.41298E+01  2.28425E+00  1.40845E+00
 -6.38803E+01 -1.62219E+00  2.62768E-01
 -6.36307E+01 -6.24694E-01  1.79142E+00
 -6.33812E+01  1.20895E+00  2.42654E+00
 -6.31316E+01  3.40766E+00  2.26276E+00
 -6.28821E+01  1.34740E+00  2.07341E+00
 -6.26325E+01  2.04659E+00  2.00373E+00
 -6.23830E+01 -1.83046E-01  1.69330E+00
 -6.21335E+01 -3.36199E-01  4.71151E-01
 -6.18839E+01 -1.65598E+00  1.74593E+00
 -6.16344E+01  1.10801E+00  2.25229E+00
 -6.13848E+01  1.87859E+00  1.42875E+00
 -6.11353E+01  7.29221E-02  2.22203E+00
 -6.08858E+01  2.03530E-01  1.21918E+00
 -6.06362E+01 -3.81123E-01  1.79215E+00
 -6.03867E+01  2.15038E+00  2.29943E+00
 -6.01371E+01  2.13358E+00  1.69019E+00
 -5.98876E+01 -9.02885E-01  1.03049E+00
 -5.96380E+01 -1.51771E+00  1.64996E+00
 -5.93885E+01  3.23080E-01  1.57402E+00
 -5.91390E+01 -5.16842E-01  1.64176E+00
 -5.88894E+01  8.70758E-02  1.73686E+00
 -5.86399E+01  1.68766E+00  2.01862E+00
 -5.83903E+01  1.23892E+00  1.83793E+00
 -5.81408E+01  6.45606E-01  2.08514E+00
 -5.78913E+01  2.06876E+00  2.22589E+00
 -5.76417E+01  6.64026E-01  1.06372E+00
 -5.73922E+01  3.41430E-01  2.43145E+00
 -5.71426E+01  2.28541E+00  1.75948E+00
 -5.68931E+01  3.76290E-01  1.45902E+00
 -5.66435E+01 -2.00555E-01  2.01423E+00
 -5.63940E+01  1.79167E+00  2.21299E+00
 -5.61445E+01  3.78503E+00  2.99241E+00
 -5.58949E+01  3.84747E+00  1.75259E+00
 -5.56454E+01  2.03512E+00  2.06666E+00
 -5.53958E+01  7.94327E-01  2.13110E+00
 -5.51463E+01  5.40626E+00  2.97853E+00
 -5.48968E+01  3.06028E+00  2.06179E+00
 -5.46472E+01  1.71407E+00  2.15991E+00
 -5.43977E+01  1.29546E+00  2.10147E+00
 -5.41481E+01  1.38202E+00  2.44415E+00
 -5.38986E+01  4.69881E+00  2.22699E+00
 -5.36490E+01  1.90179E+00  2.53478E+00
 -5.33995E+01  3.32381E+00  2.48336E+00
 -5.31500E+01  4.51101E+00  2.84391E+00
 -5.29004E+01  5.78485E+00  3.00266E+00
 -5.26509E+01  4.24020E+00  1.74330E+00
 -5.24013E+01  2.12583E+00  2.37236E+00
 -5.21518E+01  5.87945E+00  3.07426E+00
 -5.19023E+01  2.76680E+00  2.25078E+00
 -5.16527E+01  3.74634E+00  2.45585E+00
 -5.14032E+01  4.03219E+00  2.68203E+00
 -5.11536E+01  3.56063E+00  2.50940E+00
 -5.09041E+01  3.61804E+00  1.97007E+00
 -5.06545E+01  1.16201E+00  2.01052E+00
 -5.04050E+01  1.35616E+00  2.71079E+00
 -5.01555E+01  4.23952E+00  2.47921E+00
 -4.99059E+01  5.49645E+00  3.09832E+00
 -4.96564E+01  6.73043E+00  2.49364E+00
 -4.94068E+01  5.68832E-01  1.80938E+00
