@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:33:31 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -8.03880E+01 -2.96543E-02
 -8.01384E+01 -3.02538E-02
 -7.98887E+01 -1.05951E-02
 -7.96391E+01  5.30529E-03
 -7.93894E+01 -1.32397E-03
 -7.91398E+01 -8.98027E-03
 -7.88901E+01 -3.11707E-03
 -7.86404E+01  7.64752E-03
 -7.83908E+01  1.73151E-02
 -7.81411E+01  2.50066E-02
 -7.78915E+01  2.52743E-02
 -7.76418E+01  1.96168E-02
 -7.73922E+01  1.75232E-02
 -7.71425E+01  1.68992E-02
 -7.68929E+01  1.07268E-02
 -7.66432E+01  5.53325E-03
 -7.63936E+01  3.61982E-05
 -7.61439E+01  1.36182E-03
 -7.58943E+01  3.94563E-03
 -7.56446E+01  5.34063E-03
 -7.53950E+01  5.61391E-03
 -7.51453E+01 -1.37778E-03
 -7.48957E+01 -2.81004E-03
 -7.46460E+01  1.70685E-03
 -7.43964E+01  6.62117E-03
 -7.41467E+01  1.15418E-02
 -7.38971E+01  2.26847E-02
 -7.36474E+01  2.56295E-02
 -7.33977E+01  1.44182E-02
 -7.31481E+01  7.62380E-03
 -7.28984E+01  2.63779E-04
 -7.26488E+01 -1.48593E-02
 -7.23991E+01 -2.67890E-02
 -7.21495E+01 -2.79470E-02
 -7.18998E+01 -1.96477E-02
 -7.16502E+01 -1.73358E-02
 -7.14005E+01 -1.92229E-02
 -7.11509E+01 -1.90032E-02
 -7.09012E+01 -1.10912E-02
 -7.06516E+01  4.52622E-04
 -7.04019E+01  1.03306E-03
 -7.01523E+01  3.61277E-03
 -6.99026E+01  1.83432E-02
 -6.96530E+01  2.32663E-02
 -6.94033E+01  1.56028E-02
 -6.91537E+01  7.17697E-03
 -6.89040E+01  3.79992E-03
 -6.86544E+01  8.20966E-03
 -6.84047E+01  9.63668E-03
 -6.81551E+01  9.97345E-03
 -6.79054E+01  6.26119E-03
 -6.76557E+01  7.61269E-04
 -6.74061E+01 -1.68621E-03
 -6.71564E+01  3.94804E-03
 -6.69068E+01  1.62513E-02
 -6.66571E+01  1.65073E-02
 -6.64075E+01  4.87743E-03
 -6.61578E+01 -5.38631E-03
 -6.59082E+01 -1.67660E-03
 -6.56585E+01  3.77403E-03
 -6.54089E+01 -2.26893E-03
 -6.51592E+01 -4.68304E-03
 -6.49096E+01  5.46476E-03
 -6.46599E+01  1.80202E-02
 -6.44103E+01  1.96714E-02
 -6.41606E+01  7.73041E-03
 -6.39110E+01 -4.52150E-03
 -6.36613E+01 -1.27736E-02
 -6.34117E+01 -4.67899E-03
 -6.31620E+01  5.58651E-03
 -6.29124E+01  2.51658E-04
 -6.26627E+01 -9.55155E-03
 -6.24131E+01 -1.23864E-02
 -6.21634E+01 -4.80406E-03
 -6.19137E+01 -4.75217E-03
 -6.16641E+01 -3.57430E-03
 -6.14144E+01  9.78326E-03
 -6.11648E+01  2.20156E-02
 -6.09151E+01  2.53447E-02
 -6.06655E+01  3.91345E-02
 -6.04158E+01  4.21293E-02
 -6.01662E+01  1.88726E-02
 -5.99165E+01  4.26257E-03
 -5.96669E+01  2.10332E-03
 -5.94172E+01 -2.04012E-04
 -5.91676E+01  4.73062E-03
 -5.89179E+01  1.57548E-02
 -5.86683E+01  1.68319E-02
 -5.84186E+01 -3.16721E-03
 -5.81690E+01 -1.87694E-02
 -5.79193E+01 -1.02017E-02
 -5.76697E+01  6.09719E-03
 -5.74200E+01  1.93727E-02
 -5.71704E+01  2.21440E-02
 -5.69207E+01  2.31814E-02
 -5.66711E+01  2.88234E-02
 -5.64214E+01  2.81422E-02
 -5.61717E+01  1.57310E-02
 -5.59221E+01  1.31138E-02
 -5.56724E+01  2.77785E-02
 -5.54228E+01  3.97546E-02
 -5.51731E+01  3.78208E-02
 -5.49235E+01  2.94509E-02
 -5.46738E+01  2.60991E-02
 -5.44242E+01  2.92888E-02
 -5.41745E+01  2.83628E-02
 -5.39249E+01  2.61688E-02
 -5.36752E+01  3.34198E-02
 -5.34256E+01  3.34048E-02
 -5.31759E+01  2.20666E-02
 -5.29263E+01  1.97155E-02
 -5.26766E+01  2.61067E-02
 -5.24270E+01  3.36700E-02
 -5.21773E+01  3.08648E-02
 -5.19277E+01  8.93487E-03
 -5.16780E+01 -6.86672E-03
 -5.14284E+01  3.89601E-03
 -5.11787E+01  2.45931E-02
 -5.09291E+01  3.84148E-02
 -5.06794E+01  4.61486E-02
 -5.04297E+01  4.59481E-02
 -5.01801E+01  4.41419E-02
 -4.99304E+01  4.15205E-02
 -4.96808E+01  4.67905E-02
 -4.94311E+01  5.23408E-02
 -4.91815E+01  3.68857E-02
 -4.89318E+01  3.99245E-02
 -4.86822E+01  6.23184E-02
 -4.84325E+01  8.05217E-02
 -4.81829E+01  8.64416E-02
 -4.79332E+01  7.40518E-02
 -4.76836E+01  7.59318E-02
 -4.74339E+01  1.09616E-01
 -4.71843E+01  1.69352E-01
 -4.69346E+01  2.09662E-01
 -4.66850E+01  2.02755E-01
 -4.64353E+01  1.96452E-01
 -4.61857E+01  2.02437E-01
 -4.59360E+01  2.06667E-01
 -4.56864E+01  2.12921E-01
 -4.54367E+01  2.34361E-01
 -4.51870E+01  2.83045E-01
 -4.49374E+01  3.38823E-01
 -4.46877E+01  3.46756E-01
 -4.44381E+01  2.83860E-01
 -4.41884E+01  2.24172E-01
 -4.39388E+01  2.10235E-01
 -4.36891E+01  2.41404E-01
 -4.34395E+01  2.79071E-01
 -4.31898E+01  2.84598E-01
 -4.29402E+01  2.72468E-01
 -4.26905E+01  2.62917E-01
 -4.24409E+01  2.85037E-01
 -4.21912E+01  3.13038E-01
 -4.19416E+01  3.16471E-01
 -4.16919E+01  3.03168E-01
 -4.14423E+01  2.87458E-01
 -4.11926E+01  2.81291E-01
 -4.09430E+01  2.99916E-01
 -4.06933E+01  3.20362E-01
 -4.04437E+01  3.19075E-01
 -4.01940E+01  2.90024E-01
 -3.99444E+01  2.80041E-01
 -3.96947E+01  3.22135E-01
 -3.94450E+01  3.43768E-01
 -3.91954E+01  3.24335E-01
 -3.89457E+01  3.20563E-01
 -3.86961E+01  3.32723E-01
 -3.84464E+01  3.30078E-01
 -3.81968E+01  3.56951E-01
 -3.79471E+01  4.14509E-01
 -3.76975E+01  4.40403E-01
 -3.74478E+01  4.12566E-01
 -3.71982E+01  4.06618E-01
 -3.69485E+01  4.78195E-01
 -3.66989E+01  5.29372E-01
