@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:37:05 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.02718E+01 -3.84421E-02  0.00000E+00
 -8.00225E+01 -3.40992E-02  1.06364E-02
 -7.97732E+01  2.74862E-02  4.98563E-02
 -7.95239E+01  1.15766E-02  2.57543E-02
 -7.92746E+01  2.58367E-03  3.06878E-02
 -7.90253E+01 -4.28185E-04  2.51011E-02
 -7.87761E+01 -4.54554E-03  2.44240E-02
 -7.85268E+01 -1.08335E-02  1.03374E-02
 -7.82775E+01 -2.54541E-03  2.93911E-02
 -7.80282E+01 -1.70636E-02  2.53464E-02
 -7.77789E+01  7.02463E-03  3.10559E-02
 -7.75296E+01  2.61482E-02  2.44436E-02
 -7.72803E+01 -2.67481E-02  1.89482E-02
 -7.70310E+01 -8.15270E-03  2.91784E-02
 -7.67817E+01  1.00919E-03  1.91583E-02
 -7.65324E+01  1.55512E-03  3.43354E-02
 -7.62831E+01  4.93057E-03  1.09147E-02
 -7.60338E+01  1.86922E-03  2.98146E-02
 -7.57846E+01 -1.16097E-02  1.74404E-02
 -7.55353E+01 -2.81494E-02  1.70638E-02
 -7.52860E+01 -1.93289E-02  1.79066E-02
 -7.50367E+01  7.72149E-03  2.90912E-02
 -7.47874E+01 -2.23998E-02  9.23058E-03
 -7.45381E+01 -1.27143E-02  3.44550E-02
 -7.42888E+01  1.28257E-02  1.73356E-02
 -7.40395E+01 -1.96426E-02  1.77538E-02
 -7.37902E+01 -9.36373E-03  2.41749E-02
 -7.35409E+01 -1.23501E-02  1.95362E-02
 -7.32916E+01 -7.12214E-03  2.45315E-02
 -7.30424E+01  1.91506E-03  2.40436E-02
 -7.27931E+01  2.00198E-03  3.50884E-02
 -7.25438E+01  3.72001E-02  3.52133E-02
 -7.22945E+01  2.02706E-03  1.95889E-02
 -7.20452E+01  9.79843E-03  2.99669E-02
 -7.17959E+01  1.38575E-03  2.72246E-02
 -7.15466E+01  4.29365E-03  3.74360E-02
 -7.12973E+01  3.18853E-02  2.73016E-02
 -7.10480E+01  3.51641E-02  3.89101E-02
 -7.07987E+01  2.15784E-02  2.54759E-02
 -7.05494E+01 -1.03785E-02  2.47774E-02
 -7.03001E+01 -3.20331E-03  3.22307E-02
 -7.00509E+01  4.47213E-02  3.87240E-02
 -6.98016E+01  3.94183E-02  3.90824E-02
 -6.95523E+01  2.60374E-02  2.40406E-02
 -6.93030E+01 -2.60710E-02  8.16120E-03
 -6.90537E+01 -1.54770E-02  3.01291E-02
 -6.88044E+01  2.22458E-03  2.59311E-02
 -6.85551E+01  3.41573E-02  3.44017E-02
 -6.83058E+01  7.93364E-03  2.53485E-02
 -6.80565E+01 -2.06617E-02  1.81990E-02
 -6.78072E+01 -1.15792E-02  3.03004E-02
 -6.75579E+01  2.00870E-02  2.95953E-02
 -6.73087E+01 -8.91830E-03  7.86082E-03
 -6.70594E+01 -3.04294E-02  2.44316E-02
 -6.68101E+01 -4.82714E-03  2.52535E-02
 -6.65608E+01 -3.64748E-03  2.45898E-02
 -6.63115E+01  2.72661E-03  2.63586E-02
 -6.60622E+01  1.27027E-02  3.84422E-02
 -6.58129E+01  3.05671E-02  3.05241E-02
 -6.55636E+01  4.92948E-03  2.16357E-02
 -6.53143E+01  1.80156E-02  2.93303E-02
 -6.50650E+01 -3.76651E-03  2.53803E-02
 -6.48157E+01  6.87410E-07  3.46250E-02
 -6.45664E+01  1.50572E-02  2.55092E-02
 -6.43172E+01 -6.82667E-04  3.01027E-02
 -6.40679E+01  1.37680E-02  2.42910E-02
 -6.38186E+01 -1.59900E-02  1.76006E-02
 -6.35693E+01 -7.79086E-04  2.49992E-02
 -6.33200E+01 -7.30094E-03  3.50429E-02
 -6.30707E+01  2.03698E-02  2.54898E-02
 -6.28214E+01  6.60367E-03  2.45691E-02
 -6.25721E+01 -1.96171E-02  1.89940E-02
 -6.23228E+01  9.46382E-04  3.71994E-02
 -6.20735E+01  6.94934E-02  4.39647E-02
 -6.18242E+01  2.03527E-02  2.09620E-02
 -6.15750E+01  3.40767E-03  3.37975E-02
 -6.13257E+01  6.37731E-03  1.87333E-02
 -6.10764E+01 -1.68187E-02  2.59484E-02
 -6.08271E+01  3.18622E-02  3.05029E-02
 -6.05778E+01 -1.34441E-02  2.68623E-02
 -6.03285E+01  2.35716E-02  3.86157E-02
 -6.00792E+01  2.70047E-02  3.02996E-02
 -5.98299E+01  1.88130E-02  3.08412E-02
 -5.95806E+01  3.17014E-02  4.01010E-02
 -5.93313E+01  5.30363E-02  3.84606E-02
 -5.90820E+01  1.59026E-02  2.06627E-02
 -5.88327E+01  1.01213E-02  3.82444E-02
 -5.85835E+01  5.45682E-02  4.76515E-02
 -5.83342E+01  8.95502E-02  3.71031E-02
 -5.80849E+01  3.07093E-02  3.92975E-02
 -5.78356E+01  8.29653E-03  2.00955E-02
 -5.75863E+01  5.83236E-02  4.46648E-02
 -5.73370E+01  3.04715E-02  3.22977E-02
 -5.70877E+01  1.73984E-02  3.09669E-02
 -5.68384E+01  1.23688E-02  3.74916E-02
 -5.65891E+01  4.02715E-02  3.48302E-02
 -5.63398E+01  2.31575E-02  3.12370E-02
 -5.60905E+01  1.86023E-02  3.43237E-02
 -5.58413E+01  1.71268E-03  1.92162E-02
 -5.55920E+01  2.86347E-03  3.10418E-02
 -5.53427E+01  3.22606E-02  3.49187E-02
 -5.50934E+01  1.28410E-02  3.45087E-02
 -5.48441E+01  1.30239E-02  2.11794E-02
 -5.45948E+01  1.37597E-02  4.02244E-02
 -5.43455E+01  4.99152E-02  3.93310E-02
 -5.40962E+01  5.71047E-02  3.72473E-02
 -5.38469E+01  4.13774E-03  2.82679E-02
 -5.35976E+01  3.25419E-02  3.86414E-02
 -5.33483E+01  5.43986E-02  4.06450E-02
 -5.30990E+01  5.12722E-02  3.95573E-02
 -5.28498E+01  4.41058E-02  3.08538E-02
 -5.26005E+01  1.95942E-02  4.30364E-02
 -5.23512E+01  6.65059E-02  3.41095E-02
 -5.21019E+01  1.06365E-02  3.14764E-02
 -5.18526E+01  1.92254E-02  4.31542E-02
 -5.16033E+01  7.22439E-02  3.58135E-02
 -5.13540E+01  2.57082E-02  3.44478E-02
 -5.11047E+01  2.27815E-02  3.87321E-02
 -5.08554E+01  5.52321E-02  3.58620E-02
 -5.06061E+01  2.51825E-02  3.20212E-02
 -5.03568E+01  3.91718E-02  4.27771E-02
 -5.01076E+01  7.11056E-02  4.33709E-02
 -4.98583E+01  3.65939E-02  3.45712E-02
 -4.96090E+01  8.41696E-03  2.47243E-02
 -4.93597E+01 -1.32967E-02  2.65602E-02
 -4.91104E+01  2.74389E-02  3.98224E-02
 -4.88611E+01  5.84390E-02  3.74035E-02
 -4.86118E+01  7.62374E-02  5.05505E-02
 -4.83625E+01  4.32167E-02  2.80310E-02
 -4.81132E+01  7.37055E-02  4.56469E-02
 -4.78639E+01  1.82315E-02  3.39328E-02
 -4.76146E+01  1.11790E-02  2.18589E-02
 -4.73653E+01 -1.25530E-03  4.19799E-02
 -4.71161E+01  7.28915E-02  3.57267E-02
 -4.68668E+01  3.20654E-02  2.98637E-02
 -4.66175E+01  1.67666E-02  3.24583E-02
 -4.63682E+01  4.67455E-02  4.14168E-02
 -4.61189E+01  5.58371E-02  4.05843E-02
 -4.58696E+01  5.46586E-02  4.98419E-02
 -4.56203E+01  7.26154E-02  4.58536E-02
 -4.53710E+01  8.26307E-02  4.22940E-02
 -4.51217E+01  9.60311E-02  5.23610E-02
 -4.48724E+01  1.11172E-01  5.41108E-02
 -4.46231E+01  9.31563E-02  5.17077E-02
 -4.43739E+01  6.43861E-02  2.71839E-02
 -4.41246E+01  5.73005E-02  5.23789E-02
 -4.38753E+01  1.38062E-01  5.56201E-02
 -4.36260E+01  1.44794E-01  5.75187E-02
 -4.33767E+01  1.19072E-01  6.12117E-02
 -4.31274E+01  1.65428E-01  4.89852E-02
 -4.28781E+01  8.09301E-02  5.49413E-02
 -4.26288E+01  1.52136E-01  6.48193E-02
 -4.23795E+01  1.89799E-01  6.43955E-02
 -4.21302E+01  1.32299E-01  5.08368E-02
 -4.18809E+01  1.37236E-01  6.07752E-02
 -4.16316E+01  2.24524E-01  7.22216E-02
 -4.13824E+01  2.19352E-01  7.14415E-02
 -4.11331E+01  2.10945E-01  6.23960E-02
 -4.08838E+01  1.35899E-01  5.56036E-02
 -4.06345E+01  1.55674E-01  5.51042E-02
 -4.03852E+01  1.48616E-01  5.66919E-02
 -4.01359E+01  2.27253E-01  8.22641E-02
 -3.98866E+01  2.57088E-01  7.18419E-02
 -3.96373E+01  2.68846E-01  7.50938E-02
 -3.93880E+01  2.93612E-01  7.44491E-02
 -3.91387E+01  3.30568E-01  8.69224E-02
 -3.88894E+01  3.10403E-01  8.23670E-02
 -3.86402E+01  3.94651E-01  9.08029E-02
 -3.83909E+01  4.65808E-01  1.00715E-01
 -3.81416E+01  5.12617E-01  1.06377E-01
 -3.78923E+01  5.13275E-01  8.79163E-02
 -3.76430E+01  4.53382E-01  1.03634E-01
 -3.73937E+01  6.90505E-01  1.20826E-01
 -3.71444E+01  7.22157E-01  1.25634E-01
 -3.68951E+01  8.25432E-01  1.23605E-01
 -3.66458E+01  8.39109E-01  1.21876E-01
 -3.63965E+01  8.21644E-01  1.28998E-01
 -3.61472E+01  7.12105E-01  1.19215E-01
 -3.58979E+01  6.31673E-01  1.11923E-01
 -3.56487E+01  7.82049E-01  1.23141E-01
 -3.53994E+01  6.82367E-01  1.09828E-01
 -3.51501E+01  6.26321E-01  1.16105E-01
 -3.49008E+01  7.15607E-01  1.15842E-01
 -3.46515E+01  8.31923E-01  1.31073E-01
 -3.44022E+01  8.06440E-01  1.19131E-01
 -3.41529E+01  7.90183E-01  1.27528E-01
 -3.39036E+01  9.39570E-01  1.30240E-01
 -3.36543E+01  7.41463E-01  1.20583E-01
 -3.34050E+01  7.08610E-01  1.13336E-01
 -3.31557E+01  6.21937E-01  1.08901E-01
 -3.29065E+01  6.53241E-01  1.17545E-01
 -3.26572E+01  8.49856E-01  1.31381E-01
 -3.24079E+01  7.98249E-01  1.14661E-01
 -3.21586E+01  7.45813E-01  1.18533E-01
 -3.19093E+01  6.72826E-01  1.12279E-01
 -3.16600E+01  7.05949E-01  1.22508E-01
 -3.14107E+01  8.20546E-01  1.28736E-01
 -3.11614E+01  1.08235E+00  1.48295E-01
 -3.09121E+01  9.67856E-01  1.27847E-01
 -3.06628E+01  9.41094E-01  1.45855E-01
