@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:39:13 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.95999E+01 -2.49462E-03
 -7.93503E+01 -1.21755E-03
 -7.91008E+01 -2.86501E-03
 -7.88513E+01 -6.66829E-03
 -7.86017E+01 -4.94203E-03
 -7.83522E+01  2.29266E-03
 -7.81027E+01  9.29495E-03
 -7.78531E+01  1.28564E-02
 -7.76036E+01  1.13833E-02
 -7.73541E+01  1.42656E-03
 -7.71046E+01 -5.98300E-03
 -7.68550E+01 -6.30988E-03
 -7.66055E+01 -5.35166E-03
 -7.63560E+01 -6.58496E-03
 -7.61064E+01 -3.82548E-03
 -7.58569E+01 -7.78514E-04
 -7.56074E+01 -4.92525E-03
 -7.53579E+01 -8.26919E-03
 -7.51083E+01 -7.09495E-03
 -7.48588E+01 -5.49338E-03
 -7.46093E+01 -7.36772E-03
 -7.43597E+01 -5.47515E-03
 -7.41102E+01  3.57007E-04
 -7.38607E+01  1.64879E-03
 -7.36112E+01  7.24581E-04
 -7.33616E+01  2.80935E-03
 -7.31121E+01  1.51370E-03
 -7.28626E+01 -1.02216E-03
 -7.26130E+01 -4.07968E-03
 -7.23635E+01 -7.98121E-03
 -7.21140E+01 -7.09465E-03
 -7.18644E+01 -6.31971E-03
 -7.16149E+01 -7.94361E-03
 -7.13654E+01 -4.16530E-03
 -7.11159E+01  1.81013E-03
 -7.08663E+01  3.70453E-03
 -7.06168E+01  3.77848E-03
 -7.03673E+01  2.93292E-03
 -7.01177E+01  1.88185E-04
 -6.98682E+01 -4.61383E-03
 -6.96187E+01 -5.98953E-03
 -6.93692E+01 -3.16132E-03
 -6.91196E+01 -8.12516E-05
 -6.88701E+01 -2.31946E-03
 -6.86206E+01  3.83482E-04
 -6.83710E+01  7.57132E-03
 -6.81215E+01  5.68362E-03
 -6.78720E+01  1.34953E-03
 -6.76224E+01  2.52061E-03
 -6.73729E+01  2.04746E-03
 -6.71234E+01 -3.14642E-03
 -6.68739E+01 -3.03447E-03
 -6.66243E+01 -2.23328E-03
 -6.63748E+01 -3.73970E-03
 -6.61253E+01 -1.90973E-03
 -6.58757E+01  2.33130E-03
 -6.56262E+01  6.64267E-03
 -6.53767E+01 -2.49551E-04
 -6.51272E+01 -5.68980E-03
 -6.48776E+01 -2.41760E-03
 -6.46281E+01  4.79035E-03
 -6.43786E+01  1.15095E-03
 -6.41290E+01 -7.99817E-03
 -6.38795E+01 -1.46625E-02
 -6.36300E+01 -1.40580E-02
 -6.33804E+01 -7.87528E-03
 -6.31309E+01 -2.38142E-03
 -6.28814E+01 -2.12386E-03
 -6.26319E+01  5.17158E-03
 -6.23823E+01  1.48056E-02
 -6.21328E+01  1.95877E-02
 -6.18833E+01  9.32600E-03
 -6.16337E+01 -1.69288E-03
 -6.13842E+01 -2.83873E-03
 -6.11347E+01 -1.55002E-03
 -6.08852E+01  1.90730E-03
 -6.06356E+01 -1.64966E-03
 -6.03861E+01 -5.89808E-03
 -6.01366E+01 -4.56344E-03
 -5.98870E+01  5.82228E-03
 -5.96375E+01  1.44738E-02
 -5.93880E+01  8.16457E-03
 -5.91385E+01  3.64487E-04
 -5.88889E+01  3.65131E-03
 -5.86394E+01 -1.58564E-03
 -5.83899E+01 -5.72323E-03
 -5.81403E+01 -1.07143E-03
 -5.78908E+01  1.51434E-04
 -5.76413E+01  4.10884E-03
 -5.73917E+01  1.13752E-02
 -5.71422E+01  1.59529E-02
 -5.68927E+01  1.39665E-02
 -5.66432E+01  8.93399E-03
 -5.63936E+01 -1.26828E-03
 -5.61441E+01 -8.86421E-03
 -5.58946E+01 -6.59533E-03
 -5.56450E+01 -4.99315E-03
 -5.53955E+01 -4.23611E-03
 -5.51460E+01 -5.40652E-03
 -5.48965E+01 -2.67815E-03
 -5.46469E+01  1.11697E-02
 -5.43974E+01  2.04872E-02
 -5.41479E+01  1.36794E-02
 -5.38983E+01  1.47215E-02
 -5.36488E+01  2.15286E-02
 -5.33993E+01  3.06094E-02
 -5.31497E+01  3.66150E-02
 -5.29002E+01  3.14397E-02
 -5.26507E+01  1.31038E-02
 -5.24012E+01 -5.75589E-03
 -5.21516E+01 -2.02976E-02
 -5.19021E+01 -1.76925E-02
 -5.16526E+01 -4.17475E-03
 -5.14030E+01  7.11938E-03
 -5.11535E+01  1.15711E-02
 -5.09040E+01  6.54888E-03
 -5.06545E+01 -5.18932E-04
 -5.04049E+01 -7.33006E-03
 -5.01554E+01 -2.00260E-03
 -4.99059E+01  1.35718E-02
 -4.96563E+01  2.08515E-02
 -4.94068E+01  2.24893E-02
 -4.91573E+01  1.82372E-02
 -4.89077E+01  2.01116E-03
 -4.86582E+01 -2.24670E-03
 -4.84087E+01  1.17009E-02
 -4.81592E+01  1.47588E-02
 -4.79096E+01  1.72674E-02
 -4.76601E+01  2.43371E-02
 -4.74106E+01  3.11216E-02
 -4.71610E+01  3.22795E-02
 -4.69115E+01  3.64027E-02
 -4.66620E+01  3.49944E-02
 -4.64125E+01  1.71794E-02
 -4.61629E+01  1.84320E-03
 -4.59134E+01  2.18378E-02
 -4.56639E+01  5.60156E-02
 -4.54143E+01  5.82219E-02
 -4.51648E+01  2.65247E-02
 -4.49153E+01  1.22066E-02
 -4.46657E+01  7.84290E-03
 -4.44162E+01  3.46686E-03
 -4.41667E+01  1.23965E-02
 -4.39172E+01  2.04511E-02
 -4.36676E+01  7.27367E-03
 -4.34181E+01  4.24792E-03
 -4.31686E+01  1.37108E-02
 -4.29190E+01  2.71693E-02
 -4.26695E+01  3.47560E-02
 -4.24200E+01  3.46510E-02
 -4.21705E+01  5.38137E-02
 -4.19209E+01  7.48847E-02
 -4.16714E+01  7.43611E-02
 -4.14219E+01  7.29937E-02
 -4.11723E+01  7.55937E-02
 -4.09228E+01  7.56980E-02
 -4.06733E+01  8.30361E-02
 -4.04238E+01  6.90268E-02
 -4.01742E+01  4.45821E-02
 -3.99247E+01  6.94665E-02
 -3.96752E+01  1.10538E-01
 -3.94256E+01  1.24134E-01
 -3.91761E+01  1.22514E-01
 -3.89266E+01  1.27794E-01
 -3.86770E+01  1.42193E-01
 -3.84275E+01  1.58924E-01
 -3.81780E+01  1.77913E-01
 -3.79285E+01  1.75534E-01
 -3.76789E+01  1.82104E-01
 -3.74294E+01  2.26224E-01
 -3.71799E+01  2.85880E-01
 -3.69303E+01  3.16325E-01
 -3.66808E+01  3.52419E-01
 -3.64313E+01  4.06986E-01
 -3.61818E+01  4.56363E-01
 -3.59322E+01  5.11832E-01
 -3.56827E+01  5.96633E-01
 -3.54332E+01  6.57276E-01
 -3.51836E+01  6.98885E-01
 -3.49341E+01  7.37647E-01
 -3.46846E+01  7.95697E-01
 -3.44350E+01  8.36314E-01
 -3.41855E+01  8.33174E-01
 -3.39360E+01  8.38379E-01
 -3.36865E+01  8.43347E-01
