@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:39:13 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.96489E+01 -8.65986E-01  0.00000E+00
 -7.93994E+01  2.04987E-01  1.41864E+00
 -7.91498E+01  1.31979E-01  1.50422E-01
 -7.89003E+01 -8.64286E-01  0.00000E+00
 -7.86508E+01 -8.28500E-01  1.00162E+00
 -7.84013E+01  1.09996E-01  3.31822E-01
 -7.81517E+01  1.18669E+00  1.68044E+00
 -7.79022E+01  1.05932E+00  1.08619E+00
 -7.76527E+01  2.21422E+00  1.97174E+00
 -7.74031E+01  2.22221E-01  4.37737E-01
 -7.71536E+01 -8.63955E-01  3.00734E-01
 -7.69041E+01 -7.50357E-01  9.77319E-01
 -7.66546E+01  6.77826E-02  0.00000E+00
 -7.64050E+01 -8.66216E-01  0.00000E+00
 -7.61555E+01 -8.65888E-01  0.00000E+00
 -7.59060E+01  1.03355E+00  1.37969E+00
 -7.56564E+01 -6.12277E-01  5.04241E-01
 -7.54069E+01 -8.65441E-01  1.83386E-01
 -7.51574E+01 -8.14142E-01  9.90860E-01
 -7.49078E+01  1.04347E-01  0.00000E+00
 -7.46583E+01 -8.66149E-01  0.00000E+00
 -7.44088E+01 -8.33616E-01  1.80058E-01
 -7.41593E+01  2.06869E-01  1.03709E+00
 -7.39097E+01  1.05493E+00  1.38910E+00
 -7.36602E+01 -8.01143E-01  2.55073E-01
 -7.34107E+01  1.13021E+00  1.47267E+00
 -7.31611E+01  2.63864E-01  1.36072E+00
 -7.29116E+01  2.65027E-02  6.40108E-02
 -7.26621E+01  1.27630E-01  9.99016E-01
 -7.24126E+01 -8.49820E-01  3.69544E-01
 -7.21630E+01 -7.43572E-01  9.63729E-01
 -7.19135E+01  6.03529E-02  0.00000E+00
 -7.16640E+01 -8.65490E-01  0.00000E+00
 -7.14144E+01 -7.49024E-01  3.42796E-01
 -7.11649E+01  1.02134E+00  1.37647E+00
 -7.09154E+01  2.40897E-01  1.05314E+00
 -7.06659E+01  1.02672E+00  1.38027E+00
 -7.04163E+01  2.68219E-01  1.06518E+00
 -7.01668E+01  1.05054E+00  1.39076E+00
 -6.99173E+01 -7.36514E-01  3.32265E-01
 -6.96677E+01  7.18929E-02  9.71206E-01
 -6.94182E+01 -7.49466E-01  3.50396E-01
 -6.91687E+01  1.15333E+00  1.42869E+00
 -6.89191E+01  7.06345E-02  9.54026E-01
 -6.86696E+01 -7.22122E-01  3.78845E-01
 -6.84201E+01  2.15251E+00  1.74311E+00
 -6.81706E+01  1.13252E+00  1.40894E+00
 -6.79210E+01  1.97420E-01  1.03843E+00
 -6.76715E+01  3.52422E-01  1.11562E+00
 -6.74220E+01  1.87595E+00  1.65796E+00
 -6.71724E+01 -7.36682E-01  3.11330E-01
 -6.69229E+01  8.10479E-02  9.83632E-01
 -6.66734E+01  1.11927E+00  1.40305E+00
 -6.64239E+01 -8.21074E-01  2.11600E-01
 -6.61743E+01  1.10981E+00  1.41001E+00
 -6.59248E+01 -6.04518E-01  5.34064E-01
 -6.56753E+01  2.97242E+00  1.97599E+00
 -6.54257E+01  1.27537E-01  9.54461E-01
 -6.51762E+01 -2.86334E-02  9.11347E-01
 -6.49267E+01 -4.43074E-01  6.51387E-01
 -6.46771E+01  2.01078E+00  1.70326E+00
 -6.44276E+01  1.06007E+00  1.39756E+00
 -6.41781E+01  5.90547E-02  9.42847E-01
 -6.39286E+01 -8.66037E-01  0.00000E+00
 -6.36790E+01 -8.66142E-01  0.00000E+00
 -6.34295E+01 -7.11018E-01  4.18506E-01
 -6.31800E+01  1.94335E+00  1.69335E+00
 -6.29304E+01 -7.12315E-01  2.77574E-01
 -6.26809E+01  1.91489E+00  1.69552E+00
 -6.24314E+01  1.47259E+00  1.52725E+00
 -6.21819E+01  4.11307E+00  2.25956E+00
 -6.19323E+01  2.78053E+00  1.88593E+00
 -6.16828E+01 -5.22169E-01  4.48028E-01
 -6.14333E+01  1.79641E+00  1.65636E+00
 -6.11837E+01 -3.88516E-01  6.98266E-01
 -6.09342E+01  2.72720E+00  1.92687E+00
 -6.06847E+01  4.22707E-01  1.05196E+00
 -6.04351E+01  9.86558E-01  1.40679E+00
 -6.01856E+01  1.54737E-01  9.66444E-01
 -5.99361E+01  1.27611E+00  1.46376E+00
 -5.96866E+01  3.40828E+00  2.09364E+00
 -5.94370E+01  3.61930E+00  2.09902E+00
 -5.91875E+01 -5.77785E-01  5.32223E-01
 -5.89380E+01  2.98029E+00  1.99393E+00
 -5.86884E+01  1.88925E+00  1.64407E+00
