@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:44:36 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -8.10938E+01 -3.48311E+00  0.00000E+00
 -8.08445E+01 -3.48235E+00  0.00000E+00
 -8.05952E+01  1.11156E+00  5.20372E+00
 -8.03458E+01  4.00627E+00  4.17880E+00
 -8.00965E+01 -2.97098E+00  8.67254E-01
 -7.98472E+01 -1.02181E+00  2.93754E+00
 -7.95978E+01 -1.51489E+00  1.79784E+00
 -7.93485E+01 -7.92871E-01  1.07363E+00
 -7.90992E+01 -2.80148E+00  2.27774E-01
 -7.88498E+01 -1.33234E+00  1.94749E+00
 -7.86005E+01 -7.85868E-01  1.12773E+00
 -7.83512E+01 -1.65735E+00  2.03249E+00
 -7.81018E+01  2.98612E+00  2.40266E+00
 -7.78525E+01  1.63888E+00  1.75690E+00
 -7.76032E+01 -1.24775E-01  1.73965E+00
 -7.73538E+01  7.79180E-01  1.98629E+00
 -7.71045E+01  5.87905E-02  2.02047E+00
 -7.68552E+01 -4.03975E-01  1.20118E+00
 -7.66058E+01  5.32694E-01  2.56857E+00
 -7.63565E+01  3.29943E+00  2.01492E+00
 -7.61072E+01 -1.03100E+00  1.37590E+00
 -7.58579E+01 -1.22804E+00  1.15611E+00
 -7.56085E+01  6.92091E-02  1.99730E+00
 -7.53592E+01 -1.52452E-01  2.19810E+00
 -7.51099E+01  1.36747E+00  2.09110E+00
 -7.48605E+01  1.55599E+00  2.19007E+00
 -7.46112E+01  6.45314E-01  1.02429E+00
 -7.43619E+01 -2.62887E+00  1.04940E+00
 -7.41125E+01  2.33652E-01  2.21291E+00
 -7.38632E+01  2.09818E-01  1.77053E+00
 -7.36139E+01 -1.11381E+00  1.04018E+00
 -7.33645E+01 -1.66130E+00  1.73502E+00
 -7.31152E+01  4.98399E-01  1.96042E+00
 -7.28659E+01  2.70856E+00  2.45173E+00
 -7.26165E+01  1.29410E+00  2.01738E+00
 -7.23672E+01  1.05131E+00  1.72248E+00
 -7.21179E+01 -1.14452E+00  2.03444E+00
 -7.18685E+01  2.31964E+00  2.44569E+00
 -7.16192E+01  1.83457E+00  1.48681E+00
 -7.13699E+01 -3.55644E-01  2.23524E+00
 -7.11205E+01  1.07515E+00  1.74842E+00
 -7.08712E+01  6.78087E-01  1.72798E+00
 -7.06219E+01 -1.52338E+00  1.10902E+00
 -7.03725E+01 -1.75826E+00  1.05090E+00
 -7.01232E+01  3.00376E-01  2.56181E+00
 -6.98739E+01  2.16735E-01  5.40400E-01
 -6.96245E+01 -2.06734E+00  1.39421E+00
 -6.93752E+01 -1.50625E+00  1.48467E+00
 -6.91259E+01  9.89335E-01  2.46839E+00
 -6.88765E+01  5.19772E+00  2.62702E+00
 -6.86272E+01  1.05330E+00  1.77963E+00
 -6.83779E+01 -2.58839E-01  2.23126E+00
 -6.81285E+01  7.59693E-01  1.50566E+00
