@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:49:50 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.09520E+01 -6.77516E-02  0.00000E+00
 -8.07037E+01 -6.77528E-02  0.00000E+00
 -8.04554E+01 -7.20505E-02  0.00000E+00
 -8.02070E+01 -2.09044E-02  1.77733E-03
 -7.99587E+01 -3.48799E-02  2.49733E-02
 -7.97104E+01 -4.50473E-02  3.63316E-02
 -7.94621E+01  1.04126E-02  3.61503E-02
 -7.92138E+01  1.72354E-03  3.59489E-02
 -7.89654E+01  1.82080E-02  6.20338E-02
 -7.87171E+01  1.98040E-02  5.09936E-02
 -7.84688E+01 -2.54379E-02  2.96689E-02
 -7.82205E+01 -2.57754E-02  2.60247E-02
 -7.79722E+01 -3.70693E-02  2.34644E-02
 -7.77239E+01 -2.79713E-02  3.44518E-02
 -7.74755E+01 -5.46227E-03  2.99276E-02
 -7.72272E+01 -1.79602E-02  2.21106E-02
 -7.69789E+01 -2.56402E-02  3.42003E-02
 -7.67306E+01 -1.85282E-02  2.59374E-02
 -7.64823E+01 -2.62179E-02  1.95029E-02
 -7.62339E+01 -5.02519E-02  2.17902E-02
 -7.59856E+01 -4.19910E-02  2.31453E-02
 -7.57373E+01 -3.42899E-02  2.82079E-02
 -7.54890E+01  4.15291E-02  7.36984E-02
 -7.52407E+01  9.63395E-02  6.42999E-02
 -7.49923E+01  2.83915E-02  3.68602E-02
 -7.47440E+01 -6.60632E-03  3.09682E-02
 -7.44957E+01 -1.43904E-02  3.58748E-02
 -7.42474E+01  1.22286E-02  3.93022E-02
 -7.39991E+01  1.41480E-02  3.90034E-02
 -7.37507E+01 -2.06811E-04  3.45972E-02
 -7.35024E+01 -3.77980E-03  2.29169E-02
 -7.32541E+01 -4.21096E-02  1.81190E-02
 -7.30058E+01 -4.25959E-02  2.39870E-02
 -7.27575E+01 -2.49682E-02  2.68777E-02
 -7.25092E+01 -7.59064E-03  3.75229E-02
 -7.22608E+01  3.89511E-02  6.70691E-02
 -7.20125E+01  7.08373E-02  5.77031E-02
 -7.17642E+01  1.96835E-02  3.42434E-02
 -7.15159E+01 -2.27775E-02  3.68254E-02
 -7.12676E+01  3.43275E-02  4.53520E-02
 -7.10192E+01  2.58713E-02  3.12682E-02
 -7.07709E+01 -4.01055E-02  1.39651E-02
 -7.05226E+01 -2.94766E-02  3.80033E-02
 -7.02743E+01  7.82656E-03  3.80953E-02
 -7.00260E+01  2.33925E-02  3.39862E-02
 -6.97776E+01 -5.98662E-04  3.54999E-02
 -6.95293E+01  2.04796E-02  6.97532E-02
 -6.92810E+01  5.69221E-02  6.00647E-02
 -6.90327E+01  2.15745E-02  3.74133E-02
 -6.87844E+01 -1.44346E-02  3.84100E-02
 -6.85360E+01  1.75566E-02  3.98245E-02
 -6.82877E+01  3.12043E-02  4.11845E-02
 -6.80394E+01  1.15758E-02  3.36813E-02
 -6.77911E+01 -3.15087E-02  1.76619E-02
 -6.75428E+01 -5.30293E-02  1.55496E-02
 -6.72945E+01 -5.42012E-02  2.49009E-02
 -6.70461E+01 -3.32532E-02  2.68110E-02
 -6.67978E+01 -2.14804E-02  2.98169E-02
 -6.65495E+01 -2.55711E-02  3.03043E-02
 -6.63012E+01  2.04720E-03  3.56515E-02
 -6.60529E+01  1.86033E-04  2.66540E-02
 -6.58045E+01 -3.06813E-02  2.10280E-02
 -6.55562E+01 -1.60932E-02  2.94805E-02
 -6.53079E+01 -2.20706E-02  6.47205E-02
 -6.50596E+01  3.89462E-02  5.84095E-02
 -6.48113E+01  5.51293E-02  3.78528E-02
 -6.45629E+01  2.76471E-02  3.70921E-02
 -6.43146E+01 -5.65477E-03  2.76095E-02
 -6.40663E+01 -1.39137E-02  5.77910E-02
 -6.38180E+01  4.30591E-02  5.87655E-02
 -6.35697E+01  3.72987E-02  4.32186E-02
 -6.33213E+01  2.79642E-02  3.33509E-02
 -6.30730E+01 -1.67399E-02  2.66567E-02
 -6.28247E+01 -2.30627E-02  6.13851E-02
 -6.25764E+01  8.10065E-02  6.91020E-02
