@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 02/09/18 at 14:14:15 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.98259E+01 -6.95371E-03
 -7.95764E+01 -7.53483E-03
 -7.93269E+01 -5.24241E-03
 -7.90775E+01 -3.38108E-03
 -7.88280E+01 -3.42992E-03
 -7.85786E+01 -4.36804E-03
 -7.83291E+01 -5.89220E-03
 -7.80797E+01 -2.39014E-03
 -7.78302E+01  1.37785E-03
 -7.75807E+01 -3.31009E-03
 -7.73313E+01 -8.14818E-03
 -7.70818E+01 -7.74274E-03
 -7.68324E+01 -6.72007E-03
 -7.65829E+01 -4.78268E-03
 -7.63335E+01 -5.39140E-03
 -7.60840E+01 -9.12734E-03
 -7.58346E+01 -9.76289E-03
 -7.55851E+01 -8.61852E-03
 -7.53356E+01 -4.95245E-03
 -7.50862E+01 -2.48534E-04
 -7.48367E+01 -2.44626E-03
 -7.45873E+01 -5.87481E-03
 -7.43378E+01 -5.71247E-03
 -7.40884E+01 -5.12870E-03
 -7.38389E+01 -3.45355E-03
 -7.35895E+01 -2.34690E-03
 -7.33400E+01 -2.58352E-03
 -7.30905E+01 -4.42179E-03
 -7.28411E+01 -5.42185E-03
 -7.25916E+01 -1.44207E-03
 -7.23422E+01  3.03111E-03
 -7.20927E+01  7.16952E-03
 -7.18433E+01  8.67480E-03
 -7.15938E+01  2.18655E-03
 -7.13444E+01 -3.94578E-03
 -7.10949E+01 -2.47315E-03
 -7.08454E+01 -1.48713E-03
 -7.05960E+01 -2.70518E-03
 -7.03465E+01 -1.37505E-03
 -7.00971E+01 -6.25055E-04
 -6.98476E+01 -1.94824E-03
 -6.95982E+01 -4.05300E-03
 -6.93487E+01 -1.21969E-03
 -6.90993E+01  3.81475E-03
 -6.88498E+01  3.61908E-03
 -6.86003E+01  1.58721E-03
 -6.83509E+01  1.82054E-03
 -6.81014E+01  3.21520E-03
 -6.78520E+01  4.05293E-03
 -6.76025E+01  3.47048E-03
 -6.73531E+01  5.31857E-03
 -6.71036E+01  1.15868E-02
 -6.68541E+01  1.65223E-02
 -6.66047E+01  1.29388E-02
 -6.63552E+01  3.37477E-03
 -6.61058E+01 -6.22445E-03
 -6.58563E+01 -1.14210E-02
 -6.56069E+01 -6.28147E-03
 -6.53574E+01  8.95974E-03
 -6.51080E+01  1.81908E-02
 -6.48585E+01  9.25321E-03
 -6.46090E+01 -5.49001E-04
 -6.43596E+01 -1.73218E-03
 -6.41101E+01 -4.00934E-03
 -6.38607E+01 -4.62462E-03
 -6.36112E+01  6.43282E-03
 -6.33618E+01  1.65785E-02
 -6.31123E+01  1.12805E-02
 -6.28629E+01 -3.53704E-03
 -6.26134E+01 -1.34354E-02
 -6.23639E+01 -1.08975E-02
 -6.21145E+01 -5.55818E-03
 -6.18650E+01 -1.45829E-03
 -6.16156E+01  5.84986E-03
 -6.13661E+01  1.23177E-02
 -6.11167E+01  6.49202E-03
 -6.08672E+01 -6.23464E-03
 -6.06178E+01 -1.34912E-02
 -6.03683E+01 -1.01494E-02
 -6.01188E+01 -8.25308E-03
 -5.98694E+01 -1.34540E-02
 -5.96199E+01 -1.16449E-02
 -5.93705E+01 -5.04591E-05
 -5.91210E+01  5.73276E-03
 -5.88716E+01  1.96553E-03
 -5.86221E+01 -1.11389E-03
 -5.83727E+01 -2.74219E-03
 -5.81232E+01 -3.31637E-03
 -5.78737E+01 -4.38273E-03
 -5.76243E+01 -3.91753E-03
 -5.73748E+01 -4.67724E-03
 -5.71254E+01 -7.36561E-03
 -5.68759E+01 -2.50080E-03
 -5.66265E+01  1.04124E-02
 -5.63770E+01  1.83307E-02
 -5.61276E+01  1.44036E-02
 -5.58781E+01  7.41064E-03
 -5.56286E+01  9.48916E-04
 -5.53792E+01 -2.61982E-03
 -5.51297E+01 -5.15625E-03
