@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 02/09/18 at 14:14:15 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.98259E+01 -8.75827E-03  0.00000E+00
 -7.95764E+01 -9.45779E-03  0.00000E+00
 -7.93269E+01 -3.60429E-03  7.84686E-03
 -7.90775E+01 -1.24171E-03  1.01600E-02
 -7.88280E+01 -4.48929E-03  7.74378E-03
 -7.85786E+01 -6.35911E-04  1.01236E-02
 -7.83291E+01 -9.92908E-03  2.58920E-03
 -7.80797E+01 -1.80803E-03  1.09793E-02
 -7.78302E+01  7.14026E-03  1.44434E-02
 -7.75807E+01 -3.25670E-03  3.55949E-03
 -7.73313E+01 -9.02172E-03  0.00000E+00
 -7.70818E+01 -9.29204E-03  0.00000E+00
 -7.68324E+01 -5.47873E-03  7.60959E-03
 -7.65829E+01 -9.43300E-04  1.01898E-02
 -7.63335E+01 -5.63393E-03  3.48231E-03
 -7.60840E+01 -8.79043E-03  0.00000E+00
 -7.58346E+01 -8.82709E-03  0.00000E+00
 -7.55851E+01 -9.26185E-03  1.24499E-03
 -7.53356E+01 -5.44773E-03  8.20157E-03
 -7.50862E+01  4.65310E-03  1.29546E-02
 -7.48367E+01  1.54541E-03  9.99953E-03
 -7.45873E+01 -1.02141E-02  1.56953E-03
 -7.43378E+01 -3.38501E-03  8.02569E-03
 -7.40884E+01 -1.27714E-03  1.00279E-02
 -7.38389E+01 -6.79301E-03  7.81060E-03
 -7.35895E+01  2.25556E-03  1.28578E-02
 -7.33400E+01  1.68291E-03  1.03917E-02
 -7.30905E+01 -7.24531E-03  2.15844E-03
 -7.28411E+01 -4.17157E-03  7.93387E-03
 -7.25916E+01  2.10859E-03  1.27208E-02
 -7.23422E+01  1.49353E-03  1.28310E-02
 -7.20927E+01  1.12396E-02  1.66259E-02
 -7.18433E+01  1.57486E-02  1.88542E-02
 -7.15938E+01  4.11233E-03  1.10073E-02
 -7.13444E+01 -7.33702E-03  3.55790E-03
 -7.10949E+01  9.70886E-05  1.12522E-02
 -7.08454E+01  5.90495E-03  1.40949E-02
 -7.05960E+01 -4.68803E-03  8.02511E-03
 -7.03465E+01  7.60844E-04  1.25988E-02
 -7.00971E+01  6.65151E-03  1.29188E-02
 -6.98476E+01  9.79453E-05  9.85354E-03
 -6.95982E+01 -4.98855E-03  8.03244E-03
 -6.93487E+01  3.57886E-03  1.29400E-02
 -6.90993E+01  6.99114E-03  1.51374E-02
 -6.88498E+01  1.11266E-02  1.62879E-02
 -6.86003E+01  2.35438E-03  1.27506E-02
 -6.83509E+01  2.99732E-03  1.50149E-02
 -6.81014E+01  1.20700E-02  1.64375E-02
 -6.78520E+01  5.14452E-03  1.29473E-02
 -6.76025E+01  7.67879E-03  1.50103E-02
 -6.73531E+01  9.82966E-03  1.63474E-02
 -6.71036E+01  1.08138E-02  1.74267E-02
 -6.68541E+01  3.04113E-02  2.24057E-02
 -6.66047E+01  2.00641E-02  1.88148E-02
 -6.63552E+01  4.64456E-03  1.30747E-02
 -6.61058E+01  1.24558E-03  1.00167E-02
 -6.58563E+01 -1.00660E-02  0.00000E+00
 -6.56069E+01 -8.52233E-03  8.17678E-03
 -6.53574E+01  1.71894E-02  2.03790E-02
 -6.51080E+01  3.89115E-02  2.49947E-02
 -6.48585E+01  1.16162E-02  1.41461E-02
 -6.46090E+01 -7.95681E-04  8.56422E-03
 -6.43596E+01  9.72940E-03  1.51473E-02
 -6.41101E+01  5.55034E-03  1.39058E-02
 -6.38607E+01 -1.02781E-02  8.10442E-03
 -6.36112E+01  1.78700E-02  2.04182E-02
 -6.33618E+01  3.63004E-02  2.41496E-02
 -6.31123E+01  1.64282E-02  1.54887E-02
 -6.28629E+01  8.61600E-03  1.43173E-02
 -6.26134E+01 -1.09369E-02  0.00000E+00
 -6.23639E+01 -7.01271E-03  7.78691E-03
 -6.21145E+01  9.43715E-03  1.50731E-02
 -6.18650E+01  9.68520E-03  1.49741E-02
 -6.16156E+01  7.03034E-03  1.65335E-02
 -6.13661E+01  3.56401E-02  2.43439E-02
 -6.11167E+01  2.10010E-02  1.88412E-02
 -6.08672E+01 -1.13787E-03  1.03007E-02
 -6.06178E+01 -5.71728E-03  7.61333E-03
 -6.03683E+01  3.15955E-03  1.45695E-02
 -6.01188E+01  9.38142E-03  1.43037E-02
 -5.98694E+01 -4.22557E-03  1.45000E-03
 -5.96199E+01 -5.51877E-03  8.77149E-03
 -5.93705E+01  1.87589E-02  1.90123E-02
 -5.91210E+01  2.56527E-02  2.15357E-02
 -5.88716E+01  1.29920E-02  1.70413E-02
 -5.86221E+01  1.75125E-02  1.90852E-02
 -5.83727E+01  7.71563E-03  1.51332E-02
 -5.81232E+01  1.60704E-02  1.82225E-02
 -5.78737E+01  1.33689E-02  1.62495E-02
 -5.76243E+01  9.05794E-03  1.70150E-02
 -5.73748E+01  1.85725E-02  1.92434E-02
 -5.71254E+01  8.37284E-03  1.51115E-02
 -5.68759E+01  7.52485E-03  1.82809E-02
 -5.66265E+01  3.51532E-02  2.23632E-02
 -5.63770E+01  4.53295E-02  2.69737E-02
 -5.61276E+01  3.26356E-02  2.53722E-02
 -5.58781E+01  3.15253E-02  2.16328E-02
 -5.56286E+01  1.55737E-02  1.77013E-02
 -5.53792E+01  2.66506E-02  2.09034E-02
 -5.51297E+01  1.29348E-02  1.76849E-02
 -5.48803E+01  1.34350E-02  1.96912E-02
 -5.46308E+01  3.66628E-02  2.37156E-02
 -5.43814E+01  2.53219E-02  1.95465E-02
 -5.41319E+01 -4.28400E-03  7.80350E-03
 -5.38824E+01 -2.84998E-03  1.03549E-02
 -5.36330E+01  6.97032E-03  1.61610E-02
 -5.33835E+01  2.65834E-02  2.29762E-02
 -5.31341E+01  1.83807E-02  1.99814E-02
 -5.28846E+01  3.97122E-02  2.63650E-02
 -5.26352E+01  5.86949E-02  2.94977E-02
 -5.23857E+01  5.36484E-02  2.79617E-02
 -5.21363E+01  5.05861E-02  3.03349E-02
 -5.18868E+01  6.29475E-02  3.16950E-02
 -5.16373E+01  1.01376E-01  3.75479E-02
 -5.13879E+01  9.26648E-02  3.56487E-02
 -5.11384E+01  3.27786E-02  2.38699E-02
 -5.08890E+01  2.78112E-02  1.96933E-02
 -5.06395E+01  2.46375E-02  2.21518E-02
 -5.03901E+01  1.33901E-02  2.12279E-02
 -5.01406E+01  4.53586E-02  2.69480E-02
 -4.98912E+01  5.16482E-02  2.77714E-02
 -4.96417E+01  5.39087E-02  2.80768E-02
 -4.93922E+01  5.29824E-02  2.90788E-02
 -4.91428E+01  4.68542E-02  2.80574E-02
 -4.88933E+01  6.28560E-02  3.01804E-02
 -4.86439E+01  4.08518E-02  2.47933E-02
 -4.83944E+01  2.07226E-02  2.14051E-02
 -4.81450E+01  3.69822E-02  2.47783E-02
 -4.78955E+01  4.62882E-02  2.72476E-02
 -4.76461E+01  6.41055E-02  3.28374E-02
 -4.73966E+01  4.67587E-02  2.45939E-02
 -4.71471E+01  9.51172E-03  1.61331E-02
 -4.68977E+01  6.30986E-02  3.14749E-02
 -4.66482E+01  1.01669E-01  3.66987E-02
 -4.63988E+01  5.79378E-02  3.17688E-02
 -4.61493E+01  5.55823E-02  3.05495E-02
 -4.58999E+01  6.39376E-02  3.02140E-02
 -4.56504E+01  5.80802E-02  2.98603E-02
 -4.54010E+01  7.69399E-02  3.58147E-02
 -4.51515E+01  7.35145E-02  3.46782E-02
 -4.49020E+01  9.98589E-02  3.77494E-02
 -4.46526E+01  9.08858E-02  3.43278E-02
 -4.44031E+01  4.18982E-02  2.41567E-02
 -4.41537E+01  6.68112E-02  3.65617E-02
 -4.39042E+01  1.31534E-01  4.35071E-02
 -4.36548E+01  1.07392E-01  3.80139E-02
 -4.34053E+01  1.18130E-01  4.29526E-02
 -4.31559E+01  1.44743E-01  4.38330E-02
 -4.29064E+01  1.11702E-01  4.04125E-02
 -4.26569E+01  1.17158E-01  3.88378E-02
 -4.24075E+01  9.20073E-02  3.58956E-02
 -4.21580E+01  5.13425E-02  2.94180E-02
 -4.19086E+01  4.86879E-02  2.82147E-02
 -4.16591E+01  1.17616E-01  4.38482E-02
 -4.14097E+01  1.56820E-01  4.55345E-02
 -4.11602E+01  1.65640E-01  4.61142E-02
 -4.09107E+01  1.57142E-01  4.84118E-02
 -4.06613E+01  1.30037E-01  4.41535E-02
 -4.04118E+01  1.07998E-01  3.91314E-02
 -4.01624E+01  1.54120E-01  4.85074E-02
 -3.99129E+01  2.20109E-01  5.51015E-02
 -3.96635E+01  2.11119E-01  5.34130E-02
 -3.94140E+01  1.89184E-01  5.06626E-02
 -3.91646E+01  1.85004E-01  5.09630E-02
 -3.89151E+01  2.21413E-01  5.69220E-02
 -3.86656E+01  2.70679E-01  5.87029E-02
 -3.84162E+01  2.60490E-01  5.90046E-02
 -3.81667E+01  2.12481E-01  5.49230E-02
 -3.79173E+01  2.51928E-01  5.96530E-02
 -3.76678E+01  2.68992E-01  6.21189E-02
 -3.74184E+01  2.82098E-01  6.36988E-02
 -3.71689E+01  3.87587E-01  7.45798E-02
 -3.69195E+01  4.64009E-01  7.84444E-02
 -3.66700E+01  4.49033E-01  7.66534E-02
 -3.64205E+01  3.84069E-01  7.48688E-02
 -3.61711E+01  4.92575E-01  8.26247E-02
 -3.59216E+01  5.87344E-01  8.84421E-02
 -3.56722E+01  6.45991E-01  9.53171E-02
 -3.54227E+01  7.27136E-01  1.00440E-01
 -3.51733E+01  7.58837E-01  1.01633E-01
 -3.49238E+01  9.54687E-01  1.12996E-01
 -3.46744E+01  9.78577E-01  1.09281E-01
 -3.44249E+01  8.40909E-01  1.06949E-01
 -3.41754E+01  8.61520E-01  1.09313E-01
 -3.39260E+01  8.69884E-01  1.06502E-01
 -3.36765E+01  7.79389E-01  9.95677E-02
 -3.34271E+01  7.39130E-01  1.00181E-01
 -3.31776E+01  7.34332E-01  9.91232E-02
 -3.29282E+01  6.98855E-01  9.70301E-02
 -3.26787E+01  7.31577E-01  1.00629E-01
 -3.24293E+01  7.73345E-01  9.97587E-02
 -3.21798E+01  8.19163E-01  1.04452E-01
 -3.19303E+01  8.67468E-01  1.08701E-01
 -3.16809E+01  8.62538E-01  1.08033E-01
 -3.14314E+01  9.47305E-01  1.14324E-01
 -3.11820E+01  1.03116E+00  1.17363E-01
 -3.09325E+01  1.05654E+00  1.16451E-01
 -3.06831E+01  9.66235E-01  1.12030E-01
 -3.04336E+01  8.94404E-01  1.09533E-01
 -3.01841E+01  8.90449E-01  1.10194E-01
 -2.99347E+01  1.01523E+00  1.17316E-01
 -2.96852E+01  1.09429E+00  1.20191E-01
 -2.94358E+01  1.13398E+00  1.22559E-01
 -2.91863E+01  1.12548E+00  1.22153E-01
 -2.89369E+01  1.23371E+00  1.29558E-01
 -2.86874E+01  1.36932E+00  1.33366E-01
 -2.84380E+01  1.32861E+00  1.31991E-01
 -2.81885E+01  1.35137E+00  1.34725E-01
 -2.79390E+01  1.47513E+00  1.39358E-01
 -2.76896E+01  1.44049E+00  1.37627E-01
 -2.74401E+01  1.43314E+00  1.38888E-01
 -2.71907E+01  1.47378E+00  1.42541E-01
 -2.69412E+01  1.70758E+00  1.48051E-01
 -2.66918E+01  1.71660E+00  1.45736E-01
 -2.64423E+01  1.49154E+00  1.41625E-01
 -2.61929E+01  1.54816E+00  1.43865E-01
 -2.59434E+01  1.51455E+00  1.39384E-01
 -2.56939E+01  1.44848E+00  1.38119E-01
 -2.54445E+01  1.54599E+00  1.45336E-01
 -2.51950E+01  1.67167E+00  1.48452E-01
 -2.49456E+01  1.74966E+00  1.52071E-01
 -2.46961E+01  1.73508E+00  1.51041E-01
 -2.44467E+01  1.66627E+00  1.49876E-01
 -2.41972E+01  1.91529E+00  1.60057E-01
 -2.39478E+01  2.06241E+00  1.63448E-01
 -2.36983E+01  1.99387E+00  1.59048E-01
 -2.34488E+01  2.08999E+00  1.67147E-01
 -2.31994E+01  2.12354E+00  1.65829E-01
 -2.29499E+01  2.05803E+00  1.61865E-01
 -2.27005E+01  2.02657E+00  1.67700E-01
 -2.24510E+01  2.41397E+00  1.78094E-01
 -2.22016E+01  2.42035E+00  1.75443E-01
 -2.19521E+01  2.31837E+00  1.72209E-01
 -2.17027E+01  2.10517E+00  1.65692E-01
 -2.14532E+01  2.13120E+00  1.69613E-01
 -2.12037E+01  2.38209E+00  1.75277E-01
 -2.09543E+01  2.26997E+00  1.72018E-01
 -2.07048E+01  2.32042E+00  1.75166E-01
 -2.04554E+01  2.54149E+00  1.82559E-01
