@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:55:56 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -8.06335E+01 -2.10928E-02
 -8.03846E+01 -4.29055E-03
 -8.01357E+01  3.32660E-02
 -7.98868E+01  3.87199E-02
 -7.96380E+01  2.29347E-02
 -7.93891E+01  1.30710E-02
 -7.91402E+01  8.77887E-03
 -7.88914E+01 -1.72503E-03
 -7.86425E+01 -1.37240E-02
 -7.83936E+01 -1.92210E-02
 -7.81448E+01 -1.55569E-02
 -7.78959E+01 -7.38671E-03
 -7.76470E+01 -8.57224E-03
 -7.73982E+01 -1.36475E-02
 -7.71493E+01 -9.69772E-03
 -7.69004E+01 -4.25239E-03
 -7.66516E+01 -7.07648E-03
 -7.64027E+01 -4.21946E-03
 -7.61538E+01  8.43217E-03
 -7.59049E+01  1.56770E-02
 -7.56561E+01  9.33600E-03
 -7.54072E+01  2.76413E-03
 -7.51583E+01 -4.16920E-03
 -7.49095E+01 -5.72749E-03
 -7.46606E+01 -8.93414E-03
 -7.44117E+01 -6.11966E-03
 -7.41629E+01  5.84790E-03
 -7.39140E+01  1.71820E-02
 -7.36651E+01  2.01164E-02
 -7.34163E+01  7.86175E-03
 -7.31674E+01 -3.47915E-03
 -7.29185E+01 -4.57627E-03
 -7.26697E+01 -8.35921E-03
 -7.24208E+01 -1.12584E-02
 -7.21719E+01 -1.08845E-02
 -7.19230E+01 -6.81856E-03
 -7.16742E+01  7.67868E-03
 -7.14253E+01  1.61356E-02
 -7.11764E+01  9.11161E-03
 -7.09276E+01 -2.70463E-03
 -7.06787E+01 -5.08243E-03
 -7.04298E+01 -1.32206E-02
 -7.01810E+01 -9.89601E-03
 -6.99321E+01  2.47875E-03
 -6.96832E+01 -3.98216E-03
 -6.94344E+01 -1.48538E-02
 -6.91855E+01 -2.05906E-02
 -6.89366E+01 -1.59886E-02
 -6.86878E+01 -6.42472E-03
 -6.84389E+01 -6.14055E-03
 -6.81900E+01 -9.59192E-03
 -6.79411E+01 -4.72852E-03
 -6.76923E+01 -1.58587E-03
 -6.74434E+01  7.38923E-03
 -6.71945E+01  2.41322E-02
 -6.69457E+01  2.59426E-02
 -6.66968E+01  9.71150E-03
 -6.64479E+01 -2.86264E-03
 -6.61991E+01  3.15443E-03
 -6.59502E+01  7.25144E-03
 -6.57013E+01  3.22310E-04
 -6.54525E+01 -5.44925E-03
 -6.52036E+01 -6.79169E-03
 -6.49547E+01  4.40683E-03
 -6.47059E+01  1.76333E-02
 -6.44570E+01  1.44696E-02
 -6.42081E+01  3.16887E-03
 -6.39592E+01  1.54211E-04
 -6.37104E+01  6.65949E-04
 -6.34615E+01  2.77613E-03
 -6.32126E+01 -2.46067E-03
 -6.29638E+01 -2.29714E-02
 -6.27149E+01 -3.05997E-02
 -6.24660E+01 -2.08531E-02
 -6.22172E+01 -1.35056E-02
 -6.19683E+01 -8.37702E-03
 -6.17194E+01 -9.29300E-03
 -6.14706E+01 -2.72675E-02
 -6.12217E+01 -3.00291E-02
 -6.09728E+01 -1.49707E-02
 -6.07240E+01 -1.27367E-03
 -6.04751E+01  8.23776E-03
 -6.02262E+01  1.46353E-02
 -5.99774E+01  2.22241E-02
 -5.97285E+01  3.88677E-02
 -5.94796E+01  4.90572E-02
 -5.92307E+01  3.44509E-02
 -5.89819E+01  2.41687E-02
 -5.87330E+01  3.03121E-02
 -5.84841E+01  2.84976E-02
 -5.82353E+01  1.29688E-02
 -5.79864E+01  1.34467E-02
 -5.77375E+01  1.35064E-02
 -5.74887E+01 -3.69375E-03
 -5.72398E+01 -1.12671E-02
 -5.69909E+01 -2.23491E-04
 -5.67421E+01  2.02924E-02
 -5.64932E+01  2.98549E-02
 -5.62443E+01  4.82858E-03
 -5.59955E+01 -2.64069E-02
 -5.57466E+01 -2.58238E-02
 -5.54977E+01 -1.82398E-03
 -5.52488E+01  9.11416E-03
 -5.50000E+01  1.17128E-02
 -5.47511E+01  1.10149E-03
 -5.45022E+01 -1.50990E-02
 -5.42534E+01 -7.27426E-03
 -5.40045E+01 -3.90381E-03
 -5.37556E+01 -7.44545E-03
 -5.35068E+01  1.66488E-03
 -5.32579E+01  1.71040E-02
 -5.30090E+01  6.17929E-03
 -5.27602E+01 -1.82413E-02
 -5.25113E+01 -2.99377E-02
 -5.22624E+01 -2.77975E-02
 -5.20136E+01 -8.91269E-03
 -5.17647E+01  1.06223E-02
 -5.15158E+01  1.12183E-02
 -5.12669E+01  1.45351E-02
 -5.10181E+01  1.98376E-02
 -5.07692E+01  2.47462E-02
 -5.05203E+01  4.15620E-02
 -5.02715E+01  3.60947E-02
 -5.00226E+01  1.19754E-02
 -4.97737E+01  1.46172E-02
 -4.95249E+01  2.55527E-02
 -4.92760E+01  1.96958E-02
 -4.90271E+01  2.19168E-02
 -4.87783E+01  2.38628E-02
 -4.85294E+01  2.65850E-02
 -4.82805E+01  2.30361E-02
 -4.80317E+01 -4.50831E-03
 -4.77828E+01 -3.28038E-02
 -4.75339E+01 -3.67314E-02
 -4.72850E+01 -2.86602E-02
 -4.70362E+01 -5.41542E-03
 -4.67873E+01  2.42641E-02
 -4.65384E+01  3.84506E-02
 -4.62896E+01  3.72745E-02
 -4.60407E+01  4.46754E-02
 -4.57918E+01  5.22676E-02
 -4.55430E+01  5.28532E-02
 -4.52941E+01  4.05577E-02
 -4.50452E+01  2.23857E-02
 -4.47964E+01  2.47267E-02
 -4.45475E+01  4.00334E-02
 -4.42986E+01  4.17091E-02
 -4.40498E+01  5.79571E-02
 -4.38009E+01  1.05485E-01
 -4.35520E+01  1.28861E-01
 -4.33031E+01  1.21101E-01
 -4.30543E+01  1.21453E-01
 -4.28054E+01  1.26031E-01
 -4.25565E+01  1.08567E-01
 -4.23077E+01  1.09525E-01
 -4.20588E+01  1.27802E-01
 -4.18099E+01  1.37227E-01
 -4.15611E+01  1.43851E-01
 -4.13122E+01  1.33552E-01
 -4.10633E+01  9.27729E-02
 -4.08145E+01  7.79096E-02
 -4.05656E+01  9.89941E-02
 -4.03167E+01  1.15799E-01
 -4.00679E+01  1.29567E-01
 -3.98190E+01  1.79748E-01
 -3.95701E+01  2.50124E-01
 -3.93213E+01  2.95287E-01
 -3.90724E+01  3.08221E-01
 -3.88235E+01  3.23609E-01
 -3.85746E+01  3.83039E-01
 -3.83258E+01  4.76826E-01
 -3.80769E+01  5.59380E-01
 -3.78280E+01  5.80897E-01
 -3.75792E+01  5.89513E-01
 -3.73303E+01  5.80509E-01
 -3.70814E+01  5.57589E-01
 -3.68326E+01  5.78364E-01
 -3.65837E+01  6.02491E-01
 -3.63348E+01  5.81815E-01
 -3.60860E+01  5.68879E-01
 -3.58371E+01  5.87465E-01
 -3.55882E+01  5.81659E-01
 -3.53394E+01  5.74346E-01
 -3.50905E+01  5.82628E-01
 -3.48416E+01  5.87036E-01
 -3.45927E+01  5.75216E-01
