@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:57:23 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -8.02718E+01 -2.69656E-02
 -8.00225E+01 -2.02123E-02
 -7.97732E+01  4.48690E-03
 -7.95239E+01  1.00598E-02
 -7.92746E+01  2.36481E-03
 -7.90253E+01 -2.40429E-03
 -7.87761E+01 -6.99219E-03
 -7.85268E+01 -9.57415E-03
 -7.82775E+01 -9.47274E-03
 -7.80282E+01 -8.98638E-03
 -7.77789E+01  2.42918E-03
 -7.75296E+01  4.72738E-03
 -7.72803E+01 -1.02950E-02
 -7.70310E+01 -1.18361E-02
 -7.67817E+01 -3.95443E-03
 -7.65324E+01 -1.56910E-04
 -7.62831E+01 -1.00338E-04
 -7.60338E+01 -4.02249E-03
 -7.57846E+01 -1.48246E-02
 -7.55353E+01 -2.30075E-02
 -7.52860E+01 -1.84662E-02
 -7.50367E+01 -9.93736E-03
 -7.47874E+01 -1.52316E-02
 -7.45381E+01 -1.19247E-02
 -7.42888E+01 -5.36016E-03
 -7.40395E+01 -1.29283E-02
 -7.37902E+01 -1.52784E-02
 -7.35409E+01 -1.36873E-02
 -7.32916E+01 -9.64147E-03
 -7.30424E+01 -3.45744E-03
 -7.27931E+01  6.77116E-03
 -7.25438E+01  1.48796E-02
 -7.22945E+01  8.38826E-03
 -7.20452E+01  2.51691E-03
 -7.17959E+01  1.38454E-03
 -7.15466E+01  6.65818E-03
 -7.12973E+01  2.12224E-02
 -7.10480E+01  2.44794E-02
 -7.07987E+01  1.23900E-02
 -7.05494E+01 -2.66611E-03
 -7.03001E+01  3.73544E-03
 -7.00509E+01  2.52648E-02
 -6.98016E+01  2.99564E-02
 -6.95523E+01  1.09095E-02
 -6.93030E+01 -1.40106E-02
 -6.90537E+01 -1.66480E-02
 -6.88044E+01 -6.89000E-04
 -6.85551E+01  1.13608E-02
 -6.83058E+01  9.94274E-04
 -6.80565E+01 -1.56268E-02
 -6.78072E+01 -1.20098E-02
 -6.75579E+01 -3.97636E-03
 -6.73087E+01 -1.37991E-02
 -6.70594E+01 -2.46745E-02
 -6.68101E+01 -1.80979E-02
 -6.65608E+01 -1.04177E-02
 -6.63115E+01 -3.60457E-03
 -6.60622E+01  6.08290E-03
 -6.58129E+01  1.08522E-02
 -6.55636E+01  5.59925E-03
 -6.53143E+01  8.93005E-04
 -6.50650E+01 -5.85302E-03
 -6.48157E+01 -6.59971E-03
 -6.45664E+01 -2.21603E-03
 -6.43172E+01 -3.51413E-03
 -6.40679E+01 -7.81930E-03
 -6.38186E+01 -1.46554E-02
 -6.35693E+01 -1.63383E-02
 -6.33200E+01 -9.89234E-03
 -6.30707E+01 -2.71688E-03
 -6.28214E+01 -7.82008E-03
 -6.25721E+01 -1.73124E-02
 -6.23228E+01  1.20967E-03
 -6.20735E+01  2.54754E-02
 -6.18242E+01  1.38625E-02
 -6.15750E+01 -3.56724E-03
 -6.13257E+01 -1.17349E-02
 -6.10764E+01 -1.33912E-02
 -6.08271E+01 -6.14752E-03
 -6.05778E+01 -6.36065E-03
 -6.03285E+01 -3.25082E-04
 -6.00792E+01  8.00768E-03
 -5.98299E+01  9.38663E-03
 -5.95806E+01  1.72956E-02
 -5.93313E+01  2.01007E-02
 -5.90820E+01  8.23460E-03
 -5.88327E+01  7.95940E-03
 -5.85835E+01  3.31472E-02
 -5.83342E+01  4.45966E-02
 -5.80849E+01  2.21541E-02
 -5.78356E+01  8.66936E-03
 -5.75863E+01  1.86818E-02
 -5.73370E+01  1.24661E-02
 -5.70877E+01  6.51372E-04
 -5.68384E+01 -7.33760E-04
 -5.65891E+01  6.62599E-03
 -5.63398E+01  2.42288E-03
 -5.60905E+01 -6.34155E-03
 -5.58413E+01 -1.65733E-02
 -5.55920E+01 -1.33371E-02
 -5.53427E+01 -5.42231E-03
 -5.50934E+01 -7.74605E-03
 -5.48441E+01 -1.07014E-02
 -5.45948E+01 -1.81142E-03
 -5.43455E+01  1.41705E-02
 -5.40962E+01  1.39054E-02
 -5.38469E+01 -6.69416E-04
 -5.35976E+01  4.68445E-03
 -5.33483E+01  1.79082E-02
 -5.30990E+01  2.01965E-02
 -5.28498E+01  1.19087E-02
 -5.26005E+01  6.39091E-03
 -5.23512E+01  9.39043E-03
 -5.21019E+01 -2.56401E-03
 -5.18526E+01 -1.69190E-03
 -5.16033E+01  1.37616E-02
 -5.13540E+01  2.96433E-03
 -5.11047E+01 -1.38945E-03
 -5.08554E+01  4.69339E-03
 -5.06061E+01  1.96759E-03
 -5.03568E+01  7.64527E-03
 -5.01076E+01  1.58853E-02
 -4.98583E+01 -5.54814E-04
 -4.96090E+01 -2.61042E-02
 -4.93597E+01 -3.37475E-02
 -4.91104E+01 -1.36971E-02
 -4.88611E+01  1.30700E-02
 -4.86118E+01  2.21123E-02
 -4.83625E+01  1.74063E-02
 -4.81132E+01  8.84352E-03
 -4.78639E+01 -1.27501E-02
 -4.76146E+01 -2.97507E-02
 -4.73653E+01 -2.31877E-02
 -4.71161E+01 -2.83038E-03
 -4.68668E+01 -7.46785E-03
 -4.66175E+01 -1.71708E-02
 -4.63682E+01 -4.32160E-03
 -4.61189E+01  5.46198E-03
 -4.58696E+01  1.18165E-02
 -4.56203E+01  2.17559E-02
 -4.53710E+01  3.51643E-02
 -4.51217E+01  4.52175E-02
 -4.48724E+01  5.06472E-02
 -4.46231E+01  3.86449E-02
 -4.43739E+01  2.06446E-02
 -4.41246E+01  2.78236E-02
 -4.38753E+01  6.54902E-02
 -4.36260E+01  8.15092E-02
 -4.33767E+01  7.99144E-02
 -4.31274E+01  7.77163E-02
 -4.28781E+01  6.62262E-02
 -4.26288E+01  8.63320E-02
 -4.23795E+01  1.04624E-01
 -4.21302E+01  9.14469E-02
 -4.18809E+01  1.01198E-01
 -4.16316E+01  1.40415E-01
 -4.13824E+01  1.52507E-01
 -4.11331E+01  1.33092E-01
 -4.08838E+01  9.80822E-02
 -4.06345E+01  8.93425E-02
 -4.03852E+01  1.08549E-01
 -4.01359E+01  1.49439E-01
 -3.98866E+01  1.85977E-01
 -3.96373E+01  2.07054E-01
 -3.93880E+01  2.29970E-01
 -3.91387E+01  2.49745E-01
 -3.88894E+01  2.73015E-01
 -3.86402E+01  3.25844E-01
 -3.83909E+01  3.89180E-01
 -3.81416E+01  4.28721E-01
 -3.78923E+01  4.34429E-01
 -3.76430E+01  4.64345E-01
 -3.73937E+01  5.71561E-01
 -3.71444E+01  6.66685E-01
 -3.68951E+01  7.30938E-01
 -3.66458E+01  7.55166E-01
 -3.63965E+01  7.23231E-01
 -3.61472E+01  6.53524E-01
 -3.58979E+01  6.20051E-01
 -3.56487E+01  6.40800E-01
 -3.53994E+01  6.16459E-01
 -3.51501E+01  5.94575E-01
 -3.49008E+01  6.46449E-01
 -3.46515E+01  7.13365E-01
 -3.44022E+01  7.31335E-01
 -3.41529E+01  7.50119E-01
 -3.39036E+01  7.66608E-01
 -3.36543E+01  6.97321E-01
 -3.34050E+01  6.17137E-01
 -3.31557E+01  5.76585E-01
 -3.29065E+01  6.12517E-01
 -3.26572E+01  6.97104E-01
 -3.24079E+01  7.02540E-01
 -3.21586E+01  6.54623E-01
 -3.19093E+01  6.16876E-01
 -3.16600E+01  6.48447E-01
 -3.14107E+01  7.65878E-01
 -3.11614E+01  8.89110E-01
 -3.09121E+01  8.96979E-01
 -3.06628E+01  9.04802E-01
 -3.04135E+01  9.92196E-01
 -3.01642E+01  1.09748E+00
 -2.99150E+01  1.13128E+00
 -2.96657E+01  1.10584E+00
 -2.94164E+01  1.12208E+00
 -2.91671E+01  1.18861E+00
 -2.89178E+01  1.27890E+00
 -2.86685E+01  1.28468E+00
 -2.84192E+01  1.25742E+00
 -2.81699E+01  1.27721E+00
 -2.79206E+01  1.32461E+00
 -2.76713E+01  1.34230E+00
 -2.74220E+01  1.31084E+00
 -2.71728E+01  1.29543E+00
 -2.69235E+01  1.37080E+00
 -2.66742E+01  1.39688E+00
