@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 15:03:03 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -8.10939E+01 -3.62374E+00  0.00000E+00
 -8.08445E+01 -3.62288E+00  0.00000E+00
 -8.05952E+01  1.00257E+00  5.20372E+00
 -8.03459E+01  3.91702E+00  4.17880E+00
 -8.00965E+01 -3.10779E+00  8.67254E-01
 -7.98472E+01 -1.14532E+00  2.93754E+00
 -7.95979E+01 -1.64171E+00  1.79784E+00
 -7.93485E+01 -9.14772E-01  1.07363E+00
 -7.90992E+01 -2.93686E+00  2.27774E-01
 -7.88499E+01 -1.45780E+00  1.94749E+00
 -7.86005E+01 -9.07640E-01  1.12773E+00
 -7.83512E+01 -1.78490E+00  2.03249E+00
 -7.81019E+01  2.88946E+00  2.40266E+00
 -7.78525E+01  1.53324E+00  1.75690E+00
 -7.76032E+01 -2.42075E-01  1.73965E+00
 -7.73539E+01  6.67841E-01  1.98629E+00
 -7.71045E+01 -5.72787E-02  2.02047E+00
 -7.68552E+01 -5.23060E-01  1.20118E+00
 -7.66059E+01  4.19733E-01  2.56857E+00
 -7.63565E+01  3.20444E+00  2.01492E+00
 -7.61072E+01 -1.15409E+00  1.37590E+00
 -7.58579E+01 -1.35236E+00  1.15611E+00
 -7.56085E+01 -4.67349E-02  1.99730E+00
 -7.53592E+01 -2.69808E-01  2.19810E+00
 -7.51099E+01  1.25985E+00  2.09110E+00
 -7.48605E+01  1.44955E+00  2.19007E+00
 -7.46112E+01  5.33066E-01  1.02429E+00
 -7.43619E+01 -2.76185E+00  1.04940E+00
 -7.41125E+01  1.18803E-01  2.21291E+00
 -7.38632E+01  9.48244E-02  1.77053E+00
 -7.36139E+01 -1.23709E+00  1.04018E+00
 -7.33645E+01 -1.78797E+00  1.73502E+00
 -7.31152E+01  3.85222E-01  1.96042E+00
 -7.28659E+01  2.60910E+00  2.45173E+00
 -7.26165E+01  1.18585E+00  2.01738E+00
 -7.23672E+01  9.41544E-01  1.72248E+00
 -7.21179E+01 -1.26779E+00  2.03444E+00
 -7.18685E+01  2.21761E+00  2.44569E+00
 -7.16192E+01  1.72955E+00  1.48681E+00
 -7.13699E+01 -4.74011E-01  2.23524E+00
 -7.11205E+01  9.65469E-01  1.74842E+00
 -7.08712E+01  5.66000E-01  1.72798E+00
 -7.06219E+01 -1.64872E+00  1.10902E+00
 -7.03725E+01 -1.88496E+00  1.05090E+00
 -7.01232E+01  1.86022E-01  2.56181E+00
 -6.98739E+01  1.01887E-01  5.40400E-01
 -6.96245E+01 -2.19574E+00  1.39421E+00
 -6.93752E+01 -1.63128E+00  1.48467E+00
 -6.91259E+01  8.79060E-01  2.46839E+00
 -6.88765E+01  5.11216E+00  2.62702E+00
 -6.86272E+01  9.43383E-01  1.77963E+00
 -6.83779E+01 -3.76421E-01  2.23126E+00
 -6.81285E+01  6.48045E-01  1.50566E+00
 -6.78792E+01 -5.51266E-01  2.00701E+00
 -6.76299E+01  1.85603E+00  2.17654E+00
 -6.73805E+01 -1.15505E-02  1.40099E+00
 -6.71312E+01 -1.34083E+00  1.74885E+00
 -6.68819E+01  3.88534E-01  2.25971E+00
 -6.66325E+01  8.19929E-01  1.49139E+00
 -6.63832E+01  5.19426E-01  2.29223E+00
 -6.61339E+01  2.73726E+00  2.16670E+00
 -6.58845E+01 -8.96059E-01  1.72081E+00
 -6.56352E+01 -8.72532E-01  1.58684E+00
 -6.53859E+01  3.31939E+00  2.75248E+00
 -6.51366E+01  1.15754E+00  1.47547E+00
 -6.48872E+01  1.44100E+00  2.42480E+00
 -6.46379E+01  6.96487E-01  1.75246E+00
 -6.43886E+01 -4.09130E-02  1.69853E+00
 -6.41392E+01 -1.46847E+00  1.50003E+00
 -6.38899E+01 -9.40914E-01  1.77297E+00
 -6.36406E+01  1.83604E+00  2.73681E+00
 -6.33912E+01  4.54231E+00  2.52134E+00
 -6.31419E+01  1.90652E+00  1.79441E+00
 -6.28926E+01 -3.20918E-01  2.40725E+00
 -6.26432E+01  3.39269E+00  3.00965E+00
 -6.23939E+01  7.60851E+00  2.85287E+00
 -6.21446E+01  2.27769E+00  1.44933E+00
 -6.18952E+01 -2.66495E+00  9.85404E-01
 -6.16459E+01 -2.21944E+00  1.25202E+00
 -6.13966E+01 -1.02744E-01  2.34857E+00
 -6.11472E+01  1.90489E+00  2.00429E+00
 -6.08979E+01  2.04412E+00  2.51064E+00
 -6.06486E+01  1.26779E+00  2.01684E+00
 -6.03992E+01  3.57051E+00  3.10381E+00
 -6.01499E+01  4.69868E+00  2.45663E+00
 -5.99006E+01  2.26211E+00  2.01589E+00
 -5.96512E+01  3.02548E+00  2.39315E+00
 -5.94019E+01 -8.24173E-02  1.73809E+00
 -5.91526E+01  9.43955E-01  2.13052E+00
 -5.89032E+01  1.65414E+00  2.36242E+00
 -5.86539E+01  1.10472E+00  1.87580E+00
 -5.84046E+01 -5.18191E-02  2.21403E+00
 -5.81552E+01  5.00827E+00  2.92394E+00
 -5.79059E+01  3.90957E+00  2.24918E+00
 -5.76566E+01  1.92505E+00  2.67485E+00
 -5.74072E+01  3.98472E+00  2.49399E+00
 -5.71579E+01  2.97488E+00  2.44628E+00
 -5.69086E+01  3.61609E+00  2.21217E+00
 -5.66592E+01  2.28967E-01  2.18944E+00
 -5.64099E+01  1.17275E+00  2.02035E+00
 -5.61606E+01  2.11564E-01  2.04821E+00
 -5.59112E+01  2.61502E+00  2.24740E+00
