Bin Midpoint,Prob
3736.5,0.0474
3759.5,0.1216
3781.5,0.046
3782.5,0.1586
3804.5,0.1748
3806.5,0.1183
3826.5,0.1789
3829.5,0.1562
3834.5,0.0457
3847.5,0.1773
3853.5,0.1733
3858.5,0.1193
3866.5,0.1734
3874.5,0.1797
3881.5,0.1585
3884.5,0.1658
3886.5,0.0465
3893.5,0.1809
3903.5,0.3324
3909.5,0.1216
3912.5,0.1767
3922.5,0.3303
3931.5,0.1628
3932.5,0.1677
3937.5,0.047
3941.5,0.1342
3942.5,0.1874
3951.5,0.1841
3952.5,0.1581
3958.5,0.2537
3962.5,0.1815
3969.5,0.1313
3970.5,0.1923
3971.5,0.1499
3978.5,0.1665
3979.5,0.1338
3982.5,0.174
3983.5,0.0473
3987.5,0.1472
3990.5,0.1342
3991.5,0.1913
3998.5,0.1872
3999.5,0.15
4002.5,0.2993
4003.5,0.1249
4008.5,0.1538
4012.5,0.1871
4014.5,0.1267
4018.5,0.1668
4019.5,0.1551
4020.5,0.1941
4025.5,0.167
4027.5,0.1217
4028.5,0.0474
4029.5,0.1713
4031.5,0.3364
4037.5,0.2971
4041.5,0.1951
4043.5,0.148
4046.5,0.1211
4047.5,0.3716
4048.5,0.1789
4050.5,0.1243
4055.5,0.2639
4057.5,0.1914
4059.5,0.1772
4061.5,0.1954
4064.5,0.1192
4065.5,0.3403
4069.5,0.1956
4071.5,0.1722
4073.5,0.1171
4074.5,0.5103
4076.5,0.2002
4077.5,0.0472
4081.5,0.1161
4082.5,0.1433
4084.5,0.1671
4085.5,0.4096
4088.5,0.2016
4090.5,0.1144
4092.5,0.3589
4093.5,0.1666
4096.5,0.187
4098.5,0.1957
4099.5,0.1105
4100.5,0.2222
4101.5,0.3076
4102.5,0.1236
4103.5,0.2105
4108.5,0.1045
4109.5,0.3069
4110.5,0.4127
4111.5,0.2221
4115.5,0.2011
4116.5,0.2321
4117.5,0.1366
4118.5,0.0944
4119.5,0.3576
4123.5,0.2175
4124.5,0.2386
4125.5,0.1668
4126.5,0.1323
4127.5,0.1926
4128.5,0.3802
4129.5,0.0828
4132.5,0.0472
4134.5,0.4697
4135.5,0.6951
4139.5,0.2424
4140.5,0.0725
4144.5,0.7605
4146.5,0.5995
4151.5,0.2817
4152.5,0.1896
4153.5,0.1567
4155.5,0.341
4156.5,0.2531
4157.5,0.0993
4158.5,0.2318
4159.5,0.4514
4160.5,0.2504
4162.5,0.3976
4167.5,0.7081
4168.5,0.5237
4169.5,0.0591
4172.5,0.1734
4173.5,0.37
4176.5,0.2134
4177.5,0.4448
4178.5,0.0563
4179.5,0.3265
4180.5,0.2374
4181.5,0.2069
4182.5,0.5291
4183.5,0.2123
4184.5,0.1178
4186.5,0.4344
4187.5,0.0533
4188.5,0.5113
4189.5,0.3111
4191.5,0.2102
4194.5,0.2526
4195.5,0.2694
4196.5,0.1541
4197.5,0.3894
4198.5,0.5407
4200.5,0.9365
4201.5,0.258
4202.5,0.1826
4203.5,0.1836
4204.5,0.2333
4207.5,0.4321
4208.5,0.7379
4209.5,0.5373
4210.5,0.438
4211.5,0.235
4212.5,0.2313
4213.5,0.6409
4214.5,0.2211
4216.5,0.1138
4217.5,0.3413
4219.5,1.205
4220.5,0.2699
4221.5,0.79
4223.5,0.2177
4224.5,0.4929
4225.5,0.0616
4226.5,0.4034
4227.5,0.2698
4229.5,0.0972
4231.5,1.0045
4233.5,0.5944
4234.5,0.0434
4235.5,0.3499
4237.5,0.5322
4238.5,0.4415
4240.5,0.5783
4241.5,0.0417
4242.5,0.6348
4243.5,0.3707
4244.5,0.5637
4245.5,0.0775
4246.5,0.1353
4248.5,0.0968
4249.5,0.2863
4250.5,1.0287
4252.5,0.6231
4254.5,0.5801
4255.5,0.2074
4256.5,0.0551
4257.5,0.8018
4259.5,0.8259
4260.5,0.5311
4261.5,0.3681
4262.5,0.4858
4264.5,0.6064
4265.5,0.2818
4266.5,0.8219
4267.5,0.1174
4268.5,0.1494
4269.5,0.6263
4270.5,0.2241
4271.5,0.4283
4272.5,0.2653
4273.5,0.2848
4274.5,0.5305
4275.5,0.49
4277.5,0.6307
4278.5,0.3348
4279.5,0.2556
4280.5,0.4943
4281.5,0.798
4282.5,0.0329
4283.5,0.0464
4284.5,0.0665
4285.5,0.7905
4286.5,0.1083
4288.5,1.4638
4289.5,0.4358
4290.5,0.13
4292.5,0.5938
4293.5,0.0437
4295.5,0.5949
4296.5,0.1032
4297.5,0.8291
4298.5,0.5006
4299.5,0.0426
4300.5,0.4705
4301.5,0.4342
4303.5,0.2064
4305.5,0.9752
4307.5,0.4783
4308.5,0.2689
4309.5,0.1726
4310.5,0.9025
4311.5,0.2191
4312.5,0.4867
4313.5,0.3986
4314.5,0.0559
4315.5,0.275
4316.5,0.2683
4317.5,0.2534
4318.5,0.2721
4319.5,0.3038
4320.5,0.0946
4321.5,0.2949
4322.5,0.5609
4325.5,0.2729
4326.5,0.8843
4327.5,0.5879
4328.5,0.2615
4329.5,0.2541
4330.5,0.1342
4331.5,0.3731
4332.5,0.3582
4333.5,0.7529
4334.5,0.0486
4335.5,0.287
4337.5,0.5698
4338.5,0.8039
4339.5,0.1867
4340.5,0.1669
4341.5,1.1343
4342.5,0.1954
4344.5,0.1623
4345.5,0.3214
4346.5,0.1845
4347.5,0.2605
4348.5,0.2696
4349.5,0.5943
4350.5,0.1518
4351.5,0.2911
4352.5,0.59
4353.5,0.4643
4354.5,0.2074
4355.5,0.6891
4356.5,0.8366
4357.5,0.0304
4358.5,0.1179
4359.5,0.0801
4360.5,0.1236
4361.5,0.1547
4362.5,0.3784
4363.5,0.4302
4364.5,0.2996
4365.5,0.5171
4366.5,0.2802
4367.5,0.2971
4368.5,0.6813
4369.5,0.0881
4370.5,0.2569
4371.5,0.1498
4372.5,0.5277
4374.5,0.1361
4375.5,0.3425
4376.5,0.4214
4377.5,0.2919
4378.5,0.1713
4379.5,0.427
4380.5,0.1499
4381.5,0.493
4382.5,0.3248
4383.5,0.4089
4385.5,0.0216
4387.5,0.7735
4388.5,0.163
4389.5,0.2304
4390.5,0.4659
4391.5,0.4485
4392.5,0.1138
4393.5,0.2621
4394.5,0.2132
4395.5,0.0704
4396.5,0.238
4397.5,0.3419
4398.5,0.356
4399.5,0.1621
4400.5,0.4317
4401.5,0.189
4402.5,0.2403
4403.5,0.1099
4404.5,0.4941
4405.5,0.0207
4406.5,0.3758
4407.5,0.3574
4409.5,0.2499
4410.5,0.3984
4411.5,0.6849
4412.5,0.1445
4413.5,0.3059
4414.5,0.0944
4415.5,0.0205
4416.5,0.6012
4417.5,0.1185
4419.5,0.0207
4420.5,0.1133
4421.5,0.5335
4422.5,0.4669
4423.5,0.3191
4424.5,0.3112
4425.5,0.1589
4427.5,0.2876
4428.5,0.2248
4429.5,0.3091
4430.5,0.5352
4431.5,0.2359
4432.5,0.1977
4433.5,0.5756
4434.5,0.0436
4435.5,0.0884
4436.5,0.1385
4437.5,0.4623
4439.5,0.1948
4440.5,0.3367
4441.5,0.1216
4442.5,0.3647
4443.5,0.2821
4444.5,0.2877
4445.5,0.247
4446.5,0.1823
4447.5,0.0467
4448.5,0.3549
4449.5,0.5035
4450.5,0.376
4451.5,0.168
4452.5,0.2883
4453.5,0.2293
4454.5,0.1592
4455.5,0.2967
4456.5,0.186
4457.5,0.2595
4458.5,0.1737
4459.5,0.3787
4460.5,0.0409
4461.5,0.3655
4462.5,0.0591
4463.5,0.3566
4464.5,0.0214
4465.5,0.6792
4466.5,0.2695
4467.5,0.3469
4468.5,0.0784
4469.5,0.2284
4470.5,0.1419
