Bin Midpoint,Prob
4034.5,0.0473
4035.5,0.1308
4037.5,0.1841
4051.5,0.1841
4052.5,0.2112
4055.5,0.0495
4067.5,0.1824
4069.5,0.0465
4071.5,0.1294
4075.5,0.2121
4094.5,0.1951
4102.5,0.1611
4103.5,0.2023
4109.5,0.1102
4123.5,0.1927
4126.5,0.1917
4135.5,0.1694
4142.5,0.0397
4149.5,0.5041
4164.5,0.1705
4170.5,0.1708
4173.5,0.1788
4181.5,0.1488
4188.5,0.0999
4189.5,0.1682
4190.5,0.1672
4195.5,0.172
4200.5,0.174
4209.5,0.1816
4210.5,0.1526
4214.5,0.3361
4218.5,0.1861
4224.5,0.1322
4225.5,0.1799
4232.5,0.1797
4233.5,0.1892
4234.5,0.1673
4237.5,0.1547
4241.5,0.195
4245.5,0.1775
4251.5,0.3468
4254.5,0.0429
4255.5,0.1483
4256.5,0.1893
4257.5,0.1621
4260.5,0.1961
4267.5,0.1753
4270.5,0.1368
4273.5,0.1886
4275.5,0.1916
4276.5,0.167
4281.5,0.1979
4283.5,0.1588
4287.5,0.1264
4288.5,0.113
4295.5,0.3143
4296.5,0.1948
4301.5,0.1244
4302.5,0.1723
4309.5,0.1894
4311.5,0.3293
4314.5,0.1346
4316.5,0.1472
4317.5,0.216
4318.5,0.1729
4319.5,0.1519
4323.5,0.1244
4327.5,0.1333
4332.5,0.1269
4333.5,0.2144
4335.5,0.1376
4338.5,0.1342
4339.5,0.1293
4340.5,0.1507
4342.5,0.0469
4344.5,0.1757
4348.5,0.1283
4349.5,0.1371
4350.5,0.1345
4356.5,0.4249
4358.5,0.1865
4359.5,0.2461
4360.5,0.5987
4361.5,0.2179
4365.5,0.1406
4371.5,0.2377
4372.5,0.1398
4374.5,0.5279
4378.5,0.0467
4379.5,0.1436
4380.5,0.168
4381.5,0.1295
4382.5,0.1098
4385.5,0.1449
4387.5,0.2788
4388.5,0.4998
4393.5,0.1031
4394.5,0.1691
4396.5,0.1467
4397.5,0.1469
4398.5,0.1253
4399.5,0.4474
4400.5,0.1596
4401.5,0.1171
4402.5,0.1766
4403.5,0.5081
4404.5,0.3723
4405.5,0.4806
4409.5,0.2588
4411.5,0.1557
4412.5,0.2086
4413.5,0.2091
4414.5,0.4875
4417.5,0.3837
4419.5,0.2541
4420.5,0.1556
4421.5,0.2453
4422.5,0.212
4423.5,0.1945
4424.5,0.1649
4426.5,0.2884
4427.5,0.1265
4429.5,0.2332
4431.5,0.3699
4432.5,0.1067
4433.5,0.3714
4434.5,0.1791
4435.5,0.2553
4440.5,0.047
4442.5,0.5451
4444.5,0.3061
4446.5,0.3706
4448.5,0.1782
4449.5,0.1296
4451.5,0.0863
4454.5,0.0975
4455.5,0.3197
4457.5,0.5035
4459.5,0.1571
4460.5,0.1218
4461.5,0.3047
4463.5,0.2299
4465.5,0.0486
4466.5,0.4853
4467.5,0.2045
4469.5,0.081
4470.5,0.1283
4471.5,0.2662
4474.5,0.204
4475.5,0.1994
4476.5,0.1974
4478.5,0.1822
4480.5,0.1453
4481.5,0.1214
4482.5,0.2035
4483.5,0.1622
4486.5,0.0777
4487.5,0.3912
4488.5,0.2037
4489.5,0.0935
4492.5,0.3131
4493.5,0.0778
4495.5,0.4694
4496.5,0.4078
4498.5,0.0902
4500.5,0.0781
4502.5,0.183
4504.5,0.4096
4505.5,0.112
4506.5,0.2138
4507.5,0.0874
4508.5,0.4302
4509.5,0.1985
4510.5,0.2204
4513.5,0.2166
4514.5,0.338
4515.5,0.3567
4517.5,0.2113
4520.5,0.1407
4522.5,0.39
4523.5,0.3985
4525.5,0.2172
4527.5,0.3846
4529.5,0.312
4530.5,0.0745
4531.5,0.2465
4532.5,0.2612
4533.5,0.231
4534.5,0.1844
4535.5,0.1485
4536.5,0.21
4537.5,0.302
4538.5,0.0733
4539.5,0.2864
4541.5,0.3411
4544.5,0.433
4545.5,0.2523
4547.5,0.6969
4548.5,0.1281
4549.5,0.164
4550.5,0.6365
4552.5,0.0842
4553.5,0.393
4554.5,0.0946
4555.5,0.2114
4556.5,0.2211
4558.5,0.3988
4559.5,0.4206
4560.5,0.5955
4562.5,0.4963
4563.5,0.1476
4564.5,0.2124
4566.5,0.2216
4567.5,0.375
4569.5,0.8054
4570.5,0.1303
4571.5,0.3722
4572.5,0.1648
4574.5,0.3057
4575.5,0.1674
4576.5,0.4463
4577.5,0.0914
4580.5,0.3075
4581.5,0.6175
4582.5,0.2477
4583.5,0.2055
4584.5,0.2453
4586.5,0.2214
4588.5,0.5737
4589.5,0.2025
4590.5,0.1027
4592.5,0.0897
4593.5,0.3699
4594.5,0.2113
4595.5,0.0634
4596.5,0.1966
4597.5,0.1015
4598.5,0.0749
4599.5,0.4182
4600.5,0.8921
4601.5,0.0624
4605.5,0.1736
4607.5,0.2797
4608.5,0.3588
4609.5,0.3414
4610.5,0.4003
4612.5,0.3501
4613.5,0.6438
4614.5,0.1209
4615.5,0.2864
4616.5,0.2029
4618.5,0.1214
4619.5,0.2133
4620.5,0.4351
4621.5,0.1801
4622.5,0.3735
4624.5,0.1537
4625.5,0.0613
4628.5,0.0983
4629.5,0.9621
4630.5,0.459
4631.5,0.1507
4634.5,0.1753
4635.5,0.0613
4636.5,0.2654
4638.5,0.8438
4640.5,0.2082
4641.5,0.2452
4643.5,0.5316
4644.5,0.1975
