Bin Midpoint,Prob
3119.5,0.049
3126.5,0.0481
3131.5,0.1319
3143.5,0.1235
3147.5,0.1759
3153.5,0.0441
3171.5,0.1852
3173.5,0.1497
3190.5,0.1037
3197.5,0.1761
3204.5,0.1503
3216.5,0.1777
3225.5,0.192
3226.5,0.1583
3227.5,0.1243
3229.5,0.2064
3232.5,0.0402
3235.5,0.1772
3237.5,0.2148
3239.5,0.1949
3247.5,0.2061
3250.5,0.211
3252.5,0.1438
3259.5,0.1695
3260.5,0.1911
3261.5,0.2044
3265.5,0.1975
3267.5,0.206
3273.5,0.0972
3277.5,0.1925
3278.5,0.1887
3282.5,0.2072
3290.5,0.1827
3291.5,0.1851
3293.5,0.1986
3297.5,0.1373
3298.5,0.3908
3299.5,0.1971
3300.5,0.0484
3304.5,0.3498
3312.5,0.2227
3314.5,0.1913
3318.5,0.168
3320.5,0.0444
3322.5,0.1482
3324.5,0.1253
3325.5,0.1976
3326.5,0.2228
3327.5,0.1879
3330.5,0.2556
3331.5,0.1183
3333.5,0.1412
3338.5,0.1476
3340.5,0.4401
3342.5,0.1762
3343.5,0.3767
3344.5,0.2892
3345.5,0.3444
3346.5,0.1668
3349.5,0.1158
3350.5,0.1414
3357.5,0.2226
3358.5,0.4347
3359.5,0.3217
3363.5,0.291
3366.5,0.1434
3369.5,0.1265
3371.5,0.1161
3374.5,0.4026
3375.5,0.1962
3376.5,0.3719
3377.5,0.1256
3378.5,0.0454
3382.5,0.2024
3383.5,0.107
3384.5,0.0969
3387.5,0.2243
3389.5,0.1445
3390.5,0.1179
3392.5,0.1609
3393.5,0.223
3394.5,0.0478
3395.5,0.2851
3396.5,0.1752
3399.5,0.2079
3403.5,0.1091
3404.5,0.3482
3406.5,0.3136
3409.5,0.1698
3412.5,0.3705
3414.5,0.345
3415.5,0.0998
3417.5,0.2097
3423.5,0.1642
3424.5,0.2157
3427.5,0.3626
3431.5,0.1184
3434.5,0.3965
3435.5,0.0814
3436.5,0.1563
3437.5,0.1726
3438.5,0.2391
3440.5,0.1871
3443.5,0.0827
3444.5,0.1478
3448.5,0.1955
3449.5,0.0826
3452.5,0.228
3454.5,0.1819
3456.5,0.0992
3457.5,0.0846
3460.5,0.1876
3462.5,0.192
3463.5,0.4131
3465.5,0.0864
3466.5,0.1367
3468.5,0.0928
3469.5,0.1585
3470.5,0.1721
3473.5,0.1799
3475.5,0.2713
3476.5,0.1878
3479.5,0.2648
3480.5,0.1258
3484.5,0.2286
3486.5,0.0814
3487.5,0.2545
3490.5,0.1831
3493.5,0.507
3495.5,0.2685
3496.5,0.0764
3498.5,0.1537
3499.5,0.1536
3502.5,0.0557
3504.5,0.0953
3505.5,0.2699
3507.5,0.1753
3508.5,0.2396
3511.5,0.0519
3513.5,0.1418
3515.5,0.1661
3516.5,0.0911
3517.5,0.2665
3518.5,0.0634
3520.5,0.0505
3522.5,0.1724
3523.5,0.3297
3524.5,0.1098
3525.5,0.1571
3527.5,0.2749
3528.5,0.0504
3531.5,0.2734
3536.5,0.2137
3537.5,0.0553
3538.5,0.1491
3539.5,0.2364
3540.5,0.1226
3541.5,0.1591
3543.5,0.1532
3544.5,0.0491
3546.5,0.0539
3548.5,0.1525
3549.5,0.0715
3551.5,0.1213
3552.5,0.1859
3553.5,0.2363
3554.5,0.054
3555.5,0.1481
3557.5,0.162
3558.5,0.3477
3559.5,0.0668
3561.5,0.1462
3562.5,0.0534
3564.5,0.152
3565.5,0.2709
3566.5,0.1297
3569.5,0.0626
3570.5,0.2405
3575.5,0.1288
3576.5,0.3956
3577.5,0.2206
3578.5,0.1139
3579.5,0.1369
3581.5,0.1714
3582.5,0.1816
3584.5,0.2633
3585.5,0.0536
3586.5,0.0615
3587.5,0.1241
3588.5,0.135
3590.5,0.1872
3591.5,0.0548
3594.5,0.1932
3595.5,0.265
3596.5,0.1851
3597.5,0.2523
3598.5,0.1969
3600.5,0.189
3603.5,0.2508
3604.5,0.052
3608.5,0.128
3609.5,0.3205
3611.5,0.0605
3612.5,0.1059
3613.5,0.3093
3614.5,0.1455
3615.5,0.3258
3616.5,0.0541
3617.5,0.3162
3618.5,0.3298
3622.5,0.1918
3623.5,0.2163
3624.5,0.1266
3625.5,0.0738
3626.5,0.1233
3627.5,0.1113
3629.5,0.0638
3630.5,0.0471
3631.5,0.2503
3632.5,0.2687
3633.5,0.6287
3634.5,0.0734
3635.5,0.0585
3636.5,0.0637
3637.5,0.0561
3638.5,0.2505
3640.5,0.0593
3642.5,0.1921
3644.5,0.2165
3645.5,0.1947
3647.5,0.0563
3648.5,0.1382
3649.5,0.3512
3650.5,0.3599
3653.5,0.274
3654.5,0.1107
3655.5,0.2875
3657.5,0.0745
3658.5,0.3085
3660.5,0.1648
3661.5,0.1412
3662.5,0.3456
3664.5,0.1284
3665.5,0.0549
3667.5,0.1417
3668.5,0.1451
3669.5,0.4854
3670.5,0.3824
3672.5,0.243
3673.5,0.4135
3674.5,0.0625
3675.5,0.3805
3677.5,0.0632
3678.5,0.1546
3679.5,0.3696
3681.5,0.273
3682.5,0.2141
3683.5,0.5581
3685.5,0.347
3686.5,0.0857
3687.5,0.5526
3688.5,0.2976
3689.5,0.1701
3690.5,0.2418
3691.5,0.1173
3692.5,0.1394
3693.5,0.3273
3694.5,0.2928
3696.5,0.5078
3697.5,0.1027
3698.5,0.5501
3699.5,0.3468
3702.5,0.2136
3703.5,0.4666
3704.5,0.3112
3706.5,0.6255
3709.5,0.1479
3710.5,0.4708
3711.5,0.2407
3712.5,0.181
3714.5,0.3979
3715.5,0.0727
3716.5,0.3359
3717.5,0.0512
3718.5,0.1234
3720.5,0.8779
3721.5,0.3064
3722.5,0.1678
3723.5,0.3913
3724.5,0.2281
3725.5,0.622
3726.5,0.4788
3727.5,0.6457
3728.5,0.5474
3729.5,0.4635
3730.5,0.1165
3731.5,0.3831
3734.5,0.2358
3735.5,0.3122
3736.5,0.0986
3737.5,0.2934
3738.5,0.1101
3739.5,0.2559
3740.5,0.1225
3741.5,0.4414
3742.5,0.101
3743.5,0.2287
3744.5,0.3119
3745.5,0.2542
3747.5,0.3938
3748.5,0.154
3749.5,0.3109
3750.5,0.0986
3751.5,0.0541
3752.5,0.5542
3753.5,0.2831
3754.5,0.0543
3755.5,0.1586
3757.5,0.2559
3758.5,0.1878
3759.5,0.3885
3761.5,0.1024
3762.5,0.1593
3763.5,0.5971
3764.5,0.4712
3765.5,0.3317
3766.5,0.5214
3767.5,0.4322
3768.5,0.2587
3769.5,0.6044
3770.5,0.2797
3771.5,0.0659
3772.5,0.6185
3773.5,0.2069
3774.5,0.5964
3775.5,0.4311
3776.5,0.1683
3777.5,0.6527
3778.5,0.5892
3779.5,0.2722
3780.5,0.163
3781.5,0.5211
3782.5,0.0675
3783.5,0.2767
3784.5,0.4358
3785.5,0.2422
3786.5,0.2141
3787.5,0.5392
3788.5,0.1767
3789.5,0.2929
3791.5,0.2517
3792.5,0.1703
3793.5,0.8522
3794.5,0.5126
3795.5,0.2679
3796.5,0.4607
3797.5,0.2446
3798.5,0.1814
3799.5,0.07
3800.5,0.2248
3801.5,0.1013
3802.5,0.5915
3803.5,0.2256
3804.5,0.1148
3805.5,0.5167
3806.5,0.5496
3807.5,0.5349
3808.5,0.1314
3809.5,0.4827
3810.5,0.551
3811.5,0.3283
3812.5,0.5034
3815.5,0.6892
3816.5,0.2646
3817.5,0.225
3818.5,0.4027
3819.5,0.2445
3820.5,0.2698
3821.5,0.4007
3823.5,0.5099
3824.5,0.8938
3825.5,0.7474
3826.5,0.2866
3827.5,0.9253
3828.5,0.3134
3829.5,0.4233
3830.5,0.5818
3831.5,1.1991
3832.5,0.238
3833.5,0.5941
3835.5,0.1246
3836.5,0.1763
3837.5,0.1117
3838.5,0.4729
3839.5,0.3881
3840.5,0.4052
3841.5,0.4018
3842.5,0.4506
3843.5,0.0934
3844.5,0.1196
3845.5,0.2589
3846.5,0.6713
3847.5,0.1433
3848.5,0.3152
3849.5,0.12
3850.5,0.3059
3851.5,0.6086
3852.5,0.2286
3853.5,0.3007
3854.5,0.1316
3855.5,0.3662
3856.5,0.5559
3857.5,0.5009
3858.5,1.1154
3859.5,0.2719
3860.5,0.4029
3861.5,0.7585
3862.5,0.3652
3863.5,0.7215
3864.5,0.5212
3865.5,0.4487
3866.5,0.5447
3867.5,0.579
3868.5,0.1413
3869.5,0.6622
3870.5,0.357
3871.5,0.278
3872.5,0.2482
3873.5,0.4113
3874.5,0.4137
3875.5,0.3409
3876.5,0.2303
3877.5,0.4785
3878.5,0.2509
3879.5,0.1664
3880.5,0.5423
3881.5,0.5045
3882.5,0.2583
3883.5,0.738
3885.5,0.6944
3886.5,1.0751
3887.5,0.6776
3888.5,0.718
3889.5,0.7513
3890.5,0.395
3891.5,0.3308
3892.5,0.2578
3893.5,0.2703
3894.5,0.846
3895.5,0.4861
3896.5,0.4192
3897.5,0.5347
3898.5,0.5907
3899.5,0.2149
3900.5,0.2884
3901.5,0.4364
3902.5,0.5299
3903.5,0.6307
3904.5,0.167
3905.5,0.3379
3906.5,0.9129
3907.5,0.4566
3908.5,1.3789
3909.5,0.2884
3910.5,0.7374
3911.5,0.7492
3912.5,1.1948
3913.5,0.4141
3914.5,0.1738
3915.5,0.2276
3916.5,0.2363
3917.5,0.9214
3918.5,0.3022
3919.5,0.4471
3920.5,0.2367
3921.5,0.5418
3922.5,0.3005
3923.5,1.5088
3924.5,0.1173
3925.5,0.9877
3926.5,0.9687
3927.5,0.8617
3929.5,0.3757
3930.5,0.1877
3931.5,0.9133
3932.5,0.629
3933.5,0.6591
3934.5,0.3154
3935.5,0.4572
3936.5,1.4754
3937.5,0.4782
3938.5,0.3858
3939.5,0.7528
3940.5,0.1263
3941.5,1.1211
3942.5,0.6593
3943.5,0.4199
3944.5,0.4444
3945.5,0.984
3946.5,0.2035
3947.5,1.0016
3948.5,1.1275
3949.5,0.5048
3950.5,0.7896
3951.5,0.1792
3952.5,1.2151
3954.5,0.2907
3955.5,0.9307
3956.5,0.5025
3957.5,0.7384
3958.5,0.9628
3959.5,0.4152
3960.5,0.3109
3961.5,0.5849
3962.5,0.7773
3963.5,1.2189
3964.5,2.21
3965.5,0.2316
3966.5,0.5823
3967.5,0.4243
3968.5,0.9106
3969.5,0.5276
3970.5,0.2069
3971.5,0.9122
3972.5,0.4374
3973.5,0.2742
3974.5,0.9089
3975.5,0.7299
3976.5,0.1678
3977.5,0.5024
3978.5,0.2204
3980.5,0.825
3981.5,1.5189
3982.5,0.3623
3983.5,0.6025
3984.5,0.4344
3985.5,0.3246
3986.5,0.5753
3987.5,0.733
3988.5,0.5867
3989.5,0.4835
3990.5,0.2226
3991.5,2.2652
3992.5,1.2047
3993.5,0.5509
3994.5,0.6505
3995.5,0.1468
3996.5,0.8867
3997.5,0.3847
3998.5,0.1645
3999.5,0.5328
4000.5,1.2615
4001.5,0.3078
4002.5,1.2269
4003.5,0.3928
4004.5,0.4701
4005.5,0.584
4006.5,0.1678
4007.5,0.6606
4008.5,0.1511
4009.5,0.9559
4010.5,1.4477
4011.5,0.99
4012.5,1.2396
4013.5,1.1367
4015.5,0.4097
4016.5,0.4212
4017.5,0.8345
4018.5,0.4078
4019.5,0.9139
4020.5,0.6579
4021.5,0.6289
4022.5,0.7413
4023.5,0.616
4024.5,0.9767
4025.5,0.6574
4026.5,1.488
4027.5,0.8035
4028.5,0.1917
4029.5,1.6918
4030.5,0.2266
4031.5,0.4962
4032.5,0.8743
4033.5,1.0016
4034.5,0.9817
4035.5,1.6847
4036.5,0.6181
4037.5,0.183
4038.5,0.9668
4039.5,1.0899
4040.5,0.1747
4041.5,1.3127
4042.5,0.3921
4043.5,0.4125
4044.5,0.8189
4045.5,1.0786
4046.5,0.2331
4047.5,1.5607
4048.5,0.7747
4049.5,0.6518
4050.5,0.9362
4051.5,1.4034
4052.5,2.6145
4053.5,0.7247
4054.5,0.0375
4055.5,1.9487
4056.5,0.4394
4057.5,1.0316
4058.5,0.579
4059.5,1.4233
4060.5,0.6201
4061.5,0.704
4062.5,1.1654
4063.5,1.4872
4064.5,1.0164
4065.5,2.4028
4066.5,1.6391
4067.5,0.4449
4068.5,0.4407
4069.5,0.9497
4070.5,1.3117
4071.5,0.759
4072.5,0.7788
