Bin Midpoint,Prob
3479.5,0.0459
3499.5,0.1755
3505.5,0.2084
3514.5,0.2274
3517.5,0.1334
3521.5,0.1862
3524.5,0.2363
3529.5,0.2171
3530.5,0.135
3538.5,0.4156
3539.5,0.2334
3542.5,0.1334
3549.5,0.214
3554.5,0.4122
3556.5,0.2062
3565.5,0.2191
3573.5,0.4077
3574.5,0.0477
3576.5,0.1761
3586.5,0.2029
3592.5,0.1598
3595.5,0.1821
3596.5,0.1874
3599.5,0.1193
3610.5,0.3184
3611.5,0.1672
3619.5,0.0446
3622.5,0.1672
3625.5,0.1258
3627.5,0.1655
3630.5,0.2921
3640.5,0.1124
3641.5,0.1585
3646.5,0.1345
3647.5,0.1495
3654.5,0.2094
3662.5,0.4108
3664.5,0.1366
3667.5,0.0971
3676.5,0.1137
3679.5,0.0912
3680.5,0.1346
3681.5,0.1248
3684.5,0.1482
3687.5,0.0407
3688.5,0.1275
3690.5,0.107
3692.5,0.0808
3696.5,0.1183
3698.5,0.1246
3702.5,0.1012
3706.5,0.0663
3707.5,0.1451
3710.5,0.1125
3711.5,0.1434
3713.5,0.1195
3715.5,0.0902
3720.5,0.0553
3722.5,0.1073
3724.5,0.1
3727.5,0.1408
3728.5,0.1149
3731.5,0.0743
3732.5,0.0502
3735.5,0.1483
3736.5,0.0962
3740.5,0.1106
3743.5,0.0468
3745.5,0.0623
3747.5,0.2721
3753.5,0.0797
3755.5,0.1436
3756.5,0.1488
3757.5,0.0569
3763.5,0.1349
3765.5,0.0416
3766.5,0.0407
3768.5,0.1207
3771.5,0.1545
3772.5,0.0831
3776.5,0.1845
3778.5,0.1338
3780.5,0.0618
3781.5,0.0503
3786.5,0.1127
3788.5,0.0704
3789.5,0.0325
3792.5,0.5489
3800.5,0.0294
3801.5,0.0651
3803.5,0.0435
3805.5,0.0556
3807.5,0.271
3809.5,0.1532
3810.5,0.0275
3812.5,0.1661
3813.5,0.0622
3816.5,0.038
3817.5,0.0524
3820.5,0.1752
3825.5,0.0471
3826.5,0.0595
3827.5,0.3088
3828.5,0.0486
3829.5,0.1737
3830.5,0.0243
3836.5,0.1382
3837.5,0.0326
3838.5,0.0565
3839.5,0.0231
3841.5,0.2186
3844.5,0.1253
3845.5,0.0881
3847.5,0.1848
3848.5,0.031
3849.5,0.0222
3850.5,0.0527
3853.5,0.0391
3855.5,0.1764
3856.5,0.1177
3858.5,0.1335
3862.5,0.1957
3863.5,0.1682
3864.5,0.0836
3865.5,0.0215
3868.5,0.076
3871.5,0.2453
3873.5,0.0209
3874.5,0.0355
3875.5,0.3052
3876.5,0.0429
3877.5,0.0268
3881.5,0.212
3885.5,0.112
3886.5,0.0263
3887.5,0.0408
3888.5,0.3322
3889.5,0.1158
3892.5,0.1417
3894.5,0.2366
3895.5,0.032
3896.5,0.0185
3897.5,0.0756
3898.5,0.0393
3902.5,0.1201
3905.5,0.4138
3906.5,0.2229
3909.5,0.1561
3910.5,0.0245
3912.5,0.1407
3914.5,0.0308
3915.5,0.093
3917.5,0.2021
3918.5,0.2518
3919.5,0.0524
3921.5,0.0307
3924.5,0.064
3926.5,0.1577
3927.5,0.1676
3928.5,0.4388
3929.5,0.0351
3930.5,0.03
3931.5,0.0172
3935.5,0.0212
3936.5,0.2168
3937.5,0.0597
3938.5,0.2579
3939.5,0.1166
3941.5,0.3173
3942.5,0.0206
3945.5,0.0163
3946.5,0.063
3947.5,0.1952
3949.5,0.2867
3951.5,0.0158
3952.5,0.1156
3954.5,0.0613
3955.5,0.0209
3956.5,0.2072
3959.5,0.4278
3960.5,0.056
3961.5,0.3891
3963.5,0.0585
3965.5,0.1275
3966.5,0.1815
3967.5,0.0212
3969.5,0.0723
3971.5,0.1107
3972.5,0.0142
3974.5,0.1406
3975.5,0.0204
3978.5,0.3562
3979.5,0.2489
3981.5,0.3122
3982.5,0.0522
3983.5,0.2107
3984.5,0.0252
3986.5,0.1344
3987.5,0.1403
3988.5,0.0431
3989.5,0.0448
3992.5,0.1201
3993.5,0.1111
3994.5,0.2122
3995.5,0.0186
3996.5,0.0542
3999.5,0.1974
4000.5,0.3513
4001.5,0.0517
4002.5,0.0179
4003.5,0.0286
4004.5,0.0909
4006.5,0.1891
4007.5,0.2543
4008.5,0.1985
4009.5,0.2313
4010.5,0.0365
4012.5,0.1312
4014.5,0.112
4015.5,0.0606
4018.5,0.1637
4019.5,0.1808
4020.5,0.0121
4021.5,0.2021
4023.5,0.1999
4024.5,0.1039
4025.5,0.0122
4027.5,0.0502
4028.5,0.1199
4029.5,0.2229
4030.5,0.1169
4032.5,0.3632
4033.5,0.0642
4034.5,0.1862
4035.5,0.049
4036.5,0.0281
4037.5,0.1845
4038.5,0.0214
4039.5,0.012
4041.5,0.1656
4042.5,0.1135
4043.5,0.069
4044.5,0.0387
4045.5,0.1541
4046.5,0.1916
4048.5,0.2
4049.5,0.0757
4050.5,0.1453
4052.5,0.0985
4053.5,0.045
4054.5,0.1438
4055.5,0.3668
4057.5,0.0413
4058.5,0.2373
4059.5,0.0118
4060.5,0.0206
4061.5,0.384
4062.5,0.0827
4063.5,0.0119
4064.5,0.0253
4065.5,0.1093
4066.5,0.0157
4067.5,0.0809
4068.5,0.0563
4069.5,0.0254
4070.5,0.0833
4071.5,0.2146
4072.5,0.1803
4073.5,0.1866
4074.5,0.2388
4075.5,0.1943
4076.5,0.1644
4077.5,0.0311
4078.5,0.0841
4079.5,0.0469
4080.5,0.0251
4081.5,0.0271
4082.5,0.019
4084.5,0.3643
4085.5,0.0837
4086.5,0.341
4087.5,0.2554
4089.5,0.1556
4090.5,0.0125
4091.5,0.0346
4093.5,0.124
4094.5,0.0127
4095.5,0.1538
4096.5,0.3975
4097.5,0.0127
4098.5,0.1538
4099.5,0.1808
4100.5,0.0711
4101.5,0.2587
4103.5,0.1714
4104.5,0.0955
4105.5,0.2834
4106.5,0.0757
4108.5,0.2168
4109.5,0.1987
4110.5,0.059
4111.5,0.0184
4112.5,0.1992
4113.5,0.2057
4114.5,0.0228
4115.5,0.1888
4116.5,0.0185
4117.5,0.2566
4118.5,0.0232
4120.5,0.1389
4121.5,0.1396
4122.5,0.1894
4123.5,0.1517
4124.5,0.3773
4125.5,0.2333
4126.5,0.0189
4128.5,0.1359
4129.5,0.1416
4130.5,0.3829
4132.5,0.2324
4133.5,0.0384
4134.5,0.0192
4135.5,0.2442
4137.5,0.5645
4138.5,0.1376
4139.5,0.0192
4140.5,0.0572
4141.5,0.2464
4142.5,0.075
4143.5,0.2175
4144.5,0.128
4145.5,0.2182
4146.5,0.0555
4147.5,0.3694
4148.5,0.059
4149.5,0.1809
4151.5,0.2191
4152.5,0.097
4153.5,0.1271
4154.5,0.2553
4155.5,0.0674
4156.5,0.1922
4157.5,0.2757
4158.5,0.2233
4160.5,0.092
4161.5,0.3328
4162.5,0.1249
4163.5,0.0388
4164.5,0.0532
4165.5,0.2351
4166.5,0.2165
4167.5,0.2431
4168.5,0.1457
4169.5,0.2917
4170.5,0.3903
4171.5,0.2758
4172.5,0.1067
4173.5,0.3274
4174.5,0.0235
4175.5,0.0767
4176.5,0.0949
4177.5,0.2781
4178.5,0.2367
4179.5,0.1193
4180.5,0.2978
4181.5,0.209
4182.5,0.0459
4183.5,0.0698
4184.5,0.1285
4185.5,0.1862
4186.5,0.2212
4187.5,0.2972
4189.5,0.2928
4190.5,0.2379
