Folder,Index,Prob Amp,dvD,dvP,dvS,dvphi,vD,vP,vS,vphi
2009Oct_106GPa,Fe_Murphy_P7,13.03,21.0,22.0,24.0,19.0,5185.0,9118.0,4629.0,7387.0
2009Oct_121GPa,Fe_Murphy_P8,4.5,134.0,83.0,124.0,15.0,5175.0,9304.0,4614.0,7626.0
2009Oct_133GPa,Fe_Murphy_P9,4.23,144.0,88.0,132.0,17.0,5283.0,9513.0,4710.0,7804.0
2009Oct_30GPa,Fe_Murphy_P1,4.76,53.0,39.0,48.0,25.0,4330.0,7248.0,3879.0,5698.0
2009Oct_36GPa,Fe_Murphy_P2,2.24,193.0,31.0,43.0,21.0,4244.0,7289.0,3718.0,5890.0
2009Oct_53GPa,Fe_Murphy_P3,13.65,21.0,17.0,20.0,13.0,4539.0,7874.0,4053.0,6332.0
2009Oct_69GPa,Fe_Murphy_P4,9.88,30.0,20.0,28.0,8.0,4762.0,8300.0,4252.0,6692.0
2009Oct_77GPa,Fe_Murphy_P5,5.1,84.0,53.0,77.0,10.0,4857.0,8480.0,4335.0,6845.0
2009Oct_90GPa,Fe_Murphy_P6,9.07,34.0,24.0,32.0,10.0,5087.0,8830.0,4543.0,7103.0
2010Aug_151GPa,Fe_Murphy_P10,2.63,301.0,183.0,276.0,21.0,5464.0,9821.0,4866.0,8050.0
2011Feb_171GPa,Fe_Murphy_P11,8.11,82.0,51.0,72.0,24.0,5605.0,10122.0,5001.0,8313.0
2015Mar_Ambient,Fe_Ambient,5.01,40.0,92.0,37.0,114.0,3427.0,5778.0,3067.0,4566.0
