Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,1.0,2,4,3.18046865325858e-05,16.000031804686532,0.0003354572933030664,5478.982938991652,inf
0.0,1.25,2,5,6.146466531232579e-05,10.000061464665311,0.006737739929438758,5463.312590755222,inf
0.0,1.5,2,6,5.1810722103858256e-05,8.000051810722104,0.01831516442164152,5467.8900463757245,inf
0.0,1.75,2,7,0.0008540623922994358,7.0008540623923,0.030184490950494823,5508.271214511637,inf
0.0,2.0,2,8,0.003807078439507655,6.403807078439508,0.04068468532771283,5563.7892186356485,inf
0.0,2.25,2,9,0.007777690661897675,6.007777690661897,0.04959383013982071,5612.699653036641,inf
0.0,2.5,2,10,0.013540136722917533,5.727825851008632,0.05704510972214069,5663.7454763522355,inf
0.0,2.75,2,11,0.020750223877928315,5.520750223877928,0.06326803131399382,5709.259008115873,inf
0.0,3.0,2,12,0.023213499312792145,5.356546832646125,0.0686816364324299,5733.012379949882,inf
0.0,3.25,2,13,0.02145348432898562,5.221453484328986,0.07348112252364251,5739.113637005083,inf
0.0,3.5,2,14,0.020883954576782948,5.111793045485874,0.07762261042765937,5727.588055740754,inf
0.0,3.75,2,15,0.022236843127287777,5.0222368431272875,0.08117739789861256,5711.412935111116,inf
0.0,4.0,2,16,0.024076212425418186,4.947153135502342,0.0842828758760862,5696.224618822636,inf
0.0,4.25,2,17,0.031376063069022596,4.8885189202118795,0.08679038285063202,5674.084828821379,inf
0.0,4.5,2,18,0.05397963056261655,4.853979630562616,0.08830223897121342,5637.52888059585,inf
0.0,4.75,2,19,0.08025020994583094,4.830250209945831,0.08935615932256416,5598.228169988177,inf
0.0,5.0,2,20,0.08441563746139868,4.790297990402576,0.0911590956428967,5580.023237193627,inf
0.0,5.25,2,21,0.04127316980259746,4.707939836469264,0.09499130496689956,5716.10212407119,41.54192373490758
0.0,5.5,2,22,0.05310297896824199,4.684681926336663,0.09610240251442051,5680.8990821559555,44.536876911095625
0.0,5.75,2,23,0.05645554334768582,4.656455543347685,0.09746833025175317,5659.002059073002,43.46939078687502
0.0,6.0,2,24,0.05750003040571482,4.628928601834286,0.0988191071304888,5643.537643808419,41.85015011692622
0.0,6.25,2,25,0.05856537278294312,4.604019918237489,0.10005752992965002,5628.826061125215,40.36475212001799
0.0,6.5,2,26,0.05678646853275913,4.578525598967541,0.10134114306597064,5622.812577287453,38.08466157584783
0.0,6.75,2,27,0.07021854455948703,4.570218544559487,0.10176294163008959,5558.13432459535,inf
0.0,7.0,2,28,0.0878464305491066,4.567846430549107,0.10188370988473855,5538.321917721401,inf
0.0,7.25,2,29,0.0999856712538518,4.5615241327923135,0.10220628905172949,5521.653168220608,inf
0.0,7.5,2,30,0.10044443956533569,4.54488888400978,0.10305994785960619,5514.528225895879,inf
0.0,7.75,2,31,0.09724595940442046,4.52581738797585,0.10404740212811465,5512.88139988842,inf
0.0,8.0,2,32,0.09498124877839159,4.508774352226667,0.10493783244578427,5516.047877865114,inf
0.0,8.25,2,33,0.09838998151141996,4.49838998151142,0.10548410607259415,5523.302212022783,inf
0.0,8.5,2,34,0.10383832185698232,4.4909350960505305,0.1058780257373597,5531.19731433116,inf
0.0,8.75,2,35,0.10149745002444575,4.476497450024445,0.10664510584275458,5533.809893307928,inf
0.0,9.0,2,36,0.10516494115672569,4.468801304793089,0.10705627455029566,5526.008303662959,inf
0.0,9.25,2,37,0.1234690783769444,4.476410254847532,0.10664975541354434,5511.033937511781,inf
