Bin Midpoint,Prob
3252.5,0.0003
3262.5,0.0065
3265.5,0.0003
3267.5,0.0178
3277.5,0.0167
3279.5,0.028
3281.5,0.0998
3282.5,0.1199
3285.5,0.1865
3286.5,0.2084
3287.5,0.1246
3288.5,0.0003
3289.5,0.038
3290.5,0.25
3291.5,0.0903
3293.5,0.2106
3294.5,0.1187
3295.5,0.106
3296.5,0.1287
3297.5,0.0652
3298.5,0.0939
3299.5,0.0805
3300.5,0.2096
3301.5,0.125
3302.5,0.07
3304.5,0.1318
3305.5,0.1879
3306.5,0.1505
3307.5,0.2217
3308.5,0.0062
3309.5,0.0594
3310.5,0.1588
3311.5,0.0699
3312.5,0.41
3313.5,0.0822
3314.5,0.0003
3315.5,0.2971
3316.5,0.0781
3317.5,0.0714
3318.5,0.2367
3319.5,0.2661
3320.5,0.0843
3321.5,0.0267
3322.5,0.1081
3324.5,0.2343
3325.5,0.1586
3326.5,0.2182
3327.5,0.0967
3328.5,0.0665
3329.5,0.1822
3330.5,0.1701
3332.5,0.0838
3333.5,0.0985
3334.5,0.2321
3335.5,0.1609
3336.5,0.0757
3337.5,0.4017
3338.5,0.1528
3339.5,0.1193
3340.5,0.2266
3341.5,0.042
3342.5,0.0792
3344.5,0.0684
3345.5,0.3313
3347.5,0.2013
3348.5,0.2076
3349.5,0.0988
3350.5,0.0799
3351.5,0.0729
3352.5,0.1911
3353.5,0.1447
3354.5,0.0637
3355.5,0.2569
3356.5,0.0655
3357.5,0.0572
3358.5,0.129
3359.5,0.0782
3360.5,0.3202
3361.5,0.0509
3362.5,0.0442
3363.5,0.0369
3364.5,0.2258
3366.5,0.2317
3368.5,0.198
3369.5,0.1122
3371.5,0.1009
3372.5,0.0679
3373.5,0.1043
3374.5,0.1891
3375.5,0.0999
3376.5,0.0933
3377.5,0.2265
3378.5,0.0511
3379.5,0.1822
3380.5,0.1199
3381.5,0.0531
3382.5,0.2591
3383.5,0.1169
3384.5,0.1704
3385.5,0.0806
3386.5,0.1131
3387.5,0.3062
3388.5,0.0455
3389.5,0.0357
3390.5,0.0815
3391.5,0.0526
3392.5,0.1737
3393.5,0.1141
3394.5,0.1359
3395.5,0.1326
3396.5,0.0899
3398.5,0.0764
3399.5,0.1451
3400.5,0.0743
3401.5,0.1818
3402.5,0.1248
3403.5,0.1771
3404.5,0.0304
3405.5,0.0373
3406.5,0.0981
3407.5,0.266
3409.5,0.1792
3410.5,0.1311
3411.5,0.1217
3412.5,0.0272
3413.5,0.1643
3414.5,0.1116
3415.5,0.0789
3416.5,0.0787
3417.5,0.1248
3418.5,0.2841
3419.5,0.0756
3420.5,0.1149
3421.5,0.1632
3422.5,0.0454
3423.5,0.1531
3424.5,0.2645
3425.5,0.1867
3426.5,0.0516
3427.5,0.1228
3428.5,0.1166
3429.5,0.2859
3430.5,0.0374
3431.5,0.1246
3432.5,0.2611
3433.5,0.1246
3434.5,0.078
3435.5,0.0837
3436.5,0.156
3437.5,0.3383
3438.5,0.0789
3439.5,0.1257
3440.5,0.0659
3441.5,0.035
3442.5,0.0684
3443.5,0.1177
3444.5,0.213
3445.5,0.062
3446.5,0.047
3447.5,0.1911
3448.5,0.0317
3450.5,0.1739
3451.5,0.162
3452.5,0.1685
3453.5,0.1049
3454.5,0.1266
3455.5,0.1494
3456.5,0.1409
3457.5,0.1778
3458.5,0.1248
3459.5,0.0215
3460.5,0.0776
3461.5,0.1586
3462.5,0.126
3463.5,0.0552
3464.5,0.0989
3465.5,0.1756
3466.5,0.0786
3467.5,0.2264
3468.5,0.1039
3469.5,0.0463
3470.5,0.0887
3471.5,0.1359
3472.5,0.0443
3473.5,0.244
3474.5,0.1127
3475.5,0.0322
3476.5,0.2041
3477.5,0.0999
3478.5,0.0686
3479.5,0.0498
3480.5,0.1422
3481.5,0.0758
3482.5,0.1885
3483.5,0.0148
3484.5,0.0653
3485.5,0.0545
3486.5,0.1381
3487.5,0.1486
3488.5,0.0501
