Folder,Index,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
2009Oct_106GPa,Fe_Murphy_P7,hcp,106,3,16.61,0.07,11.38,0.05,619,1.7,621,1.7,7387.0,19.0
2009Oct_121GPa,Fe_Murphy_P8,hcp,121,3,16.24,0.07,11.64,0.02,674,2.3,677,2.3,7626.0,15.0
2009Oct_133GPa,Fe_Murphy_P9,hcp,133,4,15.97,0.07,11.84,0.02,718,2.7,721,2.8,7804.0,17.0
2009Oct_30GPa,Fe_Murphy_P1,hcp,30,2,19.66,0.07,9.61,0.03,309,2.5,312,2.6,5698.0,25.0
2009Oct_53GPa,Fe_Murphy_P3,hcp,53,2,18.47,0.03,10.25,0.01,408,1.5,411,1.6,6332.0,13.0
2009Oct_69GPa,Fe_Murphy_P4,hcp,69,3,17.8,0.03,10.63,0.01,473,1.1,476,1.1,6692.0,8.0
2009Oct_77GPa,Fe_Murphy_P5,hcp,77,3,17.5,0.07,10.8,0.02,503,1.1,506,1.1,6845.0,10.0
2009Oct_90GPa,Fe_Murphy_P6,hcp,90,3,17.1,0.07,11.06,0.02,555,1.2,558,1.2,7103.0,10.0
2010Aug_151GPa,Fe_Murphy_P10,hcp,151,5,15.61,0.07,12.13,0.03,783,3.5,786,3.7,8050.0,21.0
2011Feb_171GPa,Fe_Murphy_P11,hcp,171,5,15.21,0.07,12.43,0.03,856,4.3,859,4.6,8313.0,24.0
2015Mar_Ambient,Fe_Ambient,bcc,0.0,0.0,23.456,0.027,8.062,0.009,168.1,8.4,168.1,8.4,4566.0,114.0
