Bin Midpoint,Prob
3091.5,0.0491
3095.5,0.1328
3099.5,0.1846
3101.5,0.0491
3104.5,0.1334
3110.5,0.0496
3124.5,0.1837
3133.5,0.1652
3141.5,0.1546
3142.5,0.138
3152.5,0.1439
3153.5,0.0953
3156.5,0.1282
3163.5,0.1286
3168.5,0.1226
3172.5,0.0978
3176.5,0.1064
3181.5,0.1144
3187.5,0.0955
3189.5,0.079
3196.5,0.1803
3200.5,0.0769
3201.5,0.0916
3204.5,0.0795
3209.5,0.0761
3215.5,0.0797
3218.5,0.18
3219.5,0.0791
3220.5,0.0711
3225.5,0.0808
3230.5,0.065
3231.5,0.082
3236.5,0.077
3238.5,0.08
3240.5,0.1432
3241.5,0.0869
3247.5,0.0716
3249.5,0.0865
3251.5,0.0831
3252.5,0.0507
3256.5,0.0903
3257.5,0.0647
3259.5,0.0929
3262.5,0.211
3269.5,0.0577
3270.5,0.0927
3272.5,0.0396
3273.5,0.1704
3279.5,0.0532
3280.5,0.1051
3281.5,0.0895
3282.5,0.1398
3285.5,0.0651
3290.5,0.0463
3292.5,0.0834
3293.5,0.1117
3295.5,0.023
3296.5,0.0609
3300.5,0.1175
3301.5,0.0362
3304.5,0.2079
3306.5,0.0535
3308.5,0.1388
3312.5,0.0203
3314.5,0.0274
3315.5,0.333
3318.5,0.0421
3320.5,0.0195
3323.5,0.0256
3324.5,0.1625
3326.5,0.0647
3327.5,0.0976
3328.5,0.0189
3331.5,0.0248
3332.5,0.0322
3335.5,0.1617
3336.5,0.0177
3338.5,0.1452
3340.5,0.064
3341.5,0.0303
3344.5,0.016
3346.5,0.1549
3347.5,0.0237
3349.5,0.1141
3352.5,0.0397
3353.5,0.0144
3355.5,0.0223
3356.5,0.1097
3357.5,0.1611
3358.5,0.1763
3359.5,0.1961
3360.5,0.0136
3361.5,0.0379
3362.5,0.0675
3364.5,0.0204
3365.5,0.0289
3367.5,0.2276
3368.5,0.1425
3370.5,0.0375
3373.5,0.0461
3374.5,0.0112
3376.5,0.2336
3377.5,0.3485
3378.5,0.0373
3379.5,0.1778
3380.5,0.0177
3381.5,0.0459
3382.5,0.0344
3383.5,0.2115
3384.5,0.0473
3385.5,0.183
3386.5,0.0372
3387.5,0.2334
3388.5,0.1303
3390.5,0.0558
3391.5,0.2063
3392.5,0.3291
3394.5,0.0866
3395.5,0.0146
3398.5,0.0067
