Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,0.00046884350660423055,6.000468843506605,0.04977539856388676,5020.247550884109,33.98629436409858
0.0,1.0,1,4,0.008899688984301194,4.008899688984301,0.13473440018149782,4818.440238568527,88.63536347481883
0.0,1.25,1,5,0.026973424182781508,3.360306757516115,0.18634539242254666,4613.052529334155,98.97987537442596
0.0,1.5,1,6,0.04258025036075316,3.042580250360753,0.21842990317590685,4469.56226047008,84.35998292797473
0.0,1.75,1,7,0.044333827886439366,2.844333827886439,0.24119081049989619,4406.683451476975,64.09966361718715
0.0,2.0,1,8,0.03811270503625316,2.70477937170292,0.25862149748214514,4401.531507222837,47.38270588378543
0.0,2.25,1,9,0.04027642558078955,2.611704997009361,0.2709414593747896,4431.68504521501,41.37418553419907
0.0,2.5,1,10,0.054571075956930254,2.5545710759569302,0.278793047404996,4471.775552672759,42.42831922639078
0.0,2.75,1,11,0.0677477250432952,2.51219216948774,0.28476355211913335,4509.001657022545,41.605172977558674
0.0,3.0,1,12,0.0701132830877696,2.4701132830877697,0.2908182895044243,4532.009525378204,37.35792687365037
0.0,3.25,1,13,0.06458007258409178,2.4282164362204557,0.2969747329294055,4535.874201925778,32.02845179963253
0.0,3.5,1,14,0.06131587778150148,2.3946492111148348,0.3020011041290731,4527.646365406015,28.04520458872732
0.0,3.75,1,15,0.058768692698958895,2.3664610003912667,0.3062876762514282,4535.551678337543,24.712427118687067
0.0,4.0,1,16,0.07561357611821572,2.361327861832501,0.3070747944565705,4554.891192026965,26.36179935005087
0.0,4.25,1,17,0.1009665085008749,2.3676331751675415,0.3061082175016273,4576.890449612738,28.747559760477028
0.0,4.5,1,18,0.16315987984041272,2.413159879840413,0.29921887800964175,4610.629928540749,34.28010307758139
0.0,4.75,1,19,0.20448567867036435,2.4397797963174233,0.2952626740985135,4630.92208791041,37.14745558290508
0.0,5.0,1,20,0.203900538647791,2.4261227608700136,0.2972857800479404,4640.829985454288,35.67171575115894
0.0,5.25,1,21,0.20367476099673948,2.414201076786213,0.2990631456592162,4629.127258450669,33.63275043718833
0.0,5.5,1,22,0.2304628261491558,2.430462826149156,0.2966413596614756,4606.218673811771,33.49757641466468
0.0,5.75,1,23,0.24081309189662523,2.4312892823728154,0.2965188044359083,4592.641520683876,32.796234204321514
0.0,6.0,1,24,0.23576156235629514,2.4175797441744766,0.2985583547108096,4585.483267343318,30.920822503459885
0.0,6.25,1,25,0.2262467303238337,2.4001597738020943,0.30117015140107173,4586.908495864971,29.248147429195548
0.0,6.5,1,26,0.2173413822277331,2.3840080488943998,0.3036122077019153,4586.031879511479,27.848806069992452
0.0,6.75,1,27,0.2143192201909905,2.3743192201909906,0.30508659943703936,4579.867356869117,26.572160009113833
0.0,7.0,1,28,0.21060170575399983,2.3644478596001535,0.30659613157382115,4575.268964766373,25.588093709161548
0.0,7.25,1,29,0.2083932086162648,2.3565413567644127,0.3078105820981687,4569.676983554025,24.578039536810483
0.0,7.5,1,30,0.20584580282174236,2.3487029456788853,0.30901932214078237,4565.234559504457,23.8011807511086
