Bin Midpoint,Prob
2870.5,0.0473
2874.5,0.1734
2877.5,0.1243
2879.5,0.2243
2891.5,0.1709
2892.5,0.1355
2893.5,0.087
2903.5,0.1578
2905.5,0.0294
2906.5,0.1322
2910.5,0.1002
2911.5,0.1638
2914.5,0.1446
2916.5,0.1731
2919.5,0.1215
2920.5,0.1586
2922.5,0.1745
2924.5,0.0713
2925.5,0.1419
2926.5,0.1638
2927.5,0.1771
2930.5,0.1875
2931.5,0.1969
2932.5,0.4305
2934.5,0.1819
2935.5,0.1931
2936.5,0.1926
2937.5,0.3018
2939.5,0.1768
2940.5,0.3803
2944.5,0.3202
2945.5,0.1892
2948.5,0.1599
2949.5,0.3656
2950.5,0.2423
2953.5,0.1195
2954.5,0.1594
2955.5,0.3143
2956.5,0.1573
2958.5,0.1178
2961.5,0.1883
2962.5,0.245
2963.5,0.3159
2964.5,0.5048
2965.5,0.0472
2967.5,0.2474
2968.5,0.4814
2970.5,0.5159
2971.5,0.5983
2972.5,0.3932
2973.5,0.4483
2974.5,0.4899
2975.5,1.1951
2976.5,0.3309
2977.5,0.2324
2978.5,0.2346
2980.5,0.0498
2984.5,0.2239
2985.5,0.0631
2986.5,0.4994
2987.5,0.2068
2988.5,0.214
2993.5,0.1515
2994.5,0.0497
2995.5,0.1565
2996.5,0.2714
2998.5,0.1864
2999.5,0.1553
3000.5,0.1392
3003.5,0.1044
3005.5,0.1811
3007.5,0.0308
3008.5,0.1219
3009.5,0.0877
3010.5,0.0313
3011.5,0.0342
3012.5,0.2534
3014.5,0.0784
3015.5,0.1564
3017.5,0.0864
3018.5,0.0326
3019.5,0.1974
3020.5,0.0323
3021.5,0.0891
3022.5,0.0338
3023.5,0.0735
3024.5,0.1477
3025.5,0.0299
3027.5,0.0686
3028.5,0.1358
3029.5,0.0767
3030.5,0.1189
3031.5,0.0631
3032.5,0.0317
3034.5,0.0401
3035.5,0.1781
3036.5,0.0257
3037.5,0.1167
3038.5,0.0708
3039.5,0.1539
3040.5,0.0345
3042.5,0.0442
3043.5,0.0778
3044.5,0.0244
3045.5,0.1255
3046.5,0.1202
3047.5,0.1942
3048.5,0.0521
3049.5,0.0224
3050.5,0.0549
3051.5,0.057
3052.5,0.0977
3053.5,0.0768
3054.5,0.1111
3055.5,0.0886
3056.5,0.0245
3057.5,0.0212
3058.5,0.2072
3059.5,0.1092
3060.5,0.0845
3061.5,0.0442
3062.5,0.063
3063.5,0.0383
3064.5,0.0234
3065.5,0.2748
3066.5,0.0899
3067.5,0.0505
3068.5,0.0627
3069.5,0.1857
3070.5,0.1035
3071.5,0.1407
3072.5,0.086
3073.5,0.0482
3074.5,0.1262
3075.5,0.1717
3076.5,0.0534
3077.5,0.1124
3079.5,0.0518
3080.5,0.3325
3081.5,0.1605
3083.5,0.1122
3084.5,0.071
3085.5,0.1093
3086.5,0.0677
3087.5,0.1988
3088.5,0.0773
3089.5,0.1086
3090.5,0.0877
3091.5,0.1589
3092.5,0.1369
3093.5,0.2309
3094.5,0.0667
3095.5,0.1694
3096.5,0.1742
3097.5,0.0174
3098.5,0.1905
3100.5,0.2763
3101.5,0.0607
3102.5,0.1497
3103.5,0.1271
3104.5,0.0689
3105.5,0.1885
3106.5,0.3525
3107.5,0.1177
3108.5,0.061
3109.5,0.2224
3110.5,0.163
3111.5,0.1668
3112.5,0.1572
3113.5,0.0824
3114.5,0.1174
3115.5,0.2865
3116.5,0.1347
3117.5,0.1813
3118.5,0.181
3119.5,0.1813
3120.5,0.2155
3121.5,0.2249
3122.5,0.1521
3123.5,0.1235
3124.5,0.1397
3125.5,0.2091
