Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,0.0025344546409821955,6.002534454640982,0.04972401679339762,3435.7493082746287,22.93754433504107
0.0,1.0,1,4,0.0018806100912237252,4.001880610091224,0.13520808659812847,3427.7959937423507,13.519006970439582
0.0,1.25,1,5,0.009504600954207115,3.34283793428754,0.187980138662786,3387.8575726751574,21.34078701184696
0.0,1.5,1,6,0.028816003070927167,3.028816003070927,0.21993834948051402,3339.8613201240473,27.47524878957903
0.0,1.75,1,7,0.04562316016064599,2.8456231601606463,0.24103537305979664,3302.7275025230615,26.645504205732756
0.0,2.0,1,8,0.046796858604983727,2.71346352527165,0.2575009775343047,3286.137454113158,22.113761085394636
0.0,2.25,1,9,0.04132242634288661,2.6127509977714576,0.2707997939370629,3282.9673361977502,17.13041008723564
0.0,2.5,1,10,0.03890079836084525,2.5389007983608454,0.2809860094897925,3289.0093533452946,14.266433739816597
0.0,2.75,1,11,0.04569207787813562,2.4901365223225804,0.28792125362082577,3300.460411986568,13.52667245925717
0.0,3.0,1,12,0.06363535484305109,2.463635354843051,0.2917617666297086,3314.8949048320515,14.151896997534692
0.0,3.25,1,13,0.08408080659144711,2.447717170227811,0.29409319116628413,3328.096664103955,14.737561209900687
0.0,3.5,1,14,0.10066017710839194,2.4339935104417254,0.2961181481265005,3339.3155784238907,14.755911346885577
0.0,3.75,1,15,0.1040655847254248,2.4117578924177323,0.299428702095531,3346.193021086191,13.85352588738417
0.0,4.0,1,16,0.09953247701519108,2.3852467627294764,0.30342422160208105,3349.389581713533,12.464489606445207
0.0,4.25,1,17,0.09543991000443748,2.362106576671104,0.3069552558801943,3351.9598253568543,11.421883917246598
0.0,4.5,1,18,0.0945772561179071,2.344577256117907,0.30965743897824144,3355.5771532393655,10.67517054981907
0.0,4.75,1,19,0.09053547309477511,2.325829590741834,0.3125737632151131,3357.2639890390624,9.863356118918162
0.0,5.0,1,20,0.08650375520287212,2.3087259774250946,0.3152582960467493,3358.4835857805456,9.1497901276033
0.0,5.25,1,21,0.089729648680169,2.3002559644696428,0.3165962480907393,3361.9927573596738,8.917631171789711
0.0,5.5,1,22,0.09852401166077056,2.2985240116607706,0.31687053171575175,3366.5586866728477,8.93494023044496
0.0,5.75,1,23,0.10100168282615368,2.2914778733023438,0.31798885733237386,3369.710418284031,8.676677771465638
0.0,6.0,1,24,0.10408749947253233,2.285905681290714,0.3188760401320247,3372.6646600403706,8.503089590642638
0.0,6.25,1,25,0.11292291219118046,2.2868359556694413,0.3187277535164456,3376.375658336311,8.57442545894703
0.0,6.5,1,26,0.11380280794094932,2.280469474607616,0.319743957171997,3378.793425008983,8.31642914416611
0.0,6.75,1,27,0.10964230367250902,2.269642303672509,0.3214796122314966,3378.353486730917,7.928747289837591
