Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,0.000941664218280046,6.00094166421828,0.04976363253506065,3298.768583120581,7.886763247395337
0.0,1.0,1,4,0.0023422723081950847,4.002342272308195,0.13517687996749192,3285.4283547572545,8.583476459700664
0.0,1.25,1,5,0.015065035647778481,3.348398368981112,0.18745823885404866,3256.663253352037,15.482472182916386
0.0,1.5,1,6,0.033978924247067346,3.033978924247067,0.21937131949718972,3228.6484794670514,17.24569094134427
0.0,1.75,1,7,0.04493712009053146,2.844937120090531,0.24111806720397702,3210.2875050580765,15.53776955263262
0.0,2.0,1,8,0.047511706644167685,2.7141783733108342,0.2574089569460294,3199.3986653044017,12.87550185942215
0.0,2.25,1,9,0.04381052393005955,2.615239095358631,0.27046311524589367,3195.0899124226926,10.364894538604752
0.0,2.5,1,10,0.039048154024033985,2.539048154024034,0.2809653078125417,3195.8649707051172,8.428554160290313
0.0,2.75,1,11,0.043503156449721636,2.4879476008941657,0.2882365446270366,3201.675391810817,7.8470920946087865
0.0,3.0,1,12,0.07709523762322507,2.477095237623225,0.2898048194963612,3212.0027500845936,9.445447574766197
0.0,3.25,1,13,0.11027957525372183,2.4739159388900855,0.29026587390443653,3221.28829494645,10.373685258581219
0.0,3.5,1,14,0.10727295378130902,2.4406062871146426,0.2951406833648518,3224.4936098821368,9.44450578495285
0.0,3.75,1,15,0.10653313749789194,2.4142254451901994,0.29905950183563934,3221.128134825682,8.725428440183617
0.0,4.0,1,16,0.11296239489949401,2.3986766806137796,0.3013935659270076,3216.8541445987994,8.400081986309806
0.0,4.25,1,17,0.10883543169237578,2.3755020983590422,0.3049062126472769,3218.6085423276377,7.800362352095489
0.0,4.5,1,18,0.1551208903934917,2.4051208903934915,0.30042400709341904,3225.2507038145095,8.892770463704947
0.0,4.75,1,19,0.20034414732227315,2.4356382649693322,0.2958747273996363,3231.539747418052,9.693299055281363
0.0,5.0,1,20,0.21104826437897906,2.4332704866012014,0.2962252177191551,3235.430743680841,9.542837945781955
0.0,5.25,1,21,0.22009756980285813,2.4306238855923317,0.2966174721772098,3239.0235569646347,9.366078636538981
0.0,5.5,1,22,0.2438603321330191,2.4438603321330192,0.2946608732664013,3243.482100361639,9.510699095000572
0.0,5.75,1,23,0.2556286951898342,2.446104885666025,0.2943303677083809,3246.909091998852,9.425880350285013
0.0,6.0,1,24,0.25277858912208545,2.434596770940267,0.2960288434048473,3248.9300787165566,9.078815038697709
0.0,6.25,1,25,0.24847076290698275,2.4223838063852434,0.29784206887085546,3250.633897462603,8.72879490263055
0.0,6.5,1,26,0.24522497824358006,2.4118916449102468,0.29940867809748556,3252.2823947838287,8.43883076542568
0.0,6.75,1,27,0.23614781353403458,2.396147813534035,0.3017748990948851,3251.8967887802805,8.047913739366642
0.0,7.0,1,28,0.2693905382466634,2.423236692092817,0.29771508332699165,3247.5184763983584,8.326547813816271
0.0,7.25,1,29,0.3171793016565602,2.4653274498047084,0.29151502671360957,3242.622780988715,8.769337756349495
0.0,7.5,1,30,0.3223963966800685,2.4652535395372115,0.2915257998894723,3240.102003688102,8.590300189401834
0.0,7.75,1,31,0.3120614619360724,2.449992496418831,0.2937588024429745,3240.4624767151554,8.254931650942794
0.0,8.0,1,32,0.3086231574524457,2.441956490785779,0.2949415005896549,3241.8024512714082,8.04339385618106
0.0,8.25,1,33,0.31009342047275623,2.4391256785372724,0.29535925817446423,3243.5813939218197,7.889568752319808
0.0,8.5,1,34,0.30670851681116523,2.4317085168111654,0.29645665550266015,3244.844807291534,7.687531055030775
0.0,8.75,1,35,0.2978987686721923,2.419110889884313,0.29832987400930483,3245.0819079171383,7.420730633034325
