Bin Midpoint,Prob
2895.5,0.0471
2908.5,0.1093
2913.5,0.0373
2917.5,0.1458
2922.5,0.1763
2923.5,0.101
2924.5,0.2002
2928.5,0.3629
2930.5,0.1828
2933.5,0.2043
2934.5,0.2154
2939.5,0.2538
2940.5,0.3319
2941.5,0.1759
2943.5,0.2088
2945.5,0.2075
2947.5,0.1922
2948.5,0.455
2950.5,0.3208
2951.5,0.0495
2953.5,0.1935
2954.5,0.1721
2955.5,0.4373
2956.5,0.1787
2957.5,0.1257
2960.5,0.0453
2961.5,0.1751
2962.5,0.5863
2964.5,0.1984
2965.5,0.1637
2968.5,0.1558
2969.5,0.348
2970.5,0.1946
2971.5,0.1158
2972.5,0.1979
2976.5,0.4281
2978.5,0.3758
2981.5,0.2322
2982.5,0.1464
2983.5,0.1222
2984.5,0.0945
2986.5,0.5103
2990.5,0.1739
2992.5,0.0997
2993.5,0.4074
2994.5,0.2322
2995.5,0.1619
2999.5,0.1595
3002.5,0.3877
3003.5,0.1546
3005.5,0.2942
3006.5,0.0447
3007.5,0.1463
3009.5,0.0439
3010.5,0.1798
3012.5,0.0822
3013.5,0.2911
3015.5,0.1547
3016.5,0.0376
3017.5,0.1224
3018.5,0.1604
3021.5,0.1544
3022.5,0.1433
3023.5,0.1526
3025.5,0.1987
3028.5,0.2354
3029.5,0.0868
3030.5,0.0442
3031.5,0.0714
3032.5,0.0365
3033.5,0.1234
3034.5,0.156
3035.5,0.0278
3036.5,0.136
3038.5,0.3309
3041.5,0.1391
3043.5,0.0445
3044.5,0.0313
3045.5,0.1377
3046.5,0.2803
3047.5,0.191
3049.5,0.0417
3050.5,0.0279
3051.5,0.1525
3052.5,0.0211
3053.5,0.0506
3054.5,0.1667
3055.5,0.0389
3057.5,0.1214
3059.5,0.3049
3060.5,0.171
3061.5,0.0874
3062.5,0.1025
3063.5,0.1202
3065.5,0.1149
3067.5,0.093
3068.5,0.032
3070.5,0.1427
3071.5,0.2035
3072.5,0.2018
3073.5,0.214
3074.5,0.0482
3075.5,0.0471
3076.5,0.0922
3078.5,0.069
3079.5,0.0828
3080.5,0.0442
3081.5,0.0985
3082.5,0.0815
3083.5,0.1612
3084.5,0.2679
3085.5,0.0347
3087.5,0.338
3088.5,0.0374
3089.5,0.0617
3090.5,0.0188
3092.5,0.1054
3093.5,0.1598
3094.5,0.1356
3095.5,0.0177
3096.5,0.264
3097.5,0.048
3098.5,0.1161
3099.5,0.0168
3100.5,0.0694
3101.5,0.4191
3102.5,0.0343
3103.5,0.0299
3106.5,0.1718
3107.5,0.356
3108.5,0.0942
3109.5,0.0301
3110.5,0.107
3111.5,0.0309
3112.5,0.2133
3114.5,0.338
3115.5,0.2117
3116.5,0.1005
3117.5,0.038
3118.5,0.0174
3119.5,0.1039
3120.5,0.2686
3121.5,0.2026
3122.5,0.131
3123.5,0.0408
3124.5,0.089
3125.5,0.124
3126.5,0.1169
3127.5,0.3934
3128.5,0.1161
3129.5,0.3414
3130.5,0.0825
3131.5,0.0418
3132.5,0.0236
3133.5,0.193
3134.5,0.2536
3135.5,0.263
3136.5,0.2216
3137.5,0.0727
3138.5,0.2323
3139.5,0.0824
3140.5,0.3395
3141.5,0.2439
3142.5,0.3748
3143.5,0.2324
3144.5,0.0733
3145.5,0.2215
3146.5,0.4658
3147.5,0.4308
3148.5,0.2454
3149.5,0.2973
3150.5,0.1802
3151.5,0.1964
3152.5,0.2216
3153.5,0.3237
3154.5,0.4995
3155.5,0.5818
3156.5,0.384
3157.5,0.0808
3158.5,0.2834
3159.5,0.5223
3160.5,0.1049
3161.5,0.3051
3162.5,0.6116
3163.5,0.6832
3164.5,0.318
3165.5,0.2594
3166.5,0.6347
3167.5,0.1519
3168.5,0.1991
3169.5,0.2099
3170.5,0.5371
3171.5,1.3804
3172.5,0.219
3173.5,0.1607
3174.5,0.5907
3175.5,0.4791
3176.5,0.212
3177.5,0.759
3178.5,0.9932
3179.5,0.2158
3180.5,0.4319
3181.5,0.7741
3182.5,0.6077
3183.5,0.5494
3184.5,0.4137
3185.5,1.2904
3186.5,0.4946
3187.5,0.7036
3188.5,1.0139
3189.5,0.3308
3190.5,0.8414
3191.5,0.8122
3192.5,2.2488
3193.5,0.7697
3194.5,1.3416
3195.5,1.5006
3196.5,0.8289
3197.5,1.1025
3198.5,0.8109
3199.5,1.0871
3200.5,2.7508
3201.5,1.3344
3202.5,0.8246
3203.5,0.1685
3204.5,1.043
3205.5,0.7335
3206.5,1.0137
3207.5,1.3203
3208.5,2.6766
3209.5,1.4435
3210.5,1.5656
3211.5,1.3859
3212.5,1.3424
3213.5,1.1177
3214.5,2.1515
3215.5,4.232
3216.5,2.6149
3217.5,2.3449
3218.5,1.6375
3219.5,3.1501
3220.5,2.8326
3221.5,3.7593
3222.5,4.3789
3223.5,1.8657
3224.5,5.3558
3225.5,2.518
3226.5,2.1859
3227.5,4.548
3228.5,3.3836
3229.5,3.346
3230.5,2.6134
3231.5,3.1773
3232.5,4.2581
3233.5,3.1301
3234.5,3.1739
3235.5,3.7102
3236.5,3.7022
3237.5,3.359
3238.5,5.3086
3239.5,4.6357
3240.5,6.5484
3241.5,6.8924
3242.5,5.2455
3243.5,8.6538
3244.5,9.9626
3245.5,8.757
3246.5,7.3628
3247.5,15.6622
3248.5,13.2518
3249.5,11.7161
3250.5,15.446
3251.5,18.5529
3252.5,12.5249
3253.5,18.0352
3254.5,13.953
3255.5,14.5391
3256.5,19.7747
3257.5,13.4215
3258.5,12.9617
3259.5,8.4519
3260.5,8.6149
3261.5,10.6425
3262.5,11.2318
3263.5,5.9776
3264.5,5.4613
3265.5,6.5941
3266.5,5.225
3267.5,3.3119
3268.5,4.1753
3269.5,3.0938
3270.5,1.6233
3271.5,2.1381
3272.5,2.2237
3273.5,0.8142
3274.5,0.97
3275.5,1.0613
3276.5,1.4739
3277.5,0.7501
3278.5,0.774
3279.5,1.2698
3280.5,0.9178
3281.5,1.1154
3282.5,1.8646
3283.5,1.802
3284.5,1.5861
3285.5,1.3536
3286.5,1.7303
3287.5,1.6597
3288.5,1.6153
3289.5,1.7875
3290.5,0.944
3291.5,0.6185
3292.5,0.8482
3293.5,0.9407
3294.5,0.1765
3295.5,0.1785
3297.5,0.4491
3298.5,0.4661
3300.5,0.2136
3302.5,0.0488
3304.5,0.2203
3305.5,0.133
3306.5,0.1863
3307.5,0.0493
3308.5,0.3222
3311.5,0.185
3312.5,0.0498
