Folder,Index,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
2011Aug_Ambient,FeNi_Ambient,bcc,0.0,0.0,23.731,0.022,7.991,0.007,146.7,3.1,146.7,3.1,4285.0,45.0
2012Apr_DAC11_P1,FeNi_DAC11_P1,bcc,3.78,0.05,23.078,0.031,8.217,0.011,170.5,1.2,170.5,1.2,4555.0,16.0
2012Apr_DAC11_P2,FeNi_DAC11_P2,bcc,8.08,0.03,22.542,0.02,8.412,0.008,196.3,1.7,196.3,1.7,4831.0,21.0
2012Apr_DAC11_P3,FeNi_DAC11_P3,hcp,17.96,0.06,20.587,0.018,9.211,0.008,251.0,2.4,254.4,2.6,5255.0,27.0
2012Apr_DAC11_P4,FeNi_DAC11_P4,hcp,22.79,0.17,20.211,0.03,9.383,0.014,274.1,2.1,277.5,2.3,5438.0,23.0
2012Apr_DAC11_P5,FeNi_DAC11_P5,hcp,40.74,1.23,19.088,0.059,9.934,0.031,356.5,1.2,359.6,1.3,6017.0,14.0
2012Apr_DAC11_P6,FeNi_DAC11_P6,hcp,47.92,0.6,18.724,0.037,10.128,0.02,388.3,1.0,391.3,1.1,6216.0,11.0
2012Apr_DAC11_P7,FeNi_DAC11_P7,hcp,62.96,0.78,18.066,0.035,10.497,0.02,453.1,1.0,455.9,1.1,6590.0,10.0
2012Apr_DAC11_P8,FeNi_DAC11_P8,hcp,75.34,0.43,17.604,0.022,10.772,0.014,504.3,1.5,507.0,1.5,6861.0,11.0
2012Apr_DAC11_P9,FeNi_DAC11_P9,hcp,83.46,0.78,17.332,0.028,10.941,0.018,537.8,1.9,540.5,1.9,7029.0,14.0
2012Oct_DAC11_P14,FeNi_DAC11_P14,hcp,104.1,2.66,16.724,0.044,11.339,0.03,620.1,2.9,622.6,3.0,7410.0,20.0
2013Feb_DAC14_P1,FeNi_DAC14_P1,bcc,1.68,0.04,23.375,0.029,8.113,0.01,157.5,2.1,157.5,2.1,4406.0,29.0
2013Feb_DAC14_P2,FeNi_DAC14_P2,bcc,4.52,0.05,22.979,0.029,8.252,0.01,174.8,1.0,174.8,1.0,4602.0,13.0
2015Mar_Ambient,FeNi_Ambient,bcc,0.0,0.0,23.731,0.022,7.991,0.007,146.7,3.1,146.7,3.1,4285.0,45.0
