Folder,Index,Emin start,Emin end,Step size,Emax start,Emax end
2011Aug_Ambient,FeNi_Ambient,0,18,0.25,0,18
2012Apr_DAC11_P1,FeNi_DAC11_P1,0,20,0.25,0,20
2012Apr_DAC11_P2,FeNi_DAC11_P2,0,22,0.25,0,22
2012Apr_DAC11_P3,FeNi_DAC11_P3,0,20,0.25,0,20
2012Apr_DAC11_P4,FeNi_DAC11_P4,0,20,0.25,0,20
2012Apr_DAC11_P5,FeNi_DAC11_P5,0,22,0.25,0,22
2012Apr_DAC11_P6,FeNi_DAC11_P6,0,23,0.25,0,23
2012Apr_DAC11_P7,FeNi_DAC11_P7,0,24,0.25,0,24
2012Apr_DAC11_P8,FeNi_DAC11_P8,0,25,0.25,0,25
2012Apr_DAC11_P9,FeNi_DAC11_P9,0,27,0.25,0,27
2012Oct_DAC11_P14,FeNi_DAC11_P14,0,29,0.25,0,29
2013Feb_DAC14_P1,FeNi_DAC14_P1,0,19,0.25,0,19
2013Feb_DAC14_P2,FeNi_DAC14_P2,0,19,0.25,0,19
2015Mar_Ambient,FeNi_Ambient,0,18,0.25,0,18
