Bin Midpoint,Prob
2841.5,0.0355
2842.5,0.0659
2843.5,0.0172
2844.5,0.0062
2850.5,0.0551
2852.5,0.0874
2855.5,0.0831
2858.5,0.0609
2859.5,0.0046
2860.5,0.0526
2862.5,0.1545
2864.5,0.0608
2865.5,0.0543
2866.5,0.0272
2867.5,0.1056
2868.5,0.0478
2869.5,0.0521
2870.5,0.019
2871.5,0.0558
2872.5,0.0323
2873.5,0.0104
2874.5,0.0878
2878.5,0.0852
2879.5,0.1153
2880.5,0.045
2881.5,0.0179
2882.5,0.0209
2883.5,0.0478
2886.5,0.1139
2887.5,0.0139
2890.5,0.0565
2891.5,0.1035
2892.5,0.0576
2893.5,0.0002
2895.5,0.0076
2896.5,0.0376
2897.5,0.16
2898.5,0.0174
2900.5,0.1043
2901.5,0.0492
2902.5,0.083
2904.5,0.0431
2906.5,0.0353
2907.5,0.0752
2908.5,0.031
2909.5,0.0211
2910.5,0.0742
2911.5,0.0487
2912.5,0.039
2913.5,0.0443
2914.5,0.0085
2915.5,0.0126
2916.5,0.0261
2917.5,0.0175
2918.5,0.063
2920.5,0.0608
2921.5,0.0123
2922.5,0.0097
2923.5,0.0343
2924.5,0.0367
2925.5,0.0245
2926.5,0.0291
2927.5,0.0224
2928.5,0.0291
2929.5,0.0105
2930.5,0.0591
2931.5,0.0462
2932.5,0.0844
2933.5,0.0198
2934.5,0.0074
2935.5,0.0568
2936.5,0.0212
2937.5,0.0485
2938.5,0.0117
2939.5,0.0908
2940.5,0.0127
2941.5,0.0197
2942.5,0.0357
2944.5,0.0961
2946.5,0.0208
2947.5,0.0322
2948.5,0.0302
2949.5,0.073
2950.5,0.0069
2951.5,0.1231
2952.5,0.0454
2953.5,0.0206
2954.5,0.0084
2956.5,0.0428
2957.5,0.008
2958.5,0.0213
2960.5,0.0183
2961.5,0.0192
2963.5,0.0172
2964.5,0.0311
2965.5,0.0305
2966.5,0.0692
2967.5,0.0067
2968.5,0.035
2969.5,0.0281
2970.5,0.0749
2972.5,0.0201
2973.5,0.0048
2974.5,0.0748
2975.5,0.065
2976.5,0.0481
2977.5,0.018
2978.5,0.0082
2980.5,0.0158
2981.5,0.0173
2982.5,0.0088
2983.5,0.0107
2984.5,0.0242
2985.5,0.0015
2986.5,0.0037
2987.5,0.0055
2988.5,0.014
2989.5,0.0068
2990.5,0.0011
2991.5,0.0535
2992.5,0.0101
2993.5,0.0698
2994.5,0.0145
2995.5,0.0112
2996.5,0.0095
2997.5,0.0172
2998.5,0.0138
2999.5,0.0267
3000.5,0.0017
3001.5,0.0691
3002.5,0.0761
3003.5,0.0614
3004.5,0.0256
3005.5,0.006
3006.5,0.0676
3007.5,0.0063
3008.5,0.0136
3009.5,0.0524
3010.5,0.0231
3011.5,0.0381
3012.5,0.0298
3013.5,0.0022
3014.5,0.0054
3015.5,0.0065
3016.5,0.0045
3017.5,0.0032
3018.5,0.0075
3019.5,0.0719
3020.5,0.0116
3021.5,0.0107
3022.5,0.0178
3023.5,0.0152
3024.5,0.0059
3025.5,0.0678
3026.5,0.0065
3027.5,0.0193
3028.5,0.0036
3029.5,0.0076
3030.5,0.0353
3031.5,0.0029
3032.5,0.0314
3033.5,0.006
3034.5,0.0177
3035.5,0.0034
3036.5,0.0184
3037.5,0.0347
3038.5,0.0052
3039.5,0.006
3040.5,0.0031
3041.5,0.0064
3042.5,0.0649
3043.5,0.0071
3044.5,0.0034
3045.5,0.0063
3046.5,0.0281
3047.5,0.0448
3048.5,0.0093
3049.5,0.0172
3050.5,0.0434
3051.5,0.0607
3052.5,0.003
3053.5,0.0633
3054.5,0.0072
3055.5,0.0013
3056.5,0.0655
3057.5,0.0031
3058.5,0.0062
3059.5,0.009
3060.5,0.0036
3061.5,0.0047
3062.5,0.0256
3063.5,0.0099
3064.5,0.0127
3065.5,0.0364
3066.5,0.0152
3067.5,0.0052
3069.5,0.0773
3070.5,0.0895
3071.5,0.0027
3073.5,0.023
3074.5,0.0021
3075.5,0.0044
3076.5,0.0005
3077.5,0.0026
3078.5,0.0035
3079.5,0.0303
3080.5,0.0137
3081.5,0.0006
3082.5,0.0052
3083.5,0.0009
3084.5,0.0058
3085.5,0.04
3086.5,0.0079
3087.5,0.0205
3088.5,0.0009
3089.5,0.0097
3090.5,0.0035
3091.5,0.0006
3092.5,0.065
3093.5,0.0572
3094.5,0.0027
3095.5,0.0172
3096.5,0.0224
3097.5,0.0327
3098.5,0.0488
3099.5,0.003
3100.5,0.004
3101.5,0.001
3102.5,0.0029
3104.5,0.0207
3105.5,0.0189
3106.5,0.0566
3107.5,0.0179
3108.5,0.0185
3109.5,0.0615
3110.5,0.003
3111.5,0.0227
3112.5,0.009
3113.5,0.007
3114.5,0.0042
3116.5,0.0007
3117.5,0.0048
3118.5,0.0066
3119.5,0.0399
3120.5,0.0006
3121.5,0.0807
3122.5,0.08
3123.5,0.0003
3124.5,0.0012
3125.5,0.0043
3126.5,0.0329
3128.5,0.0361
3130.5,0.0471
3131.5,0.0018
3132.5,0.0006
3133.5,0.0003
3134.5,0.0143
3135.5,0.0466
3136.5,0.0015
3138.5,0.0233
3140.5,0.0018
3141.5,0.0014
3142.5,0.0058
3143.5,0.0012
3144.5,0.0416
3145.5,0.0088
3146.5,0.0003
3147.5,0.004
3148.5,0.0843
3149.5,0.0438
3150.5,0.0532
3151.5,0.0004
3152.5,0.0009
3153.5,0.0096
3154.5,0.0689
3155.5,0.0008
3157.5,0.0042
3158.5,0.0024
3159.5,0.0279
3160.5,0.0221
3161.5,0.0003
3164.5,0.0647
3165.5,0.0018
3166.5,0.0241
3167.5,0.0024
3168.5,0.0574
