Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,1.0,2,4,0.027339145733768236,16.02733914573377,0.00033090819655070896,4679.670359020222,inf
0.0,1.25,2,5,0.10851050972702503,10.108510509727026,0.006382118044239422,4868.527914982953,inf
0.0,1.5,2,6,0.1883619193846937,8.188361919384693,0.016669393598556296,5026.413927559958,inf
0.0,1.75,2,7,0.2393409254869816,7.239340925486982,0.026791503836761033,5179.890016232748,inf
0.0,2.0,2,8,0.25926082439169124,6.659260824391691,0.035806336207644514,5343.657938257071,inf
0.0,2.25,2,9,0.2493103407519015,6.249310340751902,0.04395208699222573,5471.356872628177,inf
0.0,2.5,2,10,0.2244800377388133,5.938765752024528,0.0513349806066132,5525.835572740357,inf
0.0,2.75,2,11,0.19970601282341147,5.699706012823412,0.05785282424408136,5533.855820844312,inf
0.0,3.0,2,12,0.18046674880125288,5.513800082134586,0.06348827466570882,5518.692270297695,inf
0.0,3.25,2,13,0.164405827428295,5.364405827428295,0.0684122816822383,5527.848101403263,inf
0.0,3.5,2,14,0.15359910020856662,5.244508191117657,0.07263894303251277,5550.113130576399,inf
0.0,3.75,2,15,0.1455809212796941,5.145580921279694,0.07632227369842434,5525.398562689195,inf
0.0,4.0,2,16,0.15990690242778377,5.082983825504707,0.07874882573002331,5460.10668535916,inf
0.0,4.25,2,17,0.15569162545730358,5.0128344826001605,0.08155992594158007,5430.613225476706,inf
0.0,4.5,2,18,0.14835580631567313,4.948355806315673,0.08423220883411622,5415.994648968015,inf
0.0,4.75,2,19,0.17781489158649344,4.927814891586493,0.08510176989497846,5360.360039182764,inf
0.0,5.0,2,20,0.27880236377342676,4.984684716714604,0.08271598899325723,5267.862498271759,inf
0.0,5.25,2,21,0.3577143911126359,5.024381057779303,0.08109041365217487,5189.035709567248,inf
0.0,5.5,2,22,0.35908620199967695,4.990665149368098,0.08246901972228046,5160.107132709812,inf
