Bin Midpoint,Prob
3363.5,0.0003
3365.5,0.0066
3375.5,0.0231
3381.5,0.028
3382.5,0.0543
3383.5,0.1123
3389.5,0.1496
3390.5,0.1311
3394.5,0.0743
3396.5,0.0435
3398.5,0.0538
3399.5,0.0003
3400.5,0.0475
3402.5,0.0279
3403.5,0.0581
3407.5,0.0415
3408.5,0.0534
3409.5,0.0172
3410.5,0.0003
3411.5,0.0481
3412.5,0.1132
3413.5,0.0063
3414.5,0.0342
3418.5,0.1223
3420.5,0.1129
3421.5,0.0482
3422.5,0.0257
3426.5,0.038
3427.5,0.0514
3428.5,0.1213
3429.5,0.0554
3431.5,0.0989
3434.5,0.0316
3436.5,0.1042
3437.5,0.0927
3438.5,0.098
3440.5,0.0461
3442.5,0.0231
3444.5,0.1051
3445.5,0.0601
3446.5,0.0865
3447.5,0.0422
3449.5,0.0488
3450.5,0.0443
3451.5,0.0509
3452.5,0.1003
3453.5,0.0455
3454.5,0.0782
3457.5,0.0814
3458.5,0.1073
3459.5,0.1483
3462.5,0.0894
3464.5,0.0116
3465.5,0.0971
3466.5,0.0821
3467.5,0.0904
3468.5,0.1237
3471.5,0.0265
3472.5,0.177
3473.5,0.0956
3476.5,0.0439
3477.5,0.1675
3478.5,0.1439
3479.5,0.0463
3481.5,0.0483
3483.5,0.1475
3484.5,0.0463
3485.5,0.0543
3486.5,0.0796
3487.5,0.1718
3488.5,0.0383
3489.5,0.0785
3490.5,0.044
3491.5,0.1069
3493.5,0.0303
3495.5,0.0735
3496.5,0.1586
3497.5,0.1203
3499.5,0.0334
3500.5,0.0862
3501.5,0.0602
3502.5,0.0422
3503.5,0.0945
3504.5,0.0362
3505.5,0.0969
3506.5,0.0271
3508.5,0.0993
3509.5,0.1083
3510.5,0.067
3511.5,0.028
3512.5,0.0227
3513.5,0.0887
3514.5,0.029
3515.5,0.1181
3517.5,0.1109
3519.5,0.0979
3521.5,0.0911
3522.5,0.112
3523.5,0.0251
3524.5,0.085
3526.5,0.0753
3527.5,0.0524
3528.5,0.0337
3529.5,0.0466
3530.5,0.0634
3532.5,0.0651
3533.5,0.0403
3534.5,0.1104
3535.5,0.0527
3536.5,0.0695
3537.5,0.0641
3538.5,0.0134
3539.5,0.0605
3540.5,0.0554
3541.5,0.0683
3542.5,0.0566
3543.5,0.0383
3544.5,0.0265
3545.5,0.0441
3546.5,0.0868
3547.5,0.0296
3548.5,0.0488
3549.5,0.1173
3550.5,0.0188
3551.5,0.0321
3553.5,0.0885
3554.5,0.0681
3555.5,0.065
3556.5,0.0228
3557.5,0.0619
3558.5,0.1248
3559.5,0.0595
3560.5,0.008
3561.5,0.0198
3562.5,0.0638
3563.5,0.0766
3564.5,0.0844
3565.5,0.0003
3566.5,0.0601
3567.5,0.0218
3568.5,0.0785
3569.5,0.0067
3570.5,0.0721
3571.5,0.076
3572.5,0.0172
3573.5,0.0522
3574.5,0.0432
3575.5,0.0325
3576.5,0.0508
3577.5,0.0058
3578.5,0.0365
3579.5,0.0707
3580.5,0.0549
3581.5,0.042
3582.5,0.054
3583.5,0.0221
3584.5,0.0631
3585.5,0.0168
3586.5,0.0813
3587.5,0.0114
3588.5,0.0192
3589.5,0.0288
3590.5,0.0171
3591.5,0.0587
3592.5,0.067
3593.5,0.0417
3594.5,0.0276
3595.5,0.0211
3596.5,0.0733
3597.5,0.0644
3598.5,0.0357
3599.5,0.0267
3600.5,0.0223
3601.5,0.0117
3602.5,0.0223
3603.5,0.0251
3604.5,0.0841
3605.5,0.0118
3606.5,0.0747
3607.5,0.0562
3608.5,0.0256
3609.5,0.0542
3610.5,0.0497
3611.5,0.0743
3612.5,0.0243
3613.5,0.0101
3614.5,0.0428
3615.5,0.0045
3616.5,0.0314
3617.5,0.032
3618.5,0.0151
3619.5,0.0599
3620.5,0.0393
3621.5,0.0116
3622.5,0.0137
3623.5,0.0627
3624.5,0.0479
3625.5,0.0026
3626.5,0.0498
3627.5,0.0112
3629.5,0.0228
3630.5,0.0132
3631.5,0.0432
3632.5,0.0126
3633.5,0.0037
3634.5,0.0417
3635.5,0.0737
3636.5,0.0397
3637.5,0.0203
3638.5,0.0961
3639.5,0.0118
3640.5,0.0148
3641.5,0.0172
3642.5,0.0071
3643.5,0.062
3644.5,0.1227
3645.5,0.0509
3646.5,0.0136
3647.5,0.0127
3648.5,0.0096
3649.5,0.0854
3650.5,0.0354
3651.5,0.0178
3652.5,0.1175
3653.5,0.0318
3654.5,0.0038
3655.5,0.0363
3656.5,0.0104
3657.5,0.0225
3658.5,0.035
3659.5,0.0132
3660.5,0.0145
3661.5,0.0565
3662.5,0.0493
3663.5,0.0432
3664.5,0.0118
3665.5,0.0085
3666.5,0.066
3667.5,0.0359
3668.5,0.0838
3669.5,0.0188
3670.5,0.0064
3671.5,0.0087
3672.5,0.0125
3673.5,0.0216
3674.5,0.0092
3675.5,0.0077
3676.5,0.0097
3677.5,0.008
3678.5,0.0289
3679.5,0.0016
3680.5,0.0061
3681.5,0.0621
3682.5,0.0021
3683.5,0.0586
3684.5,0.0041
3685.5,0.0179
3686.5,0.0021
3687.5,0.0359
3688.5,0.0069
3689.5,0.007
3690.5,0.0029
3691.5,0.0167
3692.5,0.0408
3693.5,0.0052
3694.5,0.0073
3695.5,0.0027
3696.5,0.0312
3697.5,0.0498
3698.5,0.0157
3699.5,0.0323
3700.5,0.002
3701.5,0.0713
3702.5,0.0585
3703.5,0.0493
3704.5,0.0186
3705.5,0.006
3706.5,0.0161
3707.5,0.0299
3708.5,0.0049
3709.5,0.0547
3710.5,0.0502
3711.5,0.0307
3712.5,0.0297
3713.5,0.0353
3714.5,0.007
3715.5,0.0279
3716.5,0.0046
3717.5,0.0052
3718.5,0.0036
3719.5,0.0335
3720.5,0.0697
3721.5,0.0071
3722.5,0.0032
3723.5,0.0189
3724.5,0.0032
3725.5,0.0063
3726.5,0.0016
3727.5,0.0017
3728.5,0.0372
3729.5,0.0065
3730.5,0.0037
3731.5,0.0014
3732.5,0.0479
3733.5,0.0073
3734.5,0.0014
3735.5,0.0095
3736.5,0.004
3737.5,0.0547
3738.5,0.0023
3739.5,0.0026
3741.5,0.0068
3742.5,0.0122
3743.5,0.0024
3744.5,0.0116
3745.5,0.0012
3746.5,0.0027
3747.5,0.0474
3748.5,0.0065
3749.5,0.0316
3750.5,0.07
3751.5,0.0985
3752.5,0.0044
3753.5,0.0021
3754.5,0.0067
3755.5,0.0565
3756.5,0.0264
3757.5,0.001
3758.5,0.0299
3759.5,0.0034
3760.5,0.0071
3761.5,0.0022
3762.5,0.012
3763.5,0.0364
3764.5,0.0017
3765.5,0.0084
3766.5,0.046
3768.5,0.0225
3769.5,0.0127
3770.5,0.0104
3771.5,0.0632
3772.5,0.0019
3773.5,0.0213
3774.5,0.0011
3775.5,0.0453
3776.5,0.0032
3777.5,0.0109
3778.5,0.0065
3781.5,0.0614
3782.5,0.0008
3783.5,0.015
3784.5,0.0054
3785.5,0.0097
3787.5,0.0038
3789.5,0.0124
3790.5,0.0255
3791.5,0.0011
3792.5,0.0168
3793.5,0.0006
3794.5,0.086
3795.5,0.0762
3796.5,0.0013
3797.5,0.0329
3798.5,0.0007
3800.5,0.0086
3802.5,0.0125
3803.5,0.0008
3804.5,0.0309
3806.5,0.029
3807.5,0.0073
3809.5,0.0298
3810.5,0.0761
3812.5,0.0038
3813.5,0.0022
3814.5,0.0345
3815.5,0.0548
3816.5,0.0139
3817.5,0.0219
3818.5,0.0112
3819.5,0.0028
3820.5,0.016
3822.5,0.0125
3823.5,0.0761
3824.5,0.0356
3825.5,0.008
3826.5,0.0166
3827.5,0.0036
3828.5,0.0009
3830.5,0.0053
3831.5,0.0241
3833.5,0.0061
3834.5,0.0434
3835.5,0.005
3836.5,0.0642
3837.5,0.0033
3838.5,0.0162
3840.5,0.0286
3842.5,0.0013
3844.5,0.0221
3845.5,0.0136
3846.5,0.0018
3847.5,0.009
3848.5,0.0023
3849.5,0.0075
3851.5,0.0455
3852.5,0.0142
3853.5,0.0126
3855.5,0.0183
3856.5,0.0232
3857.5,0.0114
3858.5,0.0443
3859.5,0.0006
3860.5,0.0406
3861.5,0.0146
3864.5,0.0501
3865.5,0.0025
3866.5,0.0143
3867.5,0.0014
3868.5,0.0276
3869.5,0.01
3870.5,0.0037
3871.5,0.0524
3873.5,0.0078
3874.5,0.0411
3875.5,0.0522
3876.5,0.0152
3877.5,0.0084
3878.5,0.002
3879.5,0.0284
3880.5,0.0053
3881.5,0.0006
3882.5,0.0175
3883.5,0.0235
3885.5,0.0053
3886.5,0.0476
3887.5,0.0126
3889.5,0.0059
3891.5,0.0118
3893.5,0.0151
3894.5,0.0257
3895.5,0.0632
3896.5,0.018
3897.5,0.0079
3899.5,0.0145
3900.5,0.0069
3902.5,0.0009
3903.5,0.0389
3904.5,0.0056
3905.5,0.0139
3906.5,0.01
3907.5,0.0515
3908.5,0.0058
3909.5,0.0249
3910.5,0.0607
3911.5,0.0025
3912.5,0.0011
3913.5,0.0063
3915.5,0.0138
3916.5,0.0201
3917.5,0.0419
3918.5,0.0647
3919.5,0.0007
3920.5,0.0089
3921.5,0.0548
3922.5,0.0043
3924.5,0.0031
3925.5,0.0027
3927.5,0.0249
3928.5,0.011
3929.5,0.0205
3930.5,0.02
3931.5,0.0125
3932.5,0.0013
3933.5,0.0015
3934.5,0.0097
3937.5,0.0108
3938.5,0.0544
3939.5,0.0375
3940.5,0.0183
3941.5,0.0064
3942.5,0.0149
3943.5,0.0299
3944.5,0.0015
3945.5,0.0151
3946.5,0.0782
3948.5,0.0114
3949.5,0.0002
3950.5,0.0127
3952.5,0.0005
3953.5,0.0156
3954.5,0.0039
3955.5,0.0208
3956.5,0.0014
3957.5,0.0266
3959.5,0.0094
3960.5,0.0186
3961.5,0.0993
3963.5,0.0251
3964.5,0.0017
3965.5,0.0234
3966.5,0.055
3967.5,0.0038
3969.5,0.0008
3970.5,0.0598
3971.5,0.003
3973.5,0.0005
3974.5,0.0046
3975.5,0.013
3976.5,0.0135
3978.5,0.0461
3979.5,0.0177
3980.5,0.0592
3981.5,0.0017
3982.5,0.035
3983.5,0.0009
3984.5,0.0039
3985.5,0.0027
3986.5,0.0822
3987.5,0.0023
3988.5,0.0005
3991.5,0.006
3992.5,0.0265
3993.5,0.0296
3994.5,0.0125
3995.5,0.0441
3996.5,0.0158
3997.5,0.0016
3998.5,0.0011
3999.5,0.0005
4000.5,0.0217
4001.5,0.0387
4003.5,0.0033
4004.5,0.0556
4006.5,0.0026
4007.5,0.0066
4008.5,0.0015
4009.5,0.0751
4010.5,0.0292
4011.5,0.068
4012.5,0.0373
4013.5,0.0266
4014.5,0.0001
4015.5,0.0057
4016.5,0.0228
4017.5,0.003
4018.5,0.0004
4019.5,0.0005
4020.5,0.0043
4021.5,0.0009
4022.5,0.0457
4023.5,0.0422
4024.5,0.0091
4025.5,0.0465
4027.5,0.0179
4028.5,0.025
4029.5,0.0009
4030.5,0.0543
4031.5,0.0087
4032.5,0.001
4033.5,0.0078
4035.5,0.0653
4036.5,0.0033
4037.5,0.0053
4038.5,0.0078
4039.5,0.0009
4040.5,0.0869
4041.5,0.0015
4042.5,0.0032
4043.5,0.0023
4045.5,0.0349
4046.5,0.001
4047.5,0.0314
4048.5,0.0477
4049.5,0.012
4050.5,0.0087
4051.5,0.0004
4052.5,0.0134
4053.5,0.0267
4054.5,0.0054
4055.5,0.0398
4056.5,0.0791
4057.5,0.0413
4058.5,0.0007
4059.5,0.0493
4060.5,0.0127
4061.5,0.002
4063.5,0.0507
4064.5,0.0004
4065.5,0.0268
4066.5,0.0566
4067.5,0.0022
4068.5,0.0004
4069.5,0.0397
4070.5,0.0306
4071.5,0.0203
4072.5,0.0029
4073.5,0.0203
4074.5,0.0257
4075.5,0.0012
4076.5,0.0397
4077.5,0.0063
4079.5,0.0305
4080.5,0.0004
4081.5,0.0168
4082.5,0.0314
4083.5,0.0008
4084.5,0.0473
4085.5,0.0009
4086.5,0.0374
4087.5,0.0269
4088.5,0.0456
4089.5,0.0144
4090.5,0.0102
4091.5,0.0397
4092.5,0.0008
4093.5,0.005
