Bin Midpoint,Prob
2958.5,0.0486
2972.5,0.1091
2978.5,0.0375
2985.5,0.1344
2992.5,0.1593
2993.5,0.0928
3000.5,0.3008
3009.5,0.3175
3011.5,0.0381
3015.5,0.1702
3016.5,0.1111
3018.5,0.1595
3021.5,0.1747
3024.5,0.3222
3027.5,0.175
3029.5,0.1795
3030.5,0.385
3031.5,0.1931
3032.5,0.2096
3033.5,0.2201
3035.5,0.183
3036.5,0.2064
3037.5,0.2143
3038.5,0.5871
3039.5,0.4282
3040.5,0.1755
3043.5,0.6301
3044.5,0.0442
3045.5,0.0476
3046.5,0.4267
3047.5,0.4151
3048.5,0.6696
3049.5,0.5781
3050.5,0.2235
3051.5,0.2041
3052.5,0.6714
3053.5,0.1243
3054.5,0.2225
3055.5,0.7404
3056.5,0.6877
3057.5,0.3406
3058.5,0.7712
3059.5,0.5295
3060.5,1.4739
3061.5,1.0845
3062.5,1.1569
3063.5,0.7055
3064.5,0.4001
3065.5,2.5756
3066.5,1.0627
3067.5,0.5328
3068.5,0.7747
3069.5,1.4971
3070.5,1.6008
3071.5,1.3328
3072.5,0.9216
3073.5,0.9294
3074.5,1.2879
3075.5,0.9782
3076.5,1.1516
3077.5,1.6684
3078.5,0.8976
3079.5,1.3787
3080.5,1.626
3081.5,1.0072
3082.5,0.5531
3083.5,0.886
3084.5,1.449
3085.5,0.4846
3086.5,1.0808
3087.5,1.4633
3088.5,0.9105
3089.5,0.9546
3090.5,0.8978
3091.5,1.4144
3092.5,0.306
3093.5,1.3584
3094.5,1.674
3095.5,0.6496
3096.5,2.3662
3097.5,1.1512
3098.5,1.815
3099.5,1.1606
3100.5,1.7458
3101.5,1.4918
3102.5,1.9777
3103.5,1.0393
3104.5,0.9837
3105.5,2.5038
3106.5,1.111
3107.5,2.2277
3108.5,1.2557
3109.5,1.0096
3110.5,2.1531
3111.5,1.1147
3112.5,1.7245
3113.5,2.0752
3114.5,1.3742
3115.5,0.9311
3116.5,1.818
3117.5,0.6382
3118.5,2.4744
3119.5,2.3472
3120.5,1.1028
3121.5,2.4177
3122.5,1.4365
3123.5,1.1918
3124.5,1.7413
3125.5,2.374
3126.5,1.8014
3127.5,1.632
3128.5,2.4685
3129.5,2.2583
3130.5,1.8351
3131.5,1.2822
3132.5,3.6774
3133.5,1.527
3134.5,2.8018
3135.5,1.8213
3136.5,2.9443
3137.5,3.9364
3138.5,2.3008
3139.5,1.828
3140.5,3.0481
3141.5,2.72
3142.5,1.7316
3143.5,4.7492
3144.5,2.7573
3145.5,3.7234
3146.5,2.1057
3147.5,2.0059
3148.5,2.5203
3149.5,4.1301
3150.5,2.3932
3151.5,2.128
3152.5,3.3172
3153.5,1.8456
3154.5,2.5955
3155.5,4.581
3156.5,1.8759
3157.5,2.3966
3158.5,3.7479
3159.5,3.5592
3160.5,3.393
3161.5,2.7308
3162.5,3.2184
3163.5,3.1009
3164.5,2.9567
3165.5,3.7225
3166.5,2.6666
3167.5,2.1927
3168.5,2.9819
3169.5,4.1974
3170.5,2.8638
3171.5,3.527
3172.5,3.6657
3173.5,4.1708
3174.5,2.2725
3175.5,2.9349
3176.5,3.1351
3177.5,2.9237
3178.5,2.8616
3179.5,3.46
3180.5,3.7722
3181.5,3.1787
3182.5,3.5586
3183.5,2.1693
3184.5,2.0705
3185.5,2.6373
3186.5,2.6887
3187.5,4.3495
3188.5,4.1336
3189.5,1.4
3190.5,2.9778
3191.5,3.6628
3192.5,3.1127
3193.5,2.464
3194.5,3.9957
3195.5,3.6824
3196.5,4.023
3197.5,3.7031
3198.5,2.5988
3199.5,4.5734
3200.5,2.6634
3201.5,4.9097
3202.5,3.7646
3203.5,4.2993
3204.5,4.2901
3205.5,2.7001
3206.5,4.8349
3207.5,2.7154
3208.5,3.9331
3209.5,5.4626
3210.5,4.4503
3211.5,3.7512
3212.5,3.2322
3213.5,4.3051
3214.5,2.232
3215.5,2.7531
3216.5,3.0987
3217.5,3.3388
3218.5,1.9145
3219.5,4.4055
3220.5,3.7895
3221.5,5.4835
3222.5,4.4594
3223.5,7.0746
3224.5,2.7772
3225.5,4.952
3226.5,4.876
3227.5,4.1894
3228.5,2.653
3229.5,6.4099
3230.5,5.2656
3231.5,5.2135
3232.5,6.3237
3233.5,7.824
3234.5,7.5752
3235.5,7.7535
3236.5,10.5087
3237.5,7.1303
3238.5,14.5619
3239.5,9.3744
3240.5,11.9578
3241.5,11.8224
3242.5,6.2348
3243.5,6.091
3244.5,7.1039
3245.5,8.3587
3246.5,5.7077
3247.5,6.8391
3248.5,3.515
3249.5,2.8396
3250.5,2.888
3251.5,3.3526
3252.5,2.1532
3253.5,1.5749
3254.5,1.7592
3255.5,2.1924
3256.5,2.0363
3257.5,1.296
3258.5,1.1796
3259.5,0.4615
3260.5,0.2536
3261.5,0.5944
3262.5,0.7211
3263.5,0.3403
3264.5,0.1832
3265.5,0.6439
3266.5,0.1822
3267.5,0.4345
3268.5,0.6291
3269.5,0.2329
3270.5,0.3139
3271.5,1.0137
3272.5,0.8726
3275.5,0.3957
3276.5,0.615
3277.5,0.2329
3278.5,0.0959
3279.5,0.2327
3280.5,0.7345
3282.5,0.7537
3283.5,0.2119
3284.5,0.53
3285.5,0.302
3286.5,0.049
3287.5,0.4581
3290.5,0.2684
3291.5,0.3717
3292.5,0.185
3293.5,0.3177
3294.5,0.1318
3297.5,0.1827
3300.5,0.0488
3301.5,0.049
3337.5,0.0498
