Bin Midpoint,Prob
3411.5,0.0447
3429.5,0.1046
3447.5,0.0407
3452.5,0.1069
3473.5,0.0821
3474.5,0.0999
3487.5,0.1112
3496.5,0.2166
3498.5,0.0327
3508.5,0.1181
3509.5,0.1146
3516.5,0.1362
3522.5,0.1873
3529.5,0.1334
3530.5,0.112
3531.5,0.1215
3538.5,0.2659
3542.5,0.1292
3549.5,0.1051
3550.5,0.1368
3551.5,0.1559
3555.5,0.0375
3557.5,0.1415
3559.5,0.1115
3561.5,0.0933
3563.5,0.162
3564.5,0.1562
3568.5,0.1322
3570.5,0.1681
3572.5,0.0842
3575.5,0.179
3577.5,0.1757
3580.5,0.1189
3581.5,0.2586
3583.5,0.0485
3587.5,0.1868
3588.5,0.1666
3591.5,0.1804
3592.5,0.2038
3593.5,0.1728
3596.5,0.0426
3597.5,0.2149
3598.5,0.122
3599.5,0.1518
3600.5,0.1671
3604.5,0.1936
3607.5,0.2173
3608.5,0.2064
3610.5,0.4574
3612.5,0.2329
3613.5,0.3074
3616.5,0.1618
3617.5,0.0561
3618.5,0.219
3619.5,0.2776
3620.5,0.1323
3621.5,0.1946
3622.5,0.2272
3627.5,0.049
3628.5,0.0809
3629.5,0.3425
3630.5,0.1778
3631.5,0.1636
3633.5,0.2003
3634.5,0.3853
3636.5,0.1178
3638.5,0.1159
3639.5,0.1691
3641.5,0.2062
3644.5,0.2004
3645.5,0.0382
3646.5,0.0666
3647.5,0.542
3648.5,0.3416
3652.5,0.2334
3654.5,0.1923
3655.5,0.1593
3657.5,0.1504
3659.5,0.2232
3661.5,0.3677
3662.5,0.1916
3663.5,0.2264
3664.5,0.2113
3665.5,0.09
3666.5,0.1414
3669.5,0.185
3670.5,0.0362
3671.5,0.2346
3672.5,0.1737
3673.5,0.1935
3674.5,0.1332
3675.5,0.2668
3677.5,0.0337
3678.5,0.0494
3679.5,0.1805
3680.5,0.155
3681.5,0.3406
3683.5,0.1228
3684.5,0.4483
3688.5,0.2472
3689.5,0.3296
3690.5,0.2369
3691.5,0.0279
3693.5,0.1933
3694.5,0.2786
3695.5,0.0474
