Bin Midpoint,Prob
2984.5,0.0003
2985.5,0.0062
2992.5,0.0216
2993.5,0.0429
2994.5,0.027
2995.5,0.0424
2996.5,0.0365
2997.5,0.0264
2998.5,0.045
2999.5,0.0157
3001.5,0.0513
3003.5,0.0003
3004.5,0.0395
3005.5,0.0468
3006.5,0.0372
3007.5,0.0526
3008.5,0.0441
3009.5,0.0798
3013.5,0.1437
3014.5,0.0502
3015.5,0.0324
3016.5,0.0689
3019.5,0.1355
3020.5,0.0437
3021.5,0.1476
3022.5,0.053
3023.5,0.0565
3024.5,0.1521
3025.5,0.0504
3026.5,0.2019
3027.5,0.0194
3028.5,0.0844
3029.5,0.0614
3030.5,0.0954
3031.5,0.2086
3032.5,0.1021
3033.5,0.0557
3034.5,0.1532
3036.5,0.0977
3037.5,0.258
3038.5,0.1563
3039.5,0.1011
3040.5,0.1187
3041.5,0.1543
3043.5,0.1518
3044.5,0.2377
3045.5,0.2135
3046.5,0.1886
3047.5,0.1152
3048.5,0.0551
3049.5,0.3196
3050.5,0.2576
3051.5,0.1511
3052.5,0.2489
3053.5,0.3587
3054.5,0.265
3055.5,0.2184
3056.5,0.25
3057.5,0.5311
3058.5,0.1805
3059.5,0.3952
3060.5,0.4215
3061.5,0.4314
3062.5,0.4757
3063.5,0.1015
3064.5,0.4315
3065.5,0.3339
3066.5,0.4403
3067.5,0.4739
3068.5,0.2701
3069.5,0.3021
3070.5,0.6818
3071.5,0.2148
3072.5,0.0837
3073.5,0.2746
3074.5,0.5121
3075.5,0.1986
3076.5,0.29
3077.5,0.1826
3078.5,0.2508
3079.5,0.3238
3080.5,0.3502
3081.5,0.3645
3082.5,0.1115
3083.5,0.2796
3084.5,0.2388
3085.5,0.2946
3086.5,0.2425
3087.5,0.1707
3088.5,0.1896
3089.5,0.1284
3090.5,0.2864
3091.5,0.1892
3092.5,0.2279
3093.5,0.176
3094.5,0.1836
3095.5,0.0823
3096.5,0.1446
3097.5,0.2412
3098.5,0.1103
3099.5,0.2265
3100.5,0.0989
3101.5,0.2391
3102.5,0.3391
3103.5,0.1184
3104.5,0.0616
3105.5,0.1473
3106.5,0.1804
3107.5,0.1419
3108.5,0.2093
3109.5,0.0543
3110.5,0.2514
3111.5,0.3889
3112.5,0.0627
3113.5,0.3055
3114.5,0.071
3115.5,0.0769
3116.5,0.2101
3117.5,0.0986
3118.5,0.1339
3119.5,0.065
3120.5,0.1822
3121.5,0.1011
3122.5,0.1533
3123.5,0.0507
3124.5,0.6753
3125.5,0.0974
3126.5,0.2482
3127.5,0.1268
3128.5,0.061
3129.5,0.2919
3130.5,0.3213
3131.5,0.218
3132.5,0.1814
3133.5,0.1316
3134.5,0.1654
3135.5,0.1474
3136.5,0.381
3137.5,0.3386
3138.5,0.1388
3139.5,0.2934
3140.5,0.0913
3141.5,0.1566
3142.5,0.1582
3143.5,0.182
3144.5,0.068
3145.5,0.2319
3146.5,0.2051
3147.5,0.5061
3148.5,0.1489
3149.5,0.1809
3150.5,0.3464
3151.5,0.1931
3152.5,0.1306
3153.5,0.2137
3154.5,0.1956
3155.5,0.3348
3156.5,0.1287
3157.5,0.3359
3158.5,0.2538
3159.5,0.3085
3160.5,0.1608
