Bin Midpoint,Prob
3100.5,0.007
3101.5,0.0003
3106.5,0.0173
3108.5,0.0063
3110.5,0.0281
3111.5,0.0003
3116.5,0.024
3118.5,0.0334
3119.5,0.014
3123.5,0.0308
3124.5,0.0781
3125.5,0.005
3126.5,0.0222
3129.5,0.0803
3130.5,0.0436
3132.5,0.0133
3133.5,0.0771
3134.5,0.0469
3137.5,0.0419
3138.5,0.0911
3139.5,0.0216
3140.5,0.0465
3142.5,0.0304
3144.5,0.0494
3145.5,0.013
3147.5,0.036
3148.5,0.0311
3149.5,0.116
3152.5,0.0437
3154.5,0.0271
3155.5,0.0235
3156.5,0.0767
3158.5,0.0622
3159.5,0.0512
3160.5,0.0386
3161.5,0.0685
3163.5,0.0408
3164.5,0.0243
3166.5,0.0553
3167.5,0.0532
3168.5,0.1091
3169.5,0.0531
3171.5,0.034
3172.5,0.0628
3175.5,0.0548
3176.5,0.0406
3179.5,0.0405
3180.5,0.0351
3183.5,0.036
3184.5,0.0188
3186.5,0.0366
3190.5,0.0549
3191.5,0.0407
3192.5,0.0775
3193.5,0.0112
3201.5,0.0371
3204.5,0.0433
3205.5,0.0168
3206.5,0.0202
3208.5,0.0483
3212.5,0.0002
3218.5,0.0106
3219.5,0.0169
3220.5,0.0411
3223.5,0.0352
3227.5,0.0508
3229.5,0.0497
3232.5,0.0141
3236.5,0.0412
3238.5,0.0439
3240.5,0.0002
3242.5,0.0083
3244.5,0.0416
3256.5,0.0032
3265.5,0.0929
3273.5,0.0457
3277.5,0.0299
3278.5,0.0395
3279.5,0.0002
3283.5,0.0482
3287.5,0.0955
3295.5,0.0494
3318.5,0.0769
3319.5,0.0346
3320.5,0.0857
3322.5,0.0514
3337.5,0.0003
3338.5,0.0527
3339.5,0.0003
3341.5,0.0493
3347.5,0.0274
3348.5,0.0535
3349.5,0.0472
3350.5,0.0239
3358.5,0.0003
3360.5,0.0371
3361.5,0.0393
3368.5,0.0559
3370.5,0.0513
3374.5,0.052
3378.5,0.0225
3384.5,0.058
3391.5,0.0286
3392.5,0.0469
3397.5,0.0549
3402.5,0.0352
3404.5,0.0709
3409.5,0.0182
3411.5,0.0465
3413.5,0.0646
3415.5,0.0572
3419.5,0.0273
3425.5,0.0166
3427.5,0.0606
3428.5,0.0207
3432.5,0.0868
3436.5,0.0364
3444.5,0.0262
3447.5,0.0205
3450.5,0.0569
3451.5,0.0424
3456.5,0.1131
3459.5,0.0324
3461.5,0.1111
3466.5,0.0257
3469.5,0.0196
3471.5,0.0637
3473.5,0.0003
3474.5,0.0179
3480.5,0.041
3483.5,0.0318
3484.5,0.0257
3485.5,0.0296
3494.5,0.0177
3495.5,0.0547
3497.5,0.0441
3498.5,0.0564
3500.5,0.0642
3504.5,0.0312
3505.5,0.0401
3506.5,0.0796
3515.5,0.0273
3518.5,0.0159
3520.5,0.0066
3521.5,0.0315
3523.5,0.1072
3528.5,0.0393
3530.5,0.0866
3531.5,0.068
3535.5,0.0716
3537.5,0.053
3539.5,0.0149
3541.5,0.0914
3542.5,0.0397
3547.5,0.0864
3549.5,0.0292
3554.5,0.0206
3559.5,0.064
3560.5,0.0729
3562.5,0.0399
3564.5,0.0525
3565.5,0.0283
3567.5,0.0062
3568.5,0.0747
3572.5,0.0369
3574.5,0.0679
3577.5,0.0133
3580.5,0.0579
3581.5,0.0392
3585.5,0.0745
3586.5,0.0863
3587.5,0.123
3588.5,0.026
3591.5,0.0383
3593.5,0.0186
3594.5,0.0686
3596.5,0.0664
3599.5,0.1095
3600.5,0.07
3604.5,0.0178
3605.5,0.0944
3607.5,0.0651
3608.5,0.1014
3611.5,0.0178
3615.5,0.0471
3617.5,0.1201
3620.5,0.0551
3621.5,0.0126
3623.5,0.0685
3624.5,0.0699
3627.5,0.1335
3628.5,0.0546
3629.5,0.0003
3632.5,0.0447
3635.5,0.0542
3636.5,0.0416
3637.5,0.0678
3638.5,0.0756
3639.5,0.0476
3640.5,0.1258
3641.5,0.017
3644.5,0.023
3646.5,0.0913
3647.5,0.0745
3649.5,0.0701
3651.5,0.0116
3652.5,0.0541
3653.5,0.0756
3658.5,0.0606
3659.5,0.0748
3660.5,0.128
3662.5,0.1072
3663.5,0.0181
3664.5,0.0317
3666.5,0.0713
3667.5,0.023
3670.5,0.1349
3671.5,0.0226
3673.5,0.0659
3674.5,0.0513
3675.5,0.0003
3678.5,0.0692
3679.5,0.0743
3680.5,0.0689
3681.5,0.0307
3682.5,0.0562
3683.5,0.1022
3685.5,0.0614
3688.5,0.0542
3690.5,0.0394
3691.5,0.1259
3693.5,0.0607
3694.5,0.0869
3695.5,0.1002
3696.5,0.0638
3697.5,0.0615
3700.5,0.0179
3701.5,0.0067
3704.5,0.0742
3706.5,0.1117
3707.5,0.0587
3711.5,0.0212
3712.5,0.0144
3713.5,0.2325
3714.5,0.0182
3715.5,0.0562
3716.5,0.0736
3717.5,0.0949
3720.5,0.0755
3723.5,0.0497
3724.5,0.0144
3725.5,0.0204
3727.5,0.1119
3728.5,0.1272
3730.5,0.1149
3731.5,0.0422
3733.5,0.0067
3734.5,0.132
3735.5,0.0891
3737.5,0.0386
3738.5,0.0094
3739.5,0.0477
3740.5,0.0707
3741.5,0.0665
3744.5,0.1075
3745.5,0.1672
3746.5,0.0135
3747.5,0.0387
3748.5,0.1607
3749.5,0.0771
3751.5,0.0735
3752.5,0.1221
3756.5,0.0289
3757.5,0.0574
3758.5,0.0456
3759.5,0.0385
3760.5,0.1357
3762.5,0.0188
3763.5,0.0787
3764.5,0.0093
3765.5,0.0137
3767.5,0.0462
3768.5,0.1439
3770.5,0.0808
3772.5,0.064
3773.5,0.1013
3775.5,0.0759
3776.5,0.0465
3778.5,0.0485
3779.5,0.0717
3780.5,0.1373
3781.5,0.0781
3782.5,0.0901
3783.5,0.0989
3784.5,0.0841
3785.5,0.0447
3787.5,0.0537
3788.5,0.046
3789.5,0.068
3790.5,0.0134
3791.5,0.0183
3792.5,0.0261
3793.5,0.0067
3794.5,0.0801
3795.5,0.0628
3796.5,0.1143
3798.5,0.0668
3799.5,0.2018
3800.5,0.1423
3801.5,0.0633
3802.5,0.0342
3803.5,0.0674
3804.5,0.1367
3805.5,0.063
3806.5,0.0385
3807.5,0.1488
3808.5,0.1045
3809.5,0.0431
3810.5,0.0125
3811.5,0.1276
3813.5,0.0439
3815.5,0.1731
3817.5,0.0793
3818.5,0.0798
3819.5,0.1933
3820.5,0.0378
3821.5,0.0671
3822.5,0.1956
3824.5,0.0796
3825.5,0.0664
3826.5,0.0583
3827.5,0.1086
3828.5,0.4511
3829.5,0.0844
3830.5,0.1519
3831.5,0.0153
3832.5,0.1576
3833.5,0.1078
3834.5,0.0176
3835.5,0.0964
3836.5,0.1183
3837.5,0.2396
3838.5,0.1617
3839.5,0.0821
3840.5,0.0748
3841.5,0.1051
3842.5,0.041
3843.5,0.0968
3844.5,0.025
3845.5,0.0753
3846.5,0.1421
3848.5,0.0205
3849.5,0.1677
3850.5,0.1452
3851.5,0.1046
3852.5,0.0509
3853.5,0.0421
3854.5,0.0535
3855.5,0.2147
3856.5,0.0171
3857.5,0.1739
3859.5,0.0859
3860.5,0.1167
3861.5,0.1222
3862.5,0.1183
3863.5,0.243
3864.5,0.104
3865.5,0.0761
3866.5,0.0084
3867.5,0.0584
3868.5,0.0652
