Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,1.0,2,4,0.004039818386850018,16.00403981838685,0.0003347857077451402,4677.513985149428,inf
0.0,1.25,2,5,0.012131975098189687,10.012131975098189,0.006697198411643959,4604.379010743676,inf
0.0,1.5,2,6,0.01608378681799587,8.016083786817996,0.0181689371435963,4558.210474549244,inf
0.0,1.75,2,7,0.015769901971103593,7.015769901971104,0.029960214794423057,4534.864675337126,inf
0.0,2.0,2,8,0.014314916671306336,6.414314916671307,0.04047149182287041,4522.620754017228,inf
0.0,2.25,2,9,0.015377583939898095,6.015377583939898,0.04940573383596072,4505.797734501423,inf
0.0,2.5,2,10,0.01817012842072322,5.732455842706438,0.05691320327028744,4489.058335518797,inf
0.0,2.75,2,11,0.016906070259761673,5.516906070259762,0.06338975427270259,4483.611353921559,inf
0.0,3.0,2,12,0.015297743499411204,5.348631076832744,0.06895400861623101,4485.163130414302,inf
0.0,3.25,2,13,0.017067143847070306,5.21706714384707,0.07364245598604008,4493.527191034334,inf
0.0,3.5,2,14,0.03501304759881452,5.125922138507906,0.07707617432025232,4509.472410356322,inf
0.0,3.75,2,15,0.08525760580054428,5.085257605800544,0.07865934783879483,4531.61800086432,inf
0.0,4.0,2,16,0.14558707402472507,5.068663997101648,0.07931468389632039,4554.73284693736,inf
0.0,4.25,2,17,0.1666923788722082,5.023835236015065,0.08111254712859199,4570.179343253105,inf
0.0,4.5,2,18,0.17020768420948693,4.970207684209487,0.08331690226036532,4580.304838847352,inf
0.0,4.75,2,19,0.17523228435062013,4.92523228435062,0.08521173310099957,4590.32527737155,inf
0.0,5.0,2,20,0.16994180780084192,4.8758241607420185,0.08734302643179476,4595.2962955724015,inf
0.0,5.25,2,21,0.16109021113872082,4.827756877805387,0.08946762608103322,4594.5406752952495,inf
0.0,5.5,2,22,0.1531827533695125,4.784761700737934,0.09141178680392896,4595.430773338328,inf
0.0,5.75,2,23,0.14625256895940517,4.746252568959405,0.09318893528282923,4596.749389343645,inf
0.0,6.0,2,24,0.1446872132011173,4.716115784629689,0.09460377561899806,4591.956543641676,inf
0.0,6.25,2,25,0.15248466774885372,4.6979392132034,0.09546748061531415,4583.953768277728,inf
0.0,6.5,2,26,0.15566650125554807,4.6774056316903305,0.09645267399615226,4577.677670354465,inf
0.0,6.75,2,27,0.15250110792847632,4.652501107928476,0.09766123700693322,4574.317283466358,inf
0.0,7.0,2,28,0.14665095059347674,4.626650950593477,0.09893170896623253,4574.108689093691,inf
0.0,7.25,2,29,0.14131307404826896,4.602851535586731,0.10011599974779116,4573.584203545482,inf
0.0,7.5,2,30,0.13700866507823645,4.581453109522681,0.10119291294574946,4572.156543205461,inf
0.0,7.75,2,31,0.13234349804794004,4.560914926619369,0.1022374261448181,4572.522399575889,inf
0.0,8.0,2,32,0.12884047165392545,4.542633575102201,0.10317622941920469,4573.894991786126,inf
0.0,8.25,2,33,0.1261433888999525,4.5261433888999525,0.10403044373564296,4575.570874644876,inf
0.0,8.5,2,34,0.12279029674344896,4.509887070936997,0.10487946553898521,4576.546054447479,inf
0.0,8.75,2,35,0.1191089948316004,4.4941089948316,0.10571013592050064,4576.8198508689475,inf
0.0,9.0,2,36,0.11563312622114491,4.479269489857508,0.10649739599010129,4576.618036583567,inf
0.0,9.25,2,37,0.11275888013747297,4.4657000566080605,0.1072224073603491,4577.60689336428,16.36694358598556
0.0,9.5,2,38,0.11163361422255494,4.454490757079697,0.10782503859147814,4573.841100822946,inf
0.0,9.75,2,39,0.1093655080668876,4.442698841400221,0.1084626482859552,4582.4491979915065,15.292835944659092
0.0,10.0,2,40,0.10672183179792442,4.431046156122249,0.10909643337004515,4583.374928785237,14.763062217386086
0.0,10.25,2,41,0.10400169862547703,4.419791172309687,0.10971210338005186,4583.603030141322,14.279112046407688
0.0,10.5,2,42,0.10156594964309115,4.409258257335399,0.11029142164686348,4582.894236978718,13.833056243892132
0.0,10.75,2,43,0.10596319201430629,4.4059631920143065,0.11047328013396746,4566.404368215692,11.30943655737045
0.0,11.0,2,44,0.09864348071849276,4.391326407547761,0.11128473257118844,4583.113880397799,13.13164038848306
0.0,11.25,2,45,0.10251123296019175,4.388225518674477,0.11145740719229874,4587.383633647079,13.120509973868813
0.0,11.5,2,46,0.10025563907464595,4.379325406516506,0.11195450413903367,4587.844389669299,12.72168948422061
0.0,11.75,2,47,0.10041882826070755,4.37314610098798,0.11230093958925372,4585.5892240106095,12.54425845027191
0.0,12.0,2,48,0.10003022066846975,4.366696887335136,0.11266365045133617,4583.527188685399,12.312459623223969
0.0,12.25,2,49,0.10133261202029437,4.362202177237686,0.11291713039801918,4580.714578860991,12.190116590671892
0.0,12.5,2,50,0.10435487748877591,4.359674026424946,0.11305995641792445,4577.200349775934,12.157326198579208
0.0,12.75,2,51,0.10247352666897101,4.352473526668971,0.11346773412257806,4576.482767839796,11.865908670329643
0.0,13.0,2,52,0.10057844038785835,4.345476399571532,0.11386540343118806,4577.044217465265,11.579666330710982
0.0,13.25,2,53,0.09956777085584262,4.339567770855843,0.11420229502421003,4575.639406815079,11.346097972171648
0.0,13.5,2,54,0.1024004767380069,4.3376945943850655,0.11430930565481047,4572.419808465058,11.31798154935905
0.0,13.75,2,55,0.10056643920381171,4.3313356699730425,0.11467332615999831,4572.008063712171,11.06894253720228
0.0,14.0,2,56,0.1084500853599158,4.3348651796995386,0.11447113431197103,4576.263548240109,11.331131241114107
0.0,14.25,2,57,0.1346774878265672,4.35689971004879,0.11321689728795419,4583.961515442276,12.421736276692883
0.0,14.5,2,58,0.14895079222429017,4.367132610406108,0.11263910804897521,4589.726882558266,12.858903808960362
0.0,14.75,2,59,0.1478102837142216,4.362095997999936,0.11292312528456816,4591.306619079248,12.63688897202521
0.0,15.0,2,60,0.14633731803320466,4.3568636338226785,0.11321893952556629,4589.958842270187,12.40315095924747
0.0,15.25,2,61,0.148579121526269,4.355475673250407,0.11329753850753174,4587.352522641487,12.352012449355401
0.0,15.5,2,62,0.15145304340396396,4.354842873912439,0.11333339148284788,4584.564290433508,12.322967480246877
0.0,15.75,2,63,0.15081872356151269,4.350818723561513,0.11356165635243044,4582.903214795033,12.146154302569137
0.0,16.0,2,64,0.14838732743563518,4.345108638911046,0.11388634296429939,4582.862218506744,11.903554874070652
0.0,16.25,2,65,0.1463529970893961,4.33990138418617,0.11418324690894346,4583.570027088639,11.667332775510182
0.0,16.5,2,66,0.14430701388631428,4.3347832043625045,0.1144758263130354,4582.975991552189,11.441989435174234
0.0,16.75,2,67,0.15076621661173883,4.338266216611739,0.11427663945330059,4579.48365627377,11.555071842693211
0.0,17.0,2,68,0.16064134033885732,4.345256724954242,0.1138779107875233,4575.6949368731985,11.806432211550682
0.0,17.25,2,69,0.16283061585640915,4.344648797674591,0.11391253079312694,4573.320762211299,11.760314531793938
0.0,17.5,2,70,0.16125900110876784,4.3403634787207075,0.11415686822925557,4572.2367355933975,11.557847672176903
