Bin Midpoint,Prob
3404.5,0.0003
3408.5,0.0377
3409.5,0.0276
3412.5,0.0626
3413.5,0.0121
3414.5,0.0894
3415.5,0.0234
3416.5,0.0523
3417.5,0.0584
3418.5,0.0718
3419.5,0.0375
3421.5,0.0628
3422.5,0.0924
3423.5,0.088
3424.5,0.0496
3425.5,0.1117
3428.5,0.025
3429.5,0.0432
3430.5,0.2297
3431.5,0.0003
3432.5,0.0637
3433.5,0.1075
3437.5,0.1231
3438.5,0.0985
3439.5,0.0621
3440.5,0.0295
3441.5,0.0931
3443.5,0.146
3444.5,0.0575
3445.5,0.1146
3446.5,0.0458
3448.5,0.0629
3449.5,0.1113
3450.5,0.0731
3451.5,0.0541
3452.5,0.0576
3453.5,0.0505
3454.5,0.1937
3455.5,0.0733
3456.5,0.0281
3457.5,0.0477
3458.5,0.0425
3459.5,0.0962
3460.5,0.0586
3461.5,0.0948
3462.5,0.1062
3463.5,0.094
3464.5,0.0884
3466.5,0.0206
3467.5,0.1008
3468.5,0.0919
3469.5,0.042
3470.5,0.0802
3471.5,0.1028
3472.5,0.0517
3473.5,0.0359
3474.5,0.1345
3475.5,0.125
3476.5,0.028
3477.5,0.0376
3478.5,0.1688
3479.5,0.0815
3481.5,0.0465
3482.5,0.1199
3484.5,0.0824
3485.5,0.1242
3486.5,0.1297
3487.5,0.0438
3488.5,0.0282
3489.5,0.0901
3490.5,0.1258
3492.5,0.0992
3493.5,0.1807
3494.5,0.0687
3495.5,0.0989
3496.5,0.1546
3498.5,0.0263
3499.5,0.1307
3500.5,0.1179
3501.5,0.0794
3502.5,0.0794
3503.5,0.064
3504.5,0.0483
3505.5,0.028
3506.5,0.1136
3507.5,0.1573
3508.5,0.1424
3509.5,0.0052
3510.5,0.1223
3511.5,0.1046
3512.5,0.1062
3513.5,0.0909
3514.5,0.0693
3515.5,0.0686
3516.5,0.0605
3517.5,0.0335
3518.5,0.1285
3519.5,0.0304
3520.5,0.1028
3521.5,0.033
3522.5,0.0663
3523.5,0.0821
3524.5,0.0512
3525.5,0.0708
3526.5,0.0496
3527.5,0.0432
3528.5,0.0262
3529.5,0.0685
3530.5,0.0402
3531.5,0.1394
3532.5,0.0437
3533.5,0.0571
3534.5,0.0833
3536.5,0.0315
3537.5,0.0588
3538.5,0.0731
3539.5,0.0206
3540.5,0.0883
3541.5,0.0327
3542.5,0.0085
3543.5,0.0773
3544.5,0.2125
3545.5,0.0104
3546.5,0.0153
3547.5,0.0823
3548.5,0.0498
3549.5,0.0643
3550.5,0.0448
3551.5,0.0773
3552.5,0.0617
3553.5,0.0394
3554.5,0.0337
3555.5,0.0589
3556.5,0.0265
3557.5,0.0394
3558.5,0.0048
3559.5,0.1062
3560.5,0.0321
3561.5,0.0584
3562.5,0.0302
3563.5,0.0236
3564.5,0.0122
3565.5,0.076
3566.5,0.0577
3567.5,0.0318
3568.5,0.0217
3569.5,0.1273
3570.5,0.0774
3571.5,0.0276
3572.5,0.1162
3573.5,0.0402
3574.5,0.0498
3575.5,0.0332
3576.5,0.0613
3577.5,0.0163
3578.5,0.0137
3579.5,0.0342
3580.5,0.1101
3581.5,0.0501
3582.5,0.0084
3583.5,0.0235
3584.5,0.1132
3585.5,0.0056
3586.5,0.0247
3587.5,0.0144
3588.5,0.0786
3589.5,0.0976
3590.5,0.0171
3591.5,0.0103
3592.5,0.0269
3593.5,0.0326
3594.5,0.0313
3595.5,0.0341
3596.5,0.0261
3597.5,0.0804
3598.5,0.0315
3599.5,0.0069
3600.5,0.0358
3601.5,0.0963
3602.5,0.0134
3603.5,0.012
3604.5,0.0093
3605.5,0.0741
3606.5,0.0407
3607.5,0.0031
3608.5,0.0201
3609.5,0.0354
3610.5,0.0055
3611.5,0.0225
3613.5,0.0496
3614.5,0.0333
3615.5,0.0029
3616.5,0.0632
3617.5,0.03
3618.5,0.041
3619.5,0.0114
3620.5,0.0836
3622.5,0.0198
3623.5,0.0454
3624.5,0.0042
3625.5,0.0026
3626.5,0.0293
3627.5,0.0493
3628.5,0.0524
3629.5,0.0042
3631.5,0.0839
3632.5,0.0162
3634.5,0.0746
3635.5,0.0117
3636.5,0.0283
3638.5,0.0586
3639.5,0.0658
3640.5,0.0263
3641.5,0.0154
3642.5,0.0724
3643.5,0.0964
3645.5,0.028
3646.5,0.0126
3647.5,0.0072
3648.5,0.0057
3649.5,0.0233
3650.5,0.0151
3652.5,0.0033
3653.5,0.0558
3654.5,0.0056
3655.5,0.0049
3656.5,0.0183
3657.5,0.0721
3658.5,0.057
3659.5,0.0047
3660.5,0.0274
3661.5,0.0355
3662.5,0.0445
3663.5,0.0903
3664.5,0.0164
3666.5,0.0683
3667.5,0.0076
3668.5,0.0097
3669.5,0.0042
3670.5,0.0373
3671.5,0.023
3672.5,0.0789
3673.5,0.003
3674.5,0.0054
3676.5,0.0174
3677.5,0.0222
3679.5,0.0074
3680.5,0.0101
3682.5,0.0125
3683.5,0.0227
3684.5,0.005
3685.5,0.0935
3686.5,0.0455
3687.5,0.0028
3688.5,0.0648
3689.5,0.0069
3690.5,0.0321
3691.5,0.0003
3692.5,0.0441
3693.5,0.0518
3694.5,0.0787
3695.5,0.0815
3697.5,0.0717
3698.5,0.109
3699.5,0.0411
3700.5,0.049
3701.5,0.0151
3702.5,0.0504
3703.5,0.0057
3705.5,0.0074
3706.5,0.0003
3707.5,0.0277
3708.5,0.0227
3709.5,0.0079
3710.5,0.0256
3713.5,0.1146
3714.5,0.0184
3715.5,0.0379
3716.5,0.0192
3717.5,0.0079
3718.5,0.0213
3719.5,0.0103
3720.5,0.0176
3721.5,0.0373
3722.5,0.0246
3724.5,0.0421
3725.5,0.0322
3726.5,0.0045
3728.5,0.0099
3730.5,0.0024
3731.5,0.012
3732.5,0.0678
3734.5,0.0069
3735.5,0.0734
3736.5,0.0336
3738.5,0.0097
3739.5,0.0995
3741.5,0.0066
3743.5,0.1479
3744.5,0.0364
3745.5,0.0022
3746.5,0.02
3747.5,0.0051
3748.5,0.0025
3749.5,0.0175
3750.5,0.0345
3751.5,0.0233
3752.5,0.0074
3753.5,0.1267
3754.5,0.0593
3756.5,0.004
3757.5,0.0204
3760.5,0.0185
3761.5,0.1002
3762.5,0.028
3763.5,0.0039
3764.5,0.0595
3767.5,0.0411
3771.5,0.0484
3772.5,0.0292
3773.5,0.0105
3774.5,0.012
3775.5,0.005
3777.5,0.0232
3778.5,0.0671
3781.5,0.1652
3782.5,0.0027
3783.5,0.0359
3784.5,0.0399
3785.5,0.0059
3786.5,0.046
3789.5,0.0317
3790.5,0.0735
3791.5,0.0285
3792.5,0.0609
3793.5,0.0244
3794.5,0.0188
3797.5,0.0209
3798.5,0.007
3799.5,0.012
3802.5,0.0214
3803.5,0.0877
3804.5,0.002
3805.5,0.0306
3806.5,0.1038
3807.5,0.01
3809.5,0.0082
3810.5,0.0618
3811.5,0.0111
3812.5,0.0336
3813.5,0.0214
3815.5,0.0601
3816.5,0.0367
3817.5,0.0225
3818.5,0.0739
3821.5,0.0031
3822.5,0.0115
3823.5,0.0225
3824.5,0.0072
3825.5,0.0213
3826.5,0.0909
3827.5,0.0572
3828.5,0.0214
3831.5,0.0168
3832.5,0.0042
3833.5,0.0319
3834.5,0.0722
3835.5,0.0015
3836.5,0.0105
3837.5,0.0098
3838.5,0.0186
3839.5,0.0398
3840.5,0.0018
3841.5,0.0289
3842.5,0.0605
3844.5,0.0744
3845.5,0.0369
3846.5,0.0044
3847.5,0.0683
3848.5,0.0164
3849.5,0.0282
3851.5,0.0727
3852.5,0.0201
3853.5,0.0135
3855.5,0.005
3856.5,0.0014
3858.5,0.0192
3859.5,0.0833
3860.5,0.0193
3861.5,0.0877
3862.5,0.0083
3863.5,0.0098
3864.5,0.0125
3865.5,0.0014
3866.5,0.022
3867.5,0.0919
3868.5,0.064
3869.5,0.0047
3870.5,0.0698
3872.5,0.0414
3873.5,0.0476
3874.5,0.0201
3875.5,0.0299
3876.5,0.0077
3879.5,0.0639
3880.5,0.0118
3881.5,0.0439
3882.5,0.0317
3883.5,0.0016
3884.5,0.0191
3885.5,0.0252
3886.5,0.0549
3887.5,0.0045
3889.5,0.0096
3890.5,0.0074
3892.5,0.0138
3893.5,0.1251
3894.5,0.0633
3895.5,0.0207
3896.5,0.018
3897.5,0.0639
3898.5,0.0503
3899.5,0.0193
3901.5,0.0019
3902.5,0.0395
3903.5,0.0087
3904.5,0.0132
3905.5,0.0024
3906.5,0.076
3907.5,0.0089
3908.5,0.0136
3909.5,0.1168
3910.5,0.0325
3911.5,0.0175
3912.5,0.0027
3913.5,0.0573
3914.5,0.0024
3915.5,0.1128
3916.5,0.009
3917.5,0.0117
3918.5,0.0166
3919.5,0.0496
3920.5,0.0032
3921.5,0.0018
3922.5,0.0184
3923.5,0.0024
3924.5,0.0539
3925.5,0.1102
3926.5,0.0601
3927.5,0.018
3928.5,0.0575
3929.5,0.0128
3930.5,0.0925
3931.5,0.1526
3933.5,0.0036
3937.5,0.0173
3938.5,0.1061
3939.5,0.0375
3940.5,0.0211
3941.5,0.0157
3943.5,0.0235
3944.5,0.0249
3947.5,0.0468
3948.5,0.0162
3949.5,0.0276
3950.5,0.0015
3951.5,0.005
3952.5,0.0022
3953.5,0.0297
3954.5,0.002
3955.5,0.061
3956.5,0.0135
3957.5,0.1273
3958.5,0.0387
3959.5,0.0175
3960.5,0.0257
3961.5,0.0376
3964.5,0.0063
3965.5,0.0279
3966.5,0.0231
3967.5,0.0048
3968.5,0.0014
3969.5,0.0192
3970.5,0.0268
3971.5,0.0964
3972.5,0.0221
3973.5,0.0179
3974.5,0.0648
3975.5,0.1523
3976.5,0.0104
3977.5,0.0392
3978.5,0.0118
3979.5,0.1005
3981.5,0.0465
3982.5,0.0243
3983.5,0.0061
3984.5,0.016
3985.5,0.1051
3986.5,0.0057
3987.5,0.0546
3988.5,0.0119
3989.5,0.076
3990.5,0.0016
3991.5,0.0715
3992.5,0.0077
3993.5,0.0119
3995.5,0.0023
3996.5,0.0363
3997.5,0.0714
3998.5,0.0424
3999.5,0.0607
4000.5,0.0537
4001.5,0.0047
4002.5,0.0011
4004.5,0.0649
4005.5,0.1207
4006.5,0.0049
4007.5,0.0424
4008.5,0.04
4009.5,0.0199
4010.5,0.023
4012.5,0.0123
4013.5,0.0081
4014.5,0.0011
4015.5,0.0349
4017.5,0.0448
4018.5,0.0898
4019.5,0.036
4020.5,0.0936
4021.5,0.0074
4022.5,0.0551
4023.5,0.0224
4024.5,0.0038
4025.5,0.0013
4026.5,0.1066
4027.5,0.0535
4028.5,0.1359
4029.5,0.0211
4030.5,0.0822
4031.5,0.0077
4032.5,0.0851
4033.5,0.0003
4034.5,0.044
4035.5,0.09
4036.5,0.0413
4037.5,0.014
4038.5,0.1403
4039.5,0.0301
4040.5,0.0591
4041.5,0.0685
4042.5,0.0057
4043.5,0.0778
4044.5,0.0667
4045.5,0.0445
4046.5,0.0335
4047.5,0.0525
4048.5,0.0013
4049.5,0.0737
4050.5,0.0344
4051.5,0.0628
4052.5,0.0329
4053.5,0.0016
4054.5,0.0191
