Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
5.92,5.92,1.0,0.0131,4.89,1.3305,0.0141,1.2106,1.3305,0.0224
5.92,5.56,0.906,0.028,4.89,1.3305,0.0141,1.137,1.2054,0.0394
5.92,5.36,0.865,0.021,4.89,1.3305,0.0141,1.0961,1.1509,0.0305
5.92,5.27,0.8465,0.0138,4.89,1.3305,0.0141,1.0777,1.1263,0.0219
5.92,5.15,0.8095,0.0126,4.89,1.3305,0.0141,1.0532,1.077,0.0203
5.92,5.0,0.7815,0.0138,4.89,1.3305,0.0141,1.0225,1.0398,0.0214
5.92,4.81,0.7285,0.0213,4.89,1.3305,0.0141,0.9836,0.9693,0.0301
5.92,4.7,0.7075,0.0216,4.89,1.3305,0.0141,0.9611,0.9413,0.0304
5.92,4.58,0.677,0.0294,4.89,1.3305,0.0141,0.9366,0.9007,0.0403
5.56,5.92,1.1035,0.0156,4.89,1.2145,0.0261,1.2106,1.3402,0.0345
5.56,5.56,1.0,0.0252,4.89,1.2145,0.0261,1.137,1.2145,0.0402
5.56,5.36,0.955,0.0213,4.89,1.2145,0.0261,1.0961,1.1598,0.0359
5.56,5.27,0.928,0.015,4.89,1.2145,0.0261,1.0777,1.1271,0.0303
5.56,5.15,0.888,0.0131,4.89,1.2145,0.0261,1.0532,1.0785,0.0281
5.56,5.0,0.8595,0.0141,4.89,1.2145,0.0261,1.0225,1.0439,0.0282
5.56,4.81,0.801,0.0202,4.89,1.2145,0.0261,0.9836,0.9728,0.0322
5.56,4.7,0.7785,0.0211,4.89,1.2145,0.0261,0.9611,0.9455,0.0327
5.56,4.58,0.747,0.0285,4.89,1.2145,0.0261,0.9366,0.9072,0.0397
5.36,5.92,1.1565,0.015,4.89,1.1505,0.0193,1.2106,1.3306,0.0282
5.36,5.56,1.0505,0.0281,4.89,1.1505,0.0193,1.137,1.2086,0.0382
5.36,5.36,1.0,0.0194,4.89,1.1505,0.0193,1.0961,1.1505,0.0295
5.36,5.27,0.978,0.0138,4.89,1.1505,0.0193,1.0777,1.1252,0.0247
5.36,5.15,0.934,0.013,4.89,1.1505,0.0193,1.0532,1.0746,0.0234
5.36,5.0,0.9035,0.014,4.89,1.1505,0.0193,1.0225,1.0395,0.0237
5.36,4.81,0.842,0.0202,4.89,1.1505,0.0193,0.9836,0.9687,0.0284
5.36,4.7,0.8175,0.0208,4.89,1.1505,0.0193,0.9611,0.9405,0.0287
5.36,4.58,0.7815,0.0298,4.89,1.1505,0.0193,0.9366,0.8991,0.0375
5.27,5.92,1.18,0.0144,4.89,1.127,0.0133,1.2106,1.3299,0.0226
5.27,5.56,1.079,0.0267,4.89,1.127,0.0133,1.137,1.216,0.0333
5.27,5.36,1.023,0.0202,4.89,1.127,0.0133,1.0961,1.1529,0.0265
5.27,5.27,1.0,0.0125,4.89,1.127,0.0133,1.0777,1.127,0.0194
5.27,5.15,0.956,0.0128,4.89,1.127,0.0133,1.0532,1.0774,0.0192
5.27,5.0,0.924,0.0135,4.89,1.127,0.0133,1.0225,1.0413,0.0196
5.27,4.81,0.86,0.0197,4.89,1.127,0.0133,0.9836,0.9692,0.025
5.27,4.7,0.8345,0.0206,4.89,1.127,0.0133,0.9611,0.9405,0.0257
