Folder,Index,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi,Prob Amp,dmu,dvD,dvP,dvS,mu,vD,vP,vS
2009Oct_106GPa,Fe_Murphy_P7,hcp,106.0,3.0,16.61,0.07,11.38,0.05,619.0,1.7,621.0,1.7,7387.0,19.0,8.53,3.26,28.0,25.0,29.0,246.31,5210.0,9134.0,4652.0
2009Oct_121GPa,Fe_Murphy_P8,hcp,121.0,3.0,16.24,0.07,11.64,0.02,674.0,2.3,677.0,2.3,7626.0,15.0,6.18,4.39,39.0,29.0,39.0,266.5,5358.0,9417.0,4785.0
2009Oct_133GPa,Fe_Murphy_P9,hcp,133.0,4.0,15.97,0.07,11.84,0.02,718.0,2.7,721.0,2.8,7804.0,17.0,4.19,8.21,76.0,50.0,72.0,274.81,5397.0,9584.0,4818.0
2009Oct_30GPa,Fe_Murphy_P1,hcp,30.0,2.0,19.66,0.07,9.61,0.03,309.0,2.5,312.0,2.6,5698.0,25.0,2.49,4.25,64.0,45.0,55.0,151.0,4421.0,7309.0,3964.0
2009Oct_53GPa,Fe_Murphy_P3,hcp,53.0,2.0,18.47,0.03,10.25,0.01,408.0,1.5,411.0,1.6,6332.0,13.0,4.54,3.5,44.0,31.0,41.0,173.9,4609.0,7919.0,4119.0
2009Oct_69GPa,Fe_Murphy_P4,hcp,69.0,3.0,17.8,0.03,10.63,0.01,473.0,1.1,476.0,1.1,6692.0,8.0,4.11,4.68,54.0,36.0,51.0,198.09,4832.0,8345.0,4317.0
2009Oct_77GPa,Fe_Murphy_P5,hcp,77.0,3.0,17.5,0.07,10.8,0.02,503.0,1.1,506.0,1.1,6845.0,10.0,9.75,1.98,21.0,16.0,20.0,209.99,4937.0,8531.0,4410.0
2009Oct_90GPa,Fe_Murphy_P6,hcp,90.0,3.0,17.1,0.07,11.06,0.02,555.0,1.2,558.0,1.2,7103.0,10.0,8.11,2.79,29.0,20.0,27.0,232.51,5132.0,8859.0,4585.0
2010Aug_151GPa,Fe_Murphy_P10,hcp,151.0,5.0,15.61,0.07,12.13,0.03,783.0,3.5,786.0,3.7,8050.0,21.0,9.06,3.74,28.0,26.0,30.0,298.2,5557.0,9878.0,4958.0
2011Feb_171GPa,Fe_Murphy_P11,hcp,171.0,5.0,15.21,0.07,12.43,0.03,856.0,4.3,859.0,4.6,8313.0,24.0,5.2,7.63,68.0,44.0,60.0,319.58,5681.0,10168.0,5071.0
2015Mar_Ambient,Fe_Ambient,bcc,0.0,0.0,23.456,0.027000000000000003,8.062000000000001,0.009000000000000001,168.1,8.4,168.1,8.4,4566.0,114.0,3.89,1.28,27.0,89.0,26.0,77.88,3471.0,5810.0,3108.0
