Ref Folder,Ref Index,Vi,dVi,Folder,Index,V,dV,V/Vi,xi,dxi
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.0,1.0,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,0.939,0.902,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,0.905,0.8585,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,0.89,0.8405,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.87,0.8025,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.845,0.7735,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.826,0.74,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.812,0.717,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.794,0.6965,0.02
2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.774,0.669,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.064,1.1085,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.0,1.0,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,0.964,0.95,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,0.947,0.9255,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.926,0.884,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.899,0.856,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.879,0.816,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.865,0.7935,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.845,0.766,0.02
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.823,0.7365,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.104,1.164,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.038,1.051,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.0,1.0,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,0.983,0.9775,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.961,0.933,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.933,0.901,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.912,0.8635,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.897,0.8355,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.877,0.8135,0.02
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.854,0.78,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.123,1.1885,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.055,1.0795,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.017,1.0225,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.0,1.0,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.977,0.955,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.949,0.9215,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.928,0.8815,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.913,0.8555,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.892,0.83,0.02
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.869,0.7955,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.15,1.246,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.08,1.131,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.041,1.0715,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.023,1.047,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.0,1.0,0.02
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.971,0.967,0.02
