Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
20.587,20.211,0.972,0.0196,20.587,1.0,0.0131,0.9817,0.972,0.0234
20.587,19.088,0.8835,0.017,20.587,1.0,0.0131,0.9272,0.8835,0.0206
20.587,18.724,0.85,0.0207,20.587,1.0,0.0131,0.9095,0.85,0.0235
20.587,18.066,0.804,0.0206,20.587,1.0,0.0131,0.8775,0.804,0.0231
20.587,17.604,0.785,0.0187,20.587,1.0,0.0131,0.8551,0.785,0.0213
20.587,17.332,0.7585,0.0217,20.587,1.0,0.0131,0.8419,0.7585,0.0239
20.587,16.724,0.6935,0.0228,20.587,1.0,0.0131,0.8124,0.6935,0.0245
20.211,20.211,1.0,0.0168,20.587,0.972,0.0196,0.9817,0.972,0.0255
20.211,19.088,0.9025,0.0173,20.587,0.972,0.0196,0.9272,0.8772,0.0244
20.211,18.724,0.8755,0.0199,20.587,0.972,0.0196,0.9095,0.851,0.0259
20.211,18.066,0.822,0.0216,20.587,0.972,0.0196,0.8775,0.799,0.0265
20.211,17.604,0.799,0.0185,20.587,0.972,0.0196,0.8551,0.7766,0.0238
20.211,17.332,0.782,0.0204,20.587,0.972,0.0196,0.8419,0.7601,0.0251
20.211,16.724,0.7155,0.0209,20.587,0.972,0.0196,0.8124,0.6955,0.0247
19.088,20.211,1.1075,0.0183,20.587,0.8835,0.017,0.9817,0.9785,0.0248
19.088,19.088,1.0,0.0149,20.587,0.8835,0.017,0.9272,0.8835,0.0215
19.088,18.724,0.9635,0.0206,20.587,0.8835,0.017,0.9095,0.8513,0.0245
19.088,18.066,0.9125,0.0199,20.587,0.8835,0.017,0.8775,0.8062,0.0234
19.088,17.604,0.892,0.018,20.587,0.8835,0.017,0.8551,0.7881,0.022
19.088,17.332,0.858,0.0212,20.587,0.8835,0.017,0.8419,0.758,0.0237
19.088,16.724,0.7985,0.018,20.587,0.8835,0.017,0.8124,0.7055,0.0209
18.724,20.211,1.1435,0.0177,20.587,0.85,0.0207,0.9817,0.972,0.028
18.724,19.088,1.0355,0.0169,20.587,0.85,0.0207,0.9272,0.8802,0.0258
18.724,18.724,1.0,0.0184,20.587,0.85,0.0207,0.9095,0.85,0.0259
18.724,18.066,0.954,0.0194,20.587,0.85,0.0207,0.8775,0.8109,0.0257
18.724,17.604,0.923,0.0179,20.587,0.85,0.0207,0.8551,0.7846,0.0244
18.724,17.332,0.9035,0.021,20.587,0.85,0.0207,0.8419,0.768,0.0259
18.724,16.724,0.824,0.0184,20.587,0.85,0.0207,0.8124,0.7004,0.0231
18.066,20.211,1.1995,0.0189,20.587,0.804,0.0206,0.9817,0.9644,0.029
18.066,19.088,1.096,0.0173,20.587,0.804,0.0206,0.9272,0.8812,0.0265
18.066,18.724,1.048,0.0208,20.587,0.804,0.0206,0.9095,0.8426,0.0273
18.066,18.066,1.0,0.0171,20.587,0.804,0.0206,0.8775,0.804,0.0248
18.066,17.604,0.9735,0.0186,20.587,0.804,0.0206,0.8551,0.7827,0.025
18.066,17.332,0.939,0.0208,20.587,0.804,0.0206,0.8419,0.755,0.0256
18.066,16.724,0.8685,0.0181,20.587,0.804,0.0206,0.8124,0.6983,0.0231
17.604,20.211,1.2375,0.0191,20.587,0.785,0.0187,0.9817,0.9714,0.0276
17.604,19.088,1.127,0.0164,20.587,0.785,0.0187,0.9272,0.8847,0.0247
17.604,18.724,1.084,0.0209,20.587,0.785,0.0187,0.9095,0.8509,0.0261
17.604,18.066,1.0315,0.0195,20.587,0.785,0.0187,0.8775,0.8097,0.0246
17.604,17.604,1.0,0.016,20.587,0.785,0.0187,0.8551,0.785,0.0225
17.604,17.332,0.976,0.0199,20.587,0.785,0.0187,0.8419,0.7662,0.024
17.604,16.724,0.8975,0.0187,20.587,0.785,0.0187,0.8124,0.7045,0.0223
17.332,20.211,1.277,0.0187,20.587,0.7585,0.0217,0.9817,0.9686,0.0311
17.332,19.088,1.155,0.0164,20.587,0.7585,0.0217,0.9272,0.8761,0.028
17.332,18.724,1.11,0.0219,20.587,0.7585,0.0217,0.9095,0.8419,0.0293
17.332,18.066,1.064,0.0195,20.587,0.7585,0.0217,0.8775,0.807,0.0274
17.332,17.604,1.025,0.0191,20.587,0.7585,0.0217,0.8551,0.7775,0.0265
17.332,17.332,1.0,0.0178,20.587,0.7585,0.0217,0.8419,0.7585,0.0256
17.332,16.724,0.926,0.0181,20.587,0.7585,0.0217,0.8124,0.7024,0.0243
16.724,20.211,1.3805,0.0182,20.587,0.6935,0.0228,0.9817,0.9574,0.0339
16.724,19.088,1.253,0.0167,20.587,0.6935,0.0228,0.9272,0.869,0.0308
16.724,18.724,1.209,0.0197,20.587,0.6935,0.0228,0.9095,0.8384,0.0308
16.724,18.066,1.152,0.0188,20.587,0.6935,0.0228,0.8775,0.7989,0.0293
16.724,17.604,1.116,0.019,20.587,0.6935,0.0228,0.8551,0.7739,0.0287
16.724,17.332,1.0825,0.02,20.587,0.6935,0.0228,0.8419,0.7507,0.0283
16.724,16.724,1.0,0.0169,20.587,0.6935,0.0228,0.8124,0.6935,0.0256
