Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
19.901,19.305,0.9485,0.0178,19.901,1.0,0.0151,0.9701,0.9485,0.0228
19.901,19.087,0.9095,0.0182,19.901,1.0,0.0151,0.9591,0.9095,0.0228
19.901,18.397,0.8735,0.0199,19.901,1.0,0.0151,0.9244,0.8735,0.0239
19.901,17.829,0.8445,0.0196,19.901,1.0,0.0151,0.8959,0.8445,0.0234
19.901,17.258,0.7925,0.0268,19.901,1.0,0.0151,0.8672,0.7925,0.0294
19.305,19.305,1.0,0.0156,19.901,0.9485,0.0178,0.9701,0.9485,0.0231
19.305,19.087,0.9505,0.0192,19.901,0.9485,0.0178,0.9591,0.9015,0.0249
19.305,18.397,0.92,0.0203,19.901,0.9485,0.0178,0.9244,0.8726,0.0253
19.305,17.829,0.8865,0.0195,19.901,0.9485,0.0178,0.8959,0.8408,0.0243
19.305,17.258,0.8365,0.0275,19.901,0.9485,0.0178,0.8672,0.7934,0.03
19.087,19.305,1.0525,0.0185,19.901,0.9095,0.0182,0.9701,0.9572,0.0255
19.087,19.087,1.0,0.0163,19.901,0.9095,0.0182,0.9591,0.9095,0.0235
19.087,18.397,0.9615,0.0205,19.901,0.9095,0.0182,0.9244,0.8745,0.0256
19.087,17.829,0.9275,0.02,19.901,0.9095,0.0182,0.8959,0.8436,0.0248
19.087,17.258,0.8795,0.028,19.901,0.9095,0.0182,0.8672,0.7999,0.0301
18.397,19.305,1.086,0.0184,19.901,0.8735,0.0199,0.9701,0.9486,0.0269
18.397,19.087,1.04,0.0195,19.901,0.8735,0.0199,0.9591,0.9084,0.0268
18.397,18.397,1.0,0.0191,19.901,0.8735,0.0199,0.9244,0.8735,0.026
18.397,17.829,0.955,0.0215,19.901,0.8735,0.0199,0.8959,0.8342,0.0267
18.397,17.258,0.9125,0.0288,19.901,0.8735,0.0199,0.8672,0.7971,0.031
17.829,19.305,1.126,0.0189,19.901,0.8445,0.0196,0.9701,0.9509,0.0272
17.829,19.087,1.073,0.0209,19.901,0.8445,0.0196,0.9591,0.9061,0.0275
17.829,18.397,1.045,0.0219,19.901,0.8445,0.0196,0.9244,0.8825,0.0276
17.829,17.829,1.0,0.0189,19.901,0.8445,0.0196,0.8959,0.8445,0.0253
17.829,17.258,0.9385,0.0299,19.901,0.8445,0.0196,0.8672,0.7926,0.0312
17.258,19.305,1.1955,0.0208,19.901,0.7925,0.0268,0.9701,0.9474,0.036
17.258,19.087,1.158,0.0255,19.901,0.7925,0.0268,0.9591,0.9177,0.037
17.258,18.397,1.0945,0.0221,19.901,0.7925,0.0268,0.9244,0.8674,0.0342
17.258,17.829,1.0625,0.0212,19.901,0.7925,0.0268,0.8959,0.842,0.0331
17.258,17.258,1.0,0.0284,19.901,0.7925,0.0268,0.8672,0.7925,0.035
