Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
19.901,19.901,1.0,0.0151,17.829,1.1915,0.0186,1.1162,1.1915,0.0259
19.901,19.305,0.9485,0.0178,17.829,1.1915,0.0186,1.0828,1.1301,0.0276
19.901,19.087,0.9095,0.0182,17.829,1.1915,0.0186,1.0706,1.0837,0.0275
19.901,18.397,0.8735,0.0199,17.829,1.1915,0.0186,1.0319,1.0408,0.0287
19.901,17.258,0.7925,0.0268,17.829,1.1915,0.0186,0.968,0.9443,0.0352
19.305,19.901,1.04,0.024,17.829,1.126,0.0189,1.1162,1.171,0.0334
19.305,19.305,1.0,0.0156,17.829,1.126,0.0189,1.0828,1.126,0.0258
19.305,19.087,0.9505,0.0192,17.829,1.126,0.0189,1.0706,1.0703,0.0281
19.305,18.397,0.92,0.0203,17.829,1.126,0.0189,1.0319,1.0359,0.0287
19.305,17.258,0.8365,0.0275,17.829,1.126,0.0189,0.968,0.9419,0.0348
19.087,19.901,1.0985,0.0176,17.829,1.073,0.0209,1.1162,1.1787,0.0297
19.087,19.305,1.0525,0.0185,17.829,1.073,0.0209,1.0828,1.1293,0.0296
19.087,19.087,1.0,0.0163,17.829,1.073,0.0209,1.0706,1.073,0.0273
19.087,18.397,0.9615,0.0205,17.829,1.073,0.0209,1.0319,1.0317,0.0298
19.087,17.258,0.8795,0.028,17.829,1.073,0.0209,0.968,0.9437,0.0352
18.397,19.901,1.1435,0.0195,17.829,1.045,0.0219,1.1162,1.195,0.0323
18.397,19.305,1.086,0.0184,17.829,1.045,0.0219,1.0828,1.1349,0.0306
18.397,19.087,1.04,0.0195,17.829,1.045,0.0219,1.0706,1.0868,0.0306
18.397,18.397,1.0,0.0191,17.829,1.045,0.0219,1.0319,1.045,0.0296
18.397,17.258,0.9125,0.0288,17.829,1.045,0.0219,0.968,0.9536,0.0361
17.829,19.901,1.1915,0.0186,17.829,1.0,0.0189,1.1162,1.1915,0.0292
17.829,19.305,1.126,0.0189,17.829,1.0,0.0189,1.0828,1.126,0.0285
17.829,19.087,1.073,0.0209,17.829,1.0,0.0189,1.0706,1.073,0.0291
17.829,18.397,1.045,0.0219,17.829,1.0,0.0189,1.0319,1.045,0.0295
17.829,17.258,0.9385,0.0299,17.829,1.0,0.0189,0.968,0.9385,0.0348
17.258,19.901,1.2635,0.0196,17.829,0.9385,0.0299,1.1162,1.1858,0.042
17.258,19.305,1.1955,0.0208,17.829,0.9385,0.0299,1.0828,1.122,0.0407
17.258,19.087,1.158,0.0255,17.829,0.9385,0.0299,1.0706,1.0868,0.0421
17.258,18.397,1.0945,0.0221,17.829,0.9385,0.0299,1.0319,1.0272,0.0387
17.258,17.258,1.0,0.0284,17.829,0.9385,0.0299,0.968,0.9385,0.0401
