Ref Folder,Ref Index,Vi,dVi,Folder,Index,V,dV,V/Vi,xi,dxi
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,1.0,1.0,0.02
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,0.97,0.948,0.02
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2015Mar_DAC13_P3,FeNiSi_DAC13_P3,19.087,0.055,0.959,0.905,0.02
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2015Mar_DAC13_P4,FeNiSi_DAC13_P4,18.397000000000002,0.046,0.924,0.863,0.02
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2015Mar_DAC13_P5,FeNiSi_DAC13_P5,17.829,0.035,0.896,0.8345,0.02
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,2015Mar_DAC13_P6,FeNiSi_DAC13_P6,17.258,0.059000000000000004,0.867,0.7875,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,1.031,1.0545,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,1.0,1.0,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2015Mar_DAC13_P3,FeNiSi_DAC13_P3,19.087,0.055,0.989,0.9495,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2015Mar_DAC13_P4,FeNiSi_DAC13_P4,18.397000000000002,0.046,0.953,0.913,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2015Mar_DAC13_P5,FeNiSi_DAC13_P5,17.829,0.035,0.924,0.8805,0.02
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,2015Mar_DAC13_P6,FeNiSi_DAC13_P6,17.258,0.059000000000000004,0.894,0.822,0.02
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,19.087,0.055,2014Feb_DAC13_P1,FeNiSi_DAC13_P1,19.901,0.034,1.043,1.1045,0.02
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,19.087,0.055,2014Feb_DAC13_P2,FeNiSi_DAC13_P2,19.305,0.046,1.011,1.0525,0.02
