Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,IF,dIF,highTIF,dhighTIF,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,0.904,0.0011,15.8241,0.1165,404.8052,6.1935,3.3631,0.1352,3.4654,0.053,hcp,106.0,3.0,16.61,0.07,11.38,0.05,619.0,1.7,621.0,1.7,7387.0,19.0
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,0.91,0.0012,16.0577,0.1444,444.7583,8.049,3.6341,0.1676,3.8074,0.0689,hcp,121.0,3.0,16.24,0.07,11.64,0.02,674.0,2.3,677.0,2.3,7626.0,15.0
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.9135,0.0015,16.2674,0.1731,465.0545,9.4796,3.8775,0.2009,3.9811,0.0812,hcp,133.0,4.0,15.97,0.07,11.84,0.02,718.0,2.7,721.0,2.8,7804.0,17.0
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.8595,0.0018,14.7549,0.1108,255.4688,5.3905,2.1223,0.1286,2.187,0.0461,hcp,30.0,2.0,19.66,0.07,9.61,0.03,309.0,2.5,312.0,2.6,5698.0,25.0
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.8776,0.0027,15.1799,0.2197,307.7435,11.6458,2.6155,0.2549,2.6345,0.0997,hcp,53.0,2.0,18.47,0.03,10.25,0.01,408.0,1.5,411.0,1.6,6332.0,13.0
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.8883,0.0019,15.3409,0.1727,340.4999,9.2617,2.8023,0.2004,2.9149,0.0793,hcp,69.0,3.0,17.8,0.03,10.63,0.01,473.0,1.1,476.0,1.1,6692.0,8.0
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,0.8917,0.0012,15.4435,0.1133,349.8844,5.8659,2.9214,0.1315,2.9952,0.0502,hcp,77.0,3.0,17.5,0.07,10.8,0.02,503.0,1.1,506.0,1.1,6845.0,10.0
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.8992,0.0011,15.6187,0.1112,371.577,5.8428,3.1247,0.129,3.1809,0.05,hcp,90.0,3.0,17.1,0.07,11.06,0.02,555.0,1.2,558.0,1.2,7103.0,10.0
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,0.9181,0.0017,16.3231,0.2132,498.0117,12.6898,3.9421,0.2474,4.2633,0.1086,hcp,151.0,5.0,15.61,0.07,12.13,0.03,783.0,3.5,786.0,3.7,8050.0,21.0
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,0.9228,0.002,16.6307,0.2824,526.0636,17.4303,4.2991,0.3277,4.5034,0.1492,hcp,171.0,5.0,15.21,0.07,12.43,0.03,856.0,4.3,859.0,4.6,8313.0,24.0
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.7888,0.0026,14.176,0.1001,175.6567,4.683,1.4505,0.1161,1.5037,0.0401,bcc,0.0,0.0,23.456,0.027,8.062,0.009,168.1,8.4,168.1,8.4,4566.0,114.0
